Product,Manufacturer,Category,Material,Widths,Cost ex VAT,Sell ex VAT,Sell inc VAT,Twickenham,Richmond
Barefoot Ahstanga Silk,Alternative Flooring,Carpet,"70% Wool, 30% Rayon Silk","4, 5",54.62,81.66666666666666,98.0,,Yes
Barefoot Bikram,Alternative Flooring,Carpet,100% Undyed Wool,"4, 5",43.88,65.83333333333333,79.0,,Yes
Barefoot Hatha,Alternative Flooring,Carpet,100% Undyed Wool,"4, 5",43.88,65.83333333333333,79.0,,Yes
Barefoot Breathe,Alternative Flooring,Carpet,100% Undyed Wool,"4, 5",43.88,65.83333333333333,79.0,,
Barefoot Connection,Alternative Flooring,Carpet,100% Undyed Wool,"4, 5",43.88,65.83333333333333,79.0,,
Wool Berber,Alternative Flooring,Carpet,100% Wool,"4, 5",27.9,47.5,57.0,,
Wool Croft,Alternative Flooring,Carpet,100% Wool,"4, 5",36.41,58.33333333333333,70.0,,
Wool Knot,Alternative Flooring,Carpet,100% Wool,"4, 5",41.1,61.66666666666667,74.0,,
Woll Milkshake,Alternative Flooring,Carpet,100% Wool,"4, 5",41.38,61.66666666666667,74.0,,
Wool Pebble,Alternative Flooring,Carpet,100% Wool,4,53.91,80.83333333333334,97.0,,
Wool Tipple,Alternative Flooring,Carpet,100% Wool,"4, 5",33.51,56.66666666666667,68.0,,
Wool Iconic Boucle,Alternative Flooring,Carpet,100% Wool,4,,0.0,0.0,,
Wool Iconic Chevron,Alternative Flooring,Carpet,100% Wool,"4, 5",41.17,61.66666666666667,74.0,,
Wool Iconic Herringbone,Alternative Flooring,Carpet,100% Wool,4,41.17,61.66666666666667,74.0,,
Wool Iconic Herringstripe,Alternative Flooring,Carpet,100% Wool,4,41.17,61.66666666666667,74.0,,
Wool Herringbone,Alternative Flooring,Carpet,100% Wool,"4, 5",30.13,50.83333333333333,61.0,,
Wool Motown,Alternative Flooring,Carpet,100% Wool,"4, 5",34.77,59.16666666666667,71.0,,
Wool Rib,Alternative Flooring,Carpet,100% Wool,"4, 5",22.49,40.83333333333333,49.0,,
Woll Hygge Koselig,Alternative Flooring,Carpet,100% Wool,"4, 5",27.41,46.66666666666667,56.0,,
Woll Hygge Fika,Alternative Flooring,Carpet,100% Wool,"4, 5",27.41,46.66666666666667,56.0,,
Woll Hygge Sisu,Alternative Flooring,Carpet,100% Wool,"4, 5",27.41,46.66666666666667,56.0,,
Wool Skein,Alternative Flooring,Carpet,100% Wool,"4, 5",24.3,43.33333333333333,52.0,,
Rock 'n' Roll,Alternative Flooring,Carpet,100% Wool,4,38.5,61.66666666666667,74.0,,
Margo Selby Surf,Alternative Flooring,Carpet,100% Wool,4,42.37,63.33333333333333,76.0,,
Margo Selby Sun,Alternative Flooring,Carpet,100% Wool,4,42.37,63.33333333333333,76.0,,
Margo Selby Frolic,Alternative Flooring,Carpet,100% Wool,4,42.37,63.33333333333333,76.0,,
Margo Selby Rock,Alternative Flooring,Carpet,100% Wool,4,42.37,63.33333333333333,76.0,,
Wool Rhythm,Alternative Flooring,Carpet,100% Wool,4,34.77,59.16666666666667,71.0,,
Quirky Spotty,Alternative Flooring,Carpet,"80% Wool, 20% Nylon",3.66,59.51,89.16666666666666,107.0,,
Quirky Honeycomb,Alternative Flooring,Carpet,"80% Wool, 20% Nylon",3.66,59.51,89.16666666666666,107.0,,
Quirky Zebo,Alternative Flooring,Carpet,"80% Wool, 20% Nylon",3.66,59.51,89.16666666666666,107.0,,
Quirky Geo,Alternative Flooring,Carpet,"80% Wool, 20% Nylon",3.66,59.51,89.16666666666666,107.0,,
Quirky Hot Herring,Alternative Flooring,Carpet,"80% Wool, 20% Nylon",3.66,59.51,89.16666666666666,107.0,,
Quirky Leopard,Alternative Flooring,Carpet,"80% Wool, 20% Nylon",3.66,59.51,89.16666666666666,107.0,,
Quirky Tartan,Alternative Flooring,Carpet,"80% Wool, 20% Nylon",3.66,59.51,89.16666666666666,107.0,,
Quirky Margo Selby Shuttle,Alternative Flooring,Carpet,"80% Wool, 20% Nylon",3.66,64.69,96.66666666666666,116.0,,
Quirky Margo Selby Fair Isle,Alternative Flooring,Carpet,"80% Wool, 20% Nylon",3.66,64.69,96.66666666666666,116.0,,
Quirky Margo Selby Ribbon,Alternative Flooring,Carpet,"80% Wool, 20% Nylon",3.66,64.69,96.66666666666666,116.0,,
Quirky Margo Selby Button,Alternative Flooring,Carpet,"80% Wool, 20% Nylon",3.66,64.69,96.66666666666666,116.0,,
Quirky Margo Selby Patch,Alternative Flooring,Carpet,"80% Wool, 20% Nylon",3.66,64.69,96.66666666666666,116.0,,
Quirky Ashley Hicks Daisy,Alternative Flooring,Carpet,"80% Wool, 20% Nylon",3.66,64.69,96.66666666666666,116.0,,
Quirky Ben Pentreath Cube,Alternative Flooring,Carpet,"80% Wool, 20% Nylon",3.66,64.69,96.66666666666666,116.0,,
Quirky Ben Pentreath Tetra,Alternative Flooring,Carpet,"80% Wool, 20% Nylon",3.66,64.69,96.66666666666666,116.0,,
Quirky Ben Pentreath Lattice,Alternative Flooring,Carpet,"80% Wool, 20% Nylon",3.66,64.69,96.66666666666666,116.0,,
Quirky Ben Pentreath Deco,Alternative Flooring,Carpet,"80% Wool, 20% Nylon",3.66,64.69,96.66666666666666,116.0,,
AF Coir Boucle Natural,Alternative Flooring,Carpet,100% Coir,"4, 5",16.78,33.333333333333336,40.0,,
AF Coir Panama Natural,Alternative Flooring,Carpet,100% Coir,"4, 5",13.52,26.666666666666664,32.0,,
AF Coir Herringbone Natural,Alternative Flooring,Carpet,100% Coir,"4, 5",13.52,26.666666666666664,32.0,,
AF Jute Boucle Natural,Alternative Flooring,Carpet,100% Jute,4,19.94,40.0,48.0,,
AF Jute Boucle Scone,Alternative Flooring,Carpet,100% Jute,4,24.09,43.33333333333333,52.0,,
AF Jute Herringbone Maltloaf,Alternative Flooring,Carpet,100% Jute,4,24.09,43.33333333333333,52.0,,
AF Jute Chevron Natural,Alternative Flooring,Carpet,100% Jute,4,21.81,39.166666666666664,47.0,,
AF Jute Herringbone Natural,Alternative Flooring,Carpet,100% Jute,4,21.81,39.166666666666664,47.0,,
AF Jute Big Boucle Crumpet,Alternative Flooring,Carpet,100% Jute,4,25.89,44.16666666666667,53.0,,
AF Jute Big Boucle Toast,Alternative Flooring,Carpet,100% Jute,4,25.89,44.16666666666667,53.0,,
AF Jute Panama Flapjack,Alternative Flooring,Carpet,100% Jute,4,24.09,43.33333333333333,52.0,,
AF Jute Big Panama Pancake,Alternative Flooring,Carpet,100% Jute,4,25.89,44.16666666666667,53.0,,
AF Jute Big Panama Waffle,Alternative Flooring,Carpet,100% Jute,4,25.89,44.16666666666667,53.0,,
AF Seagrass Natural,Alternative Flooring,Carpet,100% Seagrass,4,13.74,27.5,33.0,,
AF Seagrass Superior,Alternative Flooring,Carpet,100% Seagrass,4,18.56,37.5,45.0,,
AF Seagrass Buckingham Basketweave,Alternative Flooring,Carpet,100% Seagrass,4,17.3,35.0,42.0,,
AF Seagrass Balmoral Basketweave,Alternative Flooring,Carpet,100% Seagrass,4,18.56,37.5,45.0,,
AF Seagrass Herringbone,Alternative Flooring,Carpet,100% Seagrass,4,15.14,30.0,36.0,,
AF Seagrass Fine Herringbone,Alternative Flooring,Carpet,100% Seagrass,4,18.62,37.5,45.0,,
AF Sisal Basketweave Winter Hamper,Alternative Flooring,Carpet,100% Sisal,4,28.93,49.16666666666667,59.0,,
AF Sisal Basketweave Summer Hamper,Alternative Flooring,Carpet,100% Sisal,4,28.93,49.16666666666667,59.0,,
AF Sisal Boucle,Alternative Flooring,Carpet,100% Sisal,"4, 5*",24.59,44.16666666666667,53.0,,
AF Sisal Super Boucle,Alternative Flooring,Carpet,100% Sisal,4,27.06,45.83333333333333,55.0,,
No Bother Sisal Boucle,Alternative Flooring,Carpet,100% Sisal,"4, 5",27.88,47.5,57.0,,
No Bother Sisal Super Boucle,Alternative Flooring,Carpet,100% Sisal,4,30.42,51.66666666666667,62.0,,
AF Sisal Bubbleweave,Alternative Flooring,Carpet,100% Sisal,4,35.08,55.83333333333333,67.0,,
AF Sisal Herringbone,Alternative Flooring,Carpet,100% Sisal,"4, 5*",27.74,47.5,57.0,,
AF Sisal Hopscotch,Alternative Flooring,Carpet,100% Sisal,4,34.04,57.5,69.0,,
AF Sisal Malay,Alternative Flooring,Carpet,100% Sisal,"4, 5*",28.22,48.33333333333333,58.0,,
AF Sisal Metallics,Alternative Flooring,Carpet,100% Sisal,4,49.17,74.16666666666667,89.0,,
AF Sisal Panama,Alternative Flooring,Carpet,100% Sisal,"4, 5*",28.31,48.33333333333333,58.0,,
AF Sisal Panama Acapulco,Alternative Flooring,Carpet,100% Sisal,4,36.13,57.5,69.0,,
AF Sisal Tweed,Alternative Flooring,Carpet,100% Sisal,4,29.06,49.16666666666667,59.0,,
AF Woosie Check,Alternative Flooring,Carpet,100% Sisal,4,40.98,61.66666666666667,74.0,,
AF Woosie Boucle,Alternative Flooring,Carpet,100% Sisal,4,40.98,61.66666666666667,74.0,,
AF Woosie Panama,Alternative Flooring,Carpet,100% Sisal,4,40.98,61.66666666666667,74.0,,
Anywhere Boucle,Alternative Flooring,Carpet,100% Polyproylene,4,24.49,42.79166666666667,51.35,,
Anywhere Herringbone,Alternative Flooring,Carpet,100% Polyproylene,4,24.49,44.16666666666667,53.0,,
Anywhere Panama,Alternative Flooring,Carpet,100% Polyproylene,4,24.49,44.16666666666667,53.0,,
Anywhere Shadow,Alternative Flooring,Carpet,100% Polyproylene,4,24.49,44.16666666666667,53.0,,
Anywhere Rope,Alternative Flooring,Carpet,100% Polyproylene,4,24.49,44.16666666666667,53.0,,
Plush Velvet,Alternative Flooring,Carpet,100% Polyamide,"4, 5",52.44,78.33333333333333,94.0,,
Plush Sheer,Alternative Flooring,Carpet,100% Polyamide,"4, 5",52.44,78.33333333333333,94.0,,
Plush Stripe,Alternative Flooring,Carpet,100% Polyamide,"4, 5",52.44,78.33333333333333,94.0,,
AF Intec Solvent-Free Stain Inhibitor,Alternative Flooring,Carpet,,1 SQM,2.0,4.166666666666667,5.0,,
AF Natural Flooring Care Kit,Alternative Flooring,Carpet,,Each,38.24,60.83333333333333,73.0,,
Elegenza,Artisan,Carpet,100% Polyester,"4, 5",20.95,37.5,45.0,Yes,Yes
Seta,Artisan,Carpet,100% Nylon,"4, 5",25.99,44.16666666666667,53.0,Yes,Yes
Lusso,Artisan,Carpet,100% Nylon,"4, 5",44.95,67.5,81.0,Yes,Yes
Alora,Artisan,Carpet,100% Nylon,4,69.95,105.0,126.0,,
Amalfi,Artisan,Carpet,Hand Woven Nylon,"4, 5",85.0,127.5,153.0,,
Positano,Artisan,Carpet,Hand Woven Nylon,"4, 5",80.0,120.0,144.0,,
Bellezza,Artisan,Carpet,100% Polyester,"4, 5",34.95,59.16666666666667,71.0,,
Venice,Artisan,Carpet,100% Polypropylene,"4, 5",20.95,37.5,45.0,,
Aurelius,Associated Weavers,Carpet,100% Polypropylene,"3, 4, 5",15.70925,31.666666666666664,38.0,,
California Dreams,Associated Weavers,Carpet,100% Nylon,"4, 5",18.74725,37.5,45.0,,
Cassius,Associated Weavers,Carpet,100% Polypropylene,"3, 4, 5",16.647000000000002,33.333333333333336,40.0,,
Centaurus,Associated Weavers,Carpet,100% Polypropylene,"3, 4, 5",16.647000000000002,33.333333333333336,40.0,,
Centurion,Associated Weavers,Carpet,100% Polypropylene,"3, 4, 5",11.4855,23.333333333333336,28.0,,
Darius,Associated Weavers,Carpet,100% Polypropylene,"3, 4, 5",13.833750000000002,27.5,33.0,,
Dorado,Associated Weavers,Carpet,100% Micro Polyester,"4, 5",15.86,31.666666666666664,38.0,,Yes
Ganges,Associated Weavers,Carpet,100% Micro Polyester,"4, 5",10.7725,21.666666666666664,26.0,,
Gladiator,Associated Weavers,Carpet,100% Polypropylene,"4, 5",8.20725,16.666666666666668,20.0,,
Indus,Associated Weavers,Carpet,100% Micro Polyester,"4, 5",14.996250000000002,30.0,36.0,,
Island Weave [Rolls Only],Associated Weavers,Carpet,100% Polypropylene,"4, 5",6.1922500000000005,12.5,15.0,,
Magnificus,Associated Weavers,Carpet,100% Polypropylene,"3, 4, 5",17.112,34.166666666666664,41.0,,
Orion,Associated Weavers,Carpet,100% Polypropylene,"3, 4, 5",13.833750000000002,27.5,33.0,,
Promenade,Associated Weavers,Carpet,100% Polypropylene,"3, 4, 5",11.4855,23.333333333333336,28.0,,
Septimus,Associated Weavers,Carpet,100% Polypropylene,"3, 4, 5",11.4855,23.333333333333336,28.0,,
Severus,Associated Weavers,Carpet,100% Polypropylene,"3, 4, 5",17.112,34.166666666666664,41.0,,
Sirius,Associated Weavers,Carpet,100% Polypropylene,"3, 4, 5",15.3,30.833333333333336,37.0,,Yes
Sophistication,Associated Weavers,Carpet,100% Polypropylene,"3, 4, 5",13.833750000000002,27.5,33.0,,
Stainaway Harvest Heathers,Associated Weavers,Carpet,100% Polypropylene,"3, 4, 5",9.610000000000001,19.166666666666668,23.0,,
Stainaway Tweed,Associated Weavers,Carpet,100% Polypropylene,"3, 4, 5",13.120750000000001,25.833333333333336,31.0,,
Stainguard Harvest Heathers,Associated Weavers,Carpet,100% Polypropylene,"3, 4, 5",11.4855,23.333333333333336,28.0,,
Temptation,Associated Weavers,Carpet,100% Polypropylene,"3, 4, 5",15.934,31.666666666666664,38.0,,
Tiberius,Associated Weavers,Carpet,100% Polypropylene,"3, 4, 5",13.833750000000002,27.5,33.0,,
