Product,Manufacturer,Material,Widths,Price,Twickenham,Richmond
Pampas Berber Loop,Kersaint Cobb,100% Wool,"Widths: 4M, 5M",£33.00 per SQM,,
Pampas Bouclé ,Kersaint Cobb,100% Wool,"Widths: 4M, 5M",£62.00 per SQM,,
Pampas Nordic ,Kersaint Cobb,"50% Wool, 50% PP","Widths: 4M, 5M",£41.00 per SQM,,
Pampas Nordic Elite,Kersaint Cobb,"50% Wool, 50% PP","Widths: 4M, 5M",£41.00 per SQM,,
Pampas Nordic Stripe,Kersaint Cobb,"50% Wool, 50% PP",Width: 4M,£41.00 per SQM,,
Piccolo,Kersaint Cobb,"80% Wool, 20% Yak Hair","Widths: 4M, 5M",£59.00 per SQM,,Yes
Studio Craft,Kersaint Cobb,100% Wool,"Widths: 4M, 5M",£52.00 per SQM,,Yes
Textured Repeat,Kersaint Cobb,100% Wool,"Widths: 4M, 5M",£63.00 per SQM,,Yes
Voyage,Kersaint Cobb,100% Wool,"Widths: 4M, 5M",£57.00 per SQM,,
Boheme,Lano,100% Triexta,"Widths: 4M, 5M",£61.00 per SQM,,Yes
Celeste,Lano,100% Triexta,"Widths: 4M, 5M",£64.00 per SQM,,Yes
Dream,Lano,100% Triexta,"Widths: 4M, 5M",£49.00 per SQM,,Yes
Evita,Lano,100% Polyamide,"Widths: 4M, 5M",£54.00 per SQM,,Yes
Fame Enso,Lano,100% PES,"Widths: 4M, 5M",£47.00 per SQM,,Yes
Freedom,Lano,100% Triexta,"Widths: 4M, 5M",£52.00 per SQM,,Yes
Incasa,Lano,100% Triexta,"Widths: 4M, 5M",£48.00 per SQM,,Yes
Jade,Lano,100% PES,"Widths: 4M, 5M",£35.00 per SQM,,
Lior,Lano,100% Triexta,"Widths: 4M, 5M",£54.00 per SQM,,Yes
Loft Life Grand,Lano,100% Triexta,"Widths: 4M, 5M",£52.00 per SQM,,
Loft Life Pure,Lano,100% Triexta,"Widths: 4M, 5M",£52.00 per SQM,,
Loft Life Sweet,Lano,100% Triexta,"Widths: 4M, 5M",£52.00 per SQM,,
Patina,Lano,100% Triexta,"Widths: 4M, 5M",£45.00 per SQM,,Yes
Pleasure,Lano,100% Polyamide,"Widths: 4M, 5M",£67.00 per SQM,Yes,Yes
Romance,Lano,100% Triexta,"Widths: 4M, 5M",£57.00 per SQM,,Yes
Satine,Lano,100% Polyamide,"Widths: 4M, 5M",£57.00 per SQM,,Yes
Sofia,Lano,100% Triexta,"Widths: 4M, 5M",£73.00 per SQM,,
Soft Distinction,Lano,100% PP,"Widths: 4M, 5M",£24.00 per SQM,,Yes
Startwist Elite,Lano,100% PP,"Widths: 4M, 5M",£25.00 per SQM,,Yes
Startwist Supreme,Lano,100% PP,"Widths: 4M, 5M",£22.00 per SQM,,Yes
Sweet Elegance,Lano,100% PP,"Widths: 4M, 5M",£26.00 per SQM,,
Traviata,Lano,100% Polyamide,"Widths: 4M, 5M",£53.00 per SQM,,Yes
Zen,Lano,100% Polyamide,Width: 4M,£49.00 per SQM,,
Chantilly,Lewis Abbott,100% Wool,"Widths: 4M, 5M",£63.00 per SQM,,Yes
Designer Rib,Lewis Abbott,100% Wool,"Widths: 4M, 5M",£70.00 per SQM,,
Designer Weave,Lewis Abbott,100% Wool,"Widths: 4M, 5M",£70.00 per SQM,,
Ewehurst,Lewis Abbott,100% Wool,"Widths: 4M, 5M",£71.00 per SQM,,Yes
Herringbone,Lewis Abbott,"10% Wool, 90% PP","Widths: 4M, 5M",£50.00 per SQM,,
Notting Hill,Lewis Abbott,100% Wool,"Widths: 4M, 5M",£44.00 per SQM,,Yes
Padstow,Lewis Abbott,100% Wool,"Widths: 4M, 5M",£55.00 per SQM,,Yes
Penzance,Lewis Abbott,100% Wool,"Widths: 4M, 5M",£52.00 per SQM,,
Pot Pouri,Lewis Abbott,"10% Wool, 90% PP","Widths: 4M, 5M",£47.00 per SQM,,Yes
Rural Charm,Lewis Abbott,100% Wool,"Widths: 4M, 5M",£32.00 per SQM,,
Ben Nevis,Riviera,100% Wool,Width: 4M,£96.00 per SQM,Yes,Yes
Burford,Riviera,100% Undyed Wool,Width: 5M,£82.00 per SQM,,Yes
Capri,Riviera,100% Wool,Width: 5M,£78.00 per SQM,Yes,Yes
Chartwell,Riviera,"46% Wool, 54% Tencel",Width: 5M,£136.00 per SQM,,Yes
Florence,Riviera,100% Wool,Width: 5M,£79.00 per SQM,Yes,Yes
Genoa,Riviera,100% NZ Wool,Width: 5M,£68.00 per SQM,,
Grand Piazza,Riviera,100% Wool,Width: 5M,£86.00 per SQM,,Yes
Hampstead,Riviera,100% Wool,Width: 5M,£89.00 per SQM,,Yes
Lake,Riviera,100% Undyed Wool,Width: 4M,£55.00 per SQM,,Yes
Livorno,Riviera,100% PP,Width: 5M,£57.00 per SQM,,
Mayfair,Riviera,100% NZ Wool,Width: 5M,£100.00 per SQM,,Yes
Medina,Riviera,100% PP,Width: 5M,£57.00 per SQM,,
Milano,Riviera,100% Wool,Width: 5M,£79.00 per SQM,Yes,Yes
Monaco,Riviera,100% Tencel,Width: 5M,£137.00 per SQM,,
Royalty,Riviera,100% Wool,Width: 5M,£79.00 per SQM,,Yes
Rustic Croft,Riviera,100% Undyed Wool,Width: 4M,£64.00 per SQM,,Yes
Shetland Weave,Riviera,100% Wool,Width: 5M,£99.00 per SQM,,
Siena,Riviera,100% Wool,Width: 5M,£73.00 per SQM,,
Sorrento,Riviera,100% Wool,Width: 5M,£75.00 per SQM,,
St Tropez,Riviera,100% Tencel,Width: 5M,£117.00 per SQM,,
Tetbury,Riviera,100% Undyed Wool,Width: 4M,£67.00 per SQM,,Yes
Turin,Riviera,100% NZ Wool,Width: 5M,£68.00 per SQM,,
Witney,Riviera,100% Undyed Wool,Width: 4M,£76.00 per SQM,,Yes
Annabelle III,Rols,100% Wool,"Widths: 2M, 4M",£128.00 per SQM,,
Annabelle III,Rols,100% Wool,"Widths: 2M, 4M",£147.00 per SQM,,
Castor Plus,Rols,100% Wool,"Widths: 2M, 4M",£98.00 per SQM,,
"Castor Plus - Colours 301, 302, 310, 324, 327",Rols,100% Wool,"Widths: 2M, 4M",£111.00 per SQM,,
Diana Herringbone,Rols,100% Wool,"Widths: 2M, 4M",£115.00 per SQM,,Yes
Gala Lattice,Rols,100% Wool,"Widths: 2M, 4M",£115.00 per SQM,,Yes
Ingrid,Rols,"50% Nylon, 50% Wool","Widths: 2M, 4M",£153.00 per SQM,,
Lara Uni,Rols,100% Wool,"Widths: 2M, 4M",£98.00 per SQM,,
Luna,Rols,100% Nylon,"Widths: 2M, 4M",£156.00 per SQM,,Yes
Martina,Rols,100% Nylon,"Widths: 2M, 4M",£157.00 per SQM,,
Maya,Rols,100% PET,"Widths: 2M, 4M",£79.00 per SQM,,
Nature Premium,Rols,100% PET,"Widths: 2M, 4M",£74.00 per SQM,,
Noa,Rols,100% Wool,"Widths: 2M, 4M",£70.00 per SQM,,
Nordica Chevron,Rols,100% Wool,"Widths: 2M, 4M",£82.00 per SQM,,
Nordica Classic,Rols,100% Wool,"Widths: 2M, 4M",£74.00 per SQM,,
Serena,Rols,100% Wool,"Widths: 2M, 4M",£87.00 per SQM,,
Teide,Rols,100% Wool,"Widths: 2M, 4M",£74.00 per SQM,,
Terra,Rols,100% PET,Width: 2M,£111.00 per SQM,,
Vega,Rols,100% Wool,"Widths: 2M, 4M",£138.00 per SQM,,
Zenit+,Rols,100% Wool,"Widths: 2M, 4M",£164.00 per SQM,,
"Zenit+ - Colours 001, 023",Rols,100% Wool,"Widths: 2M, 4M",£199.00 per SQM,,
Bakerloo,Telenzo,"100% Wool, 3-Ply","Widths: 4M, 5M",£39.00 per SQM,Yes,
Barbican,Telenzo,"100% Wool, 2-Ply","Widths: 4M, 5M",£37.00 per SQM,Yes,
Barbican Stripe,Telenzo,"100% Wool, 2-Ply","Widths: 4M, 5M",£37.00 per SQM,Yes,
Breeze,Telenzo,100% Polyamide,"Widths: 4M, 5M",£43.00 per SQM,,
Burford Bridge,Telenzo,"100% Wool, 3-Ply","Widths: 4M, 5M",£49.00 per SQM,Yes,
Centre Point,Telenzo,"100% Wool, 3-Ply","Widths: 4M, 5M",£39.00 per SQM,,Yes
Chelsea,Telenzo,"100% NZ Wool, 3-Ply","Widths: 4M, 5M",£45.00 per SQM,,
Cloud,Telenzo,100% Polyamide,"Widths: 4M, 5M",£59.00 per SQM,Yes,
Cormo,Telenzo,"100% Undyed Wool, 4-Ply","Widths: 4M, 5M",£49.00 per SQM,Yes,
Diversity,Telenzo,"100% Wool, 3-Ply","Widths: 4M, 5M",£45.00 per SQM,,Yes
Greenwich,Telenzo,"50% Wool, 50% PP","Widths: 4M, 5M",£35.00 per SQM,,
Hoxton,Telenzo,"100% NZ Wool, 3-Ply","Widths: 4M, 5M",£55.00 per SQM,,
King's Cross,Telenzo,"100% Wool, 3-Ply","Widths: 4M, 5M",£37.00 per SQM,,
London Bridge,Telenzo,"100% Wool, 3-Ply","Widths: 4M, 5M",£37.00 per SQM,,
Mainline,Telenzo,"100% Wool, 3-Ply","Widths: 4M, 5M",£39.00 per SQM,,Yes
Paddington,Telenzo,"100% Wool, 3-Ply","Widths: 4M, 5M",£37.00 per SQM,,
Primrose Hill,Telenzo,"100% NZ Wool, 3-Ply","Widths: 4M, 5M",£55.00 per SQM,,
Rya,Telenzo,"100% Undyed Wool, 4-Ply","Widths: 4M, 5M",£49.00 per SQM,Yes,
Whisper,Telenzo,100% Polyamide,"Widths: 4M, 5M",£54.00 per SQM,,
Batik,The Woven Edge,100% Wool (Hand Spun),Width: 4M,£126.00 per SQM,Yes,Yes
Braid,The Woven Edge,100% Wool,Width: 5M,£107.00 per SQM,Yes,Yes
Chevron,The Woven Edge,100% Wool,Width: 5M,£88.00 per SQM,Yes,Yes
Diamond,The Woven Edge,100% Wool,Width: 5M,£113.00 per SQM,,Yes
Fretwork,The Woven Edge,100% Wool,Width: 5M,£118.00 per SQM,,Yes
Groove,The Woven Edge,100% Wool,Width: 5M,£101.00 per SQM,Yes,Yes
Herringbone,The Woven Edge,100% Wool,Width: 5M,£96.00 per SQM,,Yes
Houndstooth,The Woven Edge,100% Wool,Width: 5M,£118.00 per SQM,,Yes
Jewel,The Woven Edge,100% Wool,Width: 5M,£115.00 per SQM,Yes,Yes
Mosaic,The Woven Edge,100% Wool (Space Dyed),Width: 4M,£128.00 per SQM,Yes,Yes
Pebble,The Woven Edge,100% Wool,Width: 4M,£123.00 per SQM,Yes,Yes
Thread,The Woven Edge,100% Wool (Gabbe Dyed),Width: 4M,£118.00 per SQM,Yes,Yes
Habitus Croft,Ulster Carpets,100% Wool,"Widths: 1M, 2M, 3M, 4M, 5M",£55.00 per SQM,,
Habitus Rustik,Ulster Carpets,100% Wool,"Widths: 1M, 2M, 3M, 4M, 5M",£55.00 per SQM,,
Habitus Strond,Ulster Carpets,100% Wool,"Widths: 1M, 2M, 3M, 4M, 5M",£55.00 per SQM,,
Open Spaces Dubai,Ulster Carpets,100% Wool,"Widths: 1M, 2M, 3M, 4M, 5M",£55.00 per SQM,,Yes
Open Spaces Laneve Auckland,Ulster Carpets,100% NZ Laneve Wool,"Widths: 1M, 2M, 3M, 4M, 5M",£55.00 per SQM,,Yes
Open Spaces Laneve Napier,Ulster Carpets,100% NZ Laneve Wool,"Widths: 1M, 2M, 3M, 4M, 5M",£55.00 per SQM,,
Open Spaces Laneve Queenstown,Ulster Carpets,100% NZ Laneve Wool,"Widths: 1M, 2M, 3M, 4M, 5M",£55.00 per SQM,,Yes
Open Spaces Laneve Raglan,Ulster Carpets,100% NZ Laneve Wool,"Widths: 1M, 2M, 3M, 4M, 5M",£55.00 per SQM,,
Open Spaces Laneve Wellington Stripe,Ulster Carpets,100% NZ Laneve Wool,"Widths: 1M, 2M, 3M, 4M, 5M",£55.00 per SQM,,Yes
Alberta,Unnatural Flooring,100% PP,Width: 5M,£54.00 per SQM,,Yes
Copenhagen Chevron,Unnatural Flooring,100% PP,Width: 4M,£64.00 per SQM,,
Copenhagen Moss Stitch,Unnatural Flooring,100% PP,Width: 4M,£59.00 per SQM,,Yes
Long Island,Unnatural Flooring,100% PP,Width: 4M,£47.00 per SQM,,Yes
Montreal,Unnatural Flooring,100% PP,Width: 4M,£49.00 per SQM,,Yes
New England,Unnatural Flooring,100% PP,Width: 4M,£45.00 per SQM,Yes,Yes
New York,Unnatural Flooring,100% PP,Width: 4M,£49.00 per SQM,Yes,Yes
"New York (Arthur, Central, Columbus & Rucker)",Unnatural Flooring,100% PP,"Widths: 4M, 5M",£49.00 per SQM,,
Precision,Unnatural Flooring,Woven Vinyl,Width: 2M,£80.00 per SQM,,Yes
Vermont,Unnatural Flooring,100% PP,Width: 4M,£48.00 per SQM,,Yes
Woven Vinyl Metallic,Unnatural Flooring,Woven Vinyl,Width: 2M,£69.00 per SQM,,Yes
Woven Vinyl Natural,Unnatural Flooring,Woven Vinyl,Width: 2M,£65.00 per SQM,,Yes
Aura,Victoria Carpets,100% PP,"Widths: 4M, 5M",£32.00 per SQM,,
Burford Twist Elite,Victoria Carpets,80% Wool,"Widths: 4M, 5M",£37.00 per SQM,,
Burford Twist Super,Victoria Carpets,80% Wool,"Widths: 4M, 5M",£32.00 per SQM,,
Freedom,Victoria Carpets,100% PP,"Widths: 4M, 5M",£25.00 per SQM,,
Freedom Xtra,Victoria Carpets,100% PP,"Widths: 4M, 5M",£30.00 per SQM,,
Habberley Classic,Victoria Carpets,"70% Wool, 30% TENCEL","Widths: 4M, 5M",£67.00 per SQM,Yes,Yes
Habberley Herringbone,Victoria Carpets,"70% Wool, 30% TENCEL","Widths: 4M, 5M",£67.00 per SQM,Yes,Yes
Habberley Ridge,Victoria Carpets,"70% Wool, 30% TENCEL","Widths: 4M, 5M",£67.00 per SQM,Yes,Yes
Heartland,Victoria Carpets,100% PP,"Widths: 4M, 5M",£34.00 per SQM,,
Heartland Heathers,Victoria Carpets,100% PP,"Widths: 4M, 5M",£36.00 per SQM,,
Heartland Ultra,Victoria Carpets,100% PP,"Widths: 4M, 5M",£42.00 per SQM,,
Luxuria Velvet,Victoria Carpets,100% Nylon 6.6,"Widths: 4M, 5M",£83.00 per SQM,,
Pioneer,Victoria Carpets,100% PP,"Widths: 4M, 5M",£28.00 per SQM,,
Pure & Simple (Plain),Victoria Carpets,80% Wool,"Widths: 4M, 5M",£61.00 per SQM,,
Royal Velvet,Victoria Carpets,100% Wool,"Widths: 4M, 5M",£66.00 per SQM,,
Sisal Weave Classic,Victoria Carpets,100% Wool,"Widths: 4M, 5M",£52.00 per SQM,,Yes
Sisal Weave Style,Victoria Carpets,100% Wool,"Widths: 4M, 5M",£52.00 per SQM,,Yes
Strathmore Berber,Victoria Carpets,80% Wool,"Widths: 4M, 5M",£48.00 per SQM,,
Tudor Co-ordinates,Victoria Carpets,100% Wool,"Widths: 4M, 5M",£47.00 per SQM,,
Tudor Twist Classic,Victoria Carpets,80% Wool,"Widths: 4M, 5M",£43.00 per SQM,,
Tudor Twist Regal,Victoria Carpets,80% Wool,"Widths: 4M, 5M",£44.00 per SQM,,
Ultimate Expressions,Victoria Carpets,100% PP,"Widths: 4M, 5M",£45.00 per SQM,,
Ultimate Impressions,Victoria Carpets,100% PP,"Widths: 4M, 5M",£45.00 per SQM,,
Barrington Loop,Westex,100% Wool,"Widths: 1M, 3.66M, 4M, 4.57M, 5M",£165.00 per SQM,,
Bouclé Natural Loop,Westex,100% Wool,"Widths: 1M, 3.66M, 4M, 4.57M, 5M",£65.00 per SQM,Yes,
Briar Natural Loop,Westex,100% Wool,"Widths: 1M, 3.66M, 4M, 4.57M, 5M",£65.00 per SQM,Yes,
Cable Natural Loop,Westex,100% Wool,"Widths: 1M, 3.66M, 4M, 4.57M, 5M",£65.00 per SQM,Yes,
Pure Luxury Wool - Troika,Westex,100% Wool,"Widths: 1M, 3.66M, 4M, 4.57M, 5M",£130.00 per SQM,,
Pure Luxury Wool - Tundra,Westex,100% Wool,"Widths: 1M, 3.66M, 4M, 4.57M, 5M",£99.00 per SQM,,
Silken Velvet - Chic,Westex,100% Polyamide 6.6,"Widths: 1M, 3.66M, 4M, 4.57M, 5M",£89.00 per SQM,Yes,
Savoy,Best Wool,100% NZ Wool,Width: 5M,£66.00 per SQM,,Yes
