Product,Manufacturer,Width & Length,Thickness,Price,Twickenham,Richmond
Brecon Vintage Oak,Woodpecker,180 (w) x 6 (l),6 (t),£53.00 per SQM,,Yes
Brecon Heritage Oak,Woodpecker,180 (w) x 6 (l),6 (t),£53.00 per SQM,,Yes
Brecon Bracken Oak,Woodpecker,180 (w) x 6 (l),6 (t),£53.00 per SQM,,Yes
Brecon Shoreline Oak,Woodpecker,180 (w) x 6 (l),6 (t),£53.00 per SQM,,Yes
Brecon Vintage Oak Herringbone,Woodpecker,120 (w) x 6 (l),6 (t),£56.00 per SQM,,Yes
Brecon Shoreline Oak Herringbone,Woodpecker,120 (w) x 6 (l),6 (t),£56.00 per SQM,,Yes
Brecon Whisper Oak Herringbone,Woodpecker,120 (w) x 6 (l),6 (t),£56.00 per SQM,,Yes
Brecon River Oak Herringbone,Woodpecker,120 (w) x 6 (l),6 (t),£56.00 per SQM,,Yes
Brecon Blanche Oak Herringbone,Woodpecker,120 (w) x 6 (l),6 (t),£56.00 per SQM,,Yes
Brecon Seashell Oak Herringbone,Woodpecker,120 (w) x 6 (l),6 (t),£56.00 per SQM,,Yes
Lynton Seagrass Oak,Woodpecker,165 (w) x 7 (l),7 (t),£68.00 per SQM,,Yes
Lynton Chiffon Oak,Woodpecker,165 (w) x 7 (l),7 (t),£68.00 per SQM,,Yes
Lynton Estuary Oak,Woodpecker,165 (w) x 7 (l),7 (t),£68.00 per SQM,,Yes
Lynton Natural Oak,Woodpecker,165 (w) x 7 (l),7 (t),£68.00 per SQM,,Yes
Lynton Evening Oak,Woodpecker,165 (w) x 7 (l),7 (t),£68.00 per SQM,,Yes
Lynton Weald Oak,Woodpecker,165 (w) x 7 (l),7 (t),£68.00 per SQM,,Yes
Signature Standard,Amtico,Various (w) x 2.5 (l),2.5 (t),£75.99 per SQM,,
Signature Acoustic,Amtico,Various (w) x 2.5 (l),2.5 (t),£86.99 per SQM,,
Form Artisan Wood (915mm x 152mm),Amtico,152 (w) x 2.5 (l),2.5 (t),£64.99 per SQM,,
Form Artisan Wood (1220mm x 185mm),Amtico,185 (w) x 2.5 (l),2.5 (t),£64.99 per SQM,,
Form Artisan Parquet (229mm x 76mm),Amtico,76 (w) x 2.5 (l),2.5 (t),£64.99 per SQM,,
Form Artisan Parquet (457mm x 114mm),Amtico,114 (w) x 2.5 (l),2.5 (t),£64.99 per SQM,,
Form Artisan Ceramic (610mm x 305mm),Amtico,305 (w) x 2.5 (l),2.5 (t),£64.99 per SQM,,
Form Artisan Acoustic (915mm x 152mm),Amtico,152 (w) x 2.5 (l),2.5 (t),£73.00 per SQM,,
Form Artisan Acoustic (1220mm x 185mm),Amtico,185 (w) x 2.5 (l),2.5 (t),£73.00 per SQM,,
Form Artisan Acoustic (229mm x 76mm),Amtico,76 (w) x 2.5 (l),2.5 (t),£73.00 per SQM,,
Form Artisan Acoustic (457mm x 114mm),Amtico,114 (w) x 2.5 (l),2.5 (t),£73.00 per SQM,,
Form Artisan Acoustic (610mm x 305mm),Amtico,305 (w) x 2.5 (l),2.5 (t),£73.00 per SQM,,
