Pre-Build Name,SKU,Labour Cost,Labour Sell Price,Group,Subgroup 1,Pre-Build Notes,Pre-Build Description,Estimated Time,Pre-Build Sell Price
Carpet Installation (Minimum),INS37171CAR,65.0,75.0,Carpet,Installation,,,60,75.0
Carpet Installation - Full Adhere,INS84128CAR,8.0,9.166666666666666,Carpet,Installation,,,60,9.166666666666666
Carpet Installation - Full Adhere (Minimum),INS89693CAR,100.0,116.66666666666666,Carpet,Installation,,,60,116.66666666666666
Carpet Installation - Stairs (Straight Flight),INS91244CAR,75.0,83.33333333333334,Carpet,Installation,,,60,83.33333333333334
Carpet Installation - Stairs (Winder Flight),INS41232CAR,100.0,125.0,Carpet,Installation,,,60,125.0
Carpet Installation - Stairs (Open Plan Flight),INS66175CAR,150.0,166.66666666666669,Carpet,Installation,,,60,166.66666666666669
Carpet Installation - Stairs as Runner (Straight Flight),INS74088CAR,100.0,125.0,Carpet,Installation,,,60,125.0
Carpet Installation - Stairs as Runner (Winder Flight),INS40966CAR,125.0,145.83333333333334,Carpet,Installation,,,60,145.83333333333334
Carpet Installation - Miscellaneous,INS61990CAR,1.0,1.15,Carpet,Installation,,,60,1.15
Carpet Installation - Seaming,INS62866CAR,5.0,5.833333333333334,Carpet,Installation,,,60,5.833333333333334
Carpet Installation - Seam Doorway (Each),INS63902CAR,20.0,24.166666666666664,Carpet,Installation,,,60,24.166666666666664
"Carpet Installation - Runner Template (Straight, Off Site)",INS56349CAR,50.0,58.33333333333333,Carpet,Installation,,,60,58.33333333333333
Carpet Installation - Runner Template (Straight Flight),INS76241CAR,75.0,83.33333333333334,Carpet,Installation,,,60,83.33333333333334
Carpet Installation - Runner Template (Winder Flight),INS60599CAR,100.0,125.0,Carpet,Installation,,,60,125.0
Carpet Installation - Adhere Gripper,INS61158CAR,1.0,1.25,Carpet,Installation,,,60,1.25
Carpet Tile Installation,INS83421CAR,8.0,9.166666666666666,Carpet,Installation,,,60,9.166666666666666
Carpet Tile Installation (Minimum),INS69314CAR,100.0,116.66666666666666,Carpet,Installation,,,60,116.66666666666666
Carpet Installation Premium - Heavy / Large,INS62539CAR,4.0,4.583333333333333,Carpet,Installation,,,60,4.583333333333333
Paper Felt Installation,INS86464CAR,1.0,1.25,Carpet,Installation,,,60,1.25
Vinyl Installation - Loose Lay,INS41353SHE,8.0,9.166666666666666,Sheet Vinyl,Installation,,,60,9.166666666666666
