Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Flatwoven Runner Installation (Straight Flight),INS73446FLA,Installer,350.0,350.0,412.5,Flatwoven Runner,Installation,"Flatwoven Runner Installation (Straight Flight), Flatwoven Runner, Installation",
Flatwoven Runner Installation (Winder Flight),INS29734FLA,Installer,400.0,400.0,466.66666666666663,Flatwoven Runner,Installation,"Flatwoven Runner Installation (Winder Flight), Flatwoven Runner, Installation",
Flatwoven Runner Installation - Sewn Mitre,INS31618FLA,Installer,50.0,50.0,58.33333333333333,Flatwoven Runner,Installation,"Flatwoven Runner Installation - Sewn Mitre, Flatwoven Runner, Installation",
Flatwoven Runner Installation - Miscellaneous,INS78203FLA,Installer,1.0,1.0,1.15,Flatwoven Runner,Installation,"Flatwoven Runner Installation - Miscellaneous, Flatwoven Runner, Installation",
Sophie Cooney Runner Installation (Step),INS88330FLA,Installer,30.0,30.0,37.5,Flatwoven Runner,Installation,"Sophie Cooney Runner Installation (Step), Flatwoven Runner, Installation",
Sophie Cooney Runner Installation - Sewn Mitre (Winder),INS25787FLA,Installer,50.0,50.0,58.33333333333333,Flatwoven Runner,Installation,"Sophie Cooney Runner Installation - Sewn Mitre (Winder), Flatwoven Runner, Installation",
Sophie Cooney Runner Installation - Sewn Mitre (Quarter),INS91212FLA,Installer,70.0,70.0,83.33333333333334,Flatwoven Runner,Installation,"Sophie Cooney Runner Installation - Sewn Mitre (Quarter), Flatwoven Runner, Installation",
Installation - Cut Door (Each),INS74162FLA,Installer,30.0,30.0,35.0,Flatwoven Runner,Installation,"Installation - Cut Door (Each), Flatwoven Runner, Installation",
Installation - Travel / Parking / ULEZ / CC,INS65151FLA,Installer,1.0,1.0,1.15,Flatwoven Runner,Installation,"Installation - Travel / Parking / ULEZ / CC, Flatwoven Runner, Installation",
Installation - Miscellaneous,INS82215FLA,Installer,1.0,1.0,1.15,Flatwoven Runner,Installation,"Installation - Miscellaneous, Flatwoven Runner, Installation",
Stair Rod Installation,INS20885FLA,Installer,8.0,8.0,10.0,Flatwoven Runner,Installation,"Stair Rod Installation, Flatwoven Runner, Installation",
Delivery (Minimum),INS56294FLA,Installer,45.0,45.0,54.16666666666667,Flatwoven Runner,Delivery,"Delivery (Minimum), Flatwoven Runner, Delivery",
Delivery,INS98401FLA,Installer,1.0,1.0,1.15,Flatwoven Runner,Delivery,"Delivery, Flatwoven Runner, Delivery",
Ply Installation - Standard,INS59738FLA,Installer,30.0,30.0,35.0,Flatwoven Runner,Sub floor works,"Ply Installation - Standard, Flatwoven Runner, Sub floor works",
Preparation - Miscellaneous,INS53380FLA,Installer,1.0,1.0,1.1583333333333332,Flatwoven Runner,Sub floor works,"Preparation - Miscellaneous, Flatwoven Runner, Sub floor works",
