Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Removal (Uplift & Disposal) of Laminate etc.,INS55675GEN,Installer,7.0,7.0,8.125,General,Uplift,"Removal (Uplift & Disposal) of Laminate etc., Sisal etc., Uplift",
Removal (Uplift & Disposal) of Floating Wood Flooring etc. ,INS85570GEN,Installer,9.5,9.5,11.25,General,Uplift,"Removal (Uplift & Disposal) of Floating Wood Flooring etc. , Sisal etc., Uplift",
Removal (Uplift & Disposal) of Adhered Wood Flooring etc. ,INS91530GEN,Installer,12.5,12.5,14.583333333333332,General,Uplift,"Removal (Uplift & Disposal) of Adhered Wood Flooring etc. , Sisal etc., Uplift",
Removal (Uplift & Disposal) of (Ceramic) Tiles etc. ,INS89075GEN,Installer,15.0,15.0,20.833333333333336,General,Uplift,"Removal (Uplift & Disposal) of (Ceramic) Tiles etc. , Sisal etc., Uplift",
Faux Sisal Installation,INS72770FAU,Installer,12.0,12.0,14.166666666666668,Faux Sisal,Installation,"Faux Sisal Installation, Faux Sisal, Installation",
Faux Sisal Installation (Minimum),INS89349FAU,Installer,120.0,120.0,141.66666666666666,Faux Sisal,Installation,"Faux Sisal Installation (Minimum), Faux Sisal, Installation",
Faux Sisal Installation - Stairs (Straight Flight),INS94091FAU,Installer,100.0,100.0,125.0,Faux Sisal,Installation,"Faux Sisal Installation - Stairs (Straight Flight), Faux Sisal, Installation",
Faux Sisal Installation - Stairs (Winder Flight),INS20330FAU,Installer,125.0,125.0,141.66666666666666,Faux Sisal,Installation,"Faux Sisal Installation - Stairs (Winder Flight), Faux Sisal, Installation",
Faux Sisal Installation - Stairs as Runner (Straight Flight),INS64352FAU,Installer,130.0,130.0,150.0,Faux Sisal,Installation,"Faux Sisal Installation - Stairs as Runner (Straight Flight), Faux Sisal, Installation",
Faux Sisal Installation - Stairs as Runner (Winder Flight),INS50207FAU,Installer,160.0,160.0,187.5,Faux Sisal,Installation,"Faux Sisal Installation - Stairs as Runner (Winder Flight), Faux Sisal, Installation",
Faux Sisal Installation - Miscellaneous,INS54620FAU,Installer,1.0,1.0,1.15,Faux Sisal,Installation,"Faux Sisal Installation - Miscellaneous, Faux Sisal, Installation",
Faux Sisal Installation - Seam,INS46978FAU,Installer,5.0,5.0,5.833333333333334,Faux Sisal,Installation,"Faux Sisal Installation - Seam, Faux Sisal, Installation",
Faux Sisal Installation - Seam Doorway (Each),INS89727FAU,Installer,20.0,20.0,24.166666666666664,Faux Sisal,Installation,"Faux Sisal Installation - Seam Doorway (Each), Faux Sisal, Installation",
"Faux Sisal Installation - Runner Template (Straight, Off Site)",INS50766FAU,Installer,50.0,50.0,58.33333333333333,Faux Sisal,Installation,"Faux Sisal Installation - Runner Template (Straight, Off Site), Faux Sisal, Installation",
Faux Sisal Installation - Runner Template (Straight Flight),INS88603FAU,Installer,65.0,65.0,75.0,Faux Sisal,Installation,"Faux Sisal Installation - Runner Template (Straight Flight), Faux Sisal, Installation",
Faux Sisal Installation - Runner Template (Winder Flight),INS36182FAU,Installer,100.0,100.0,116.66666666666666,Faux Sisal,Installation,"Faux Sisal Installation - Runner Template (Winder Flight), Faux Sisal, Installation",
