Pre-Build Name,SKU,Labour Cost,Labour Sell Price,Group,Subgroup 1,Pre-Build Notes,Pre-Build Description,Estimated Time,Pre-Build Sell Price
Faux Sisal Installation - Stairs (Straight Flight),INS94091FAU,100.0,125.0,Faux Sisal,Installation,,,60,125.0
Faux Sisal Installation - Stairs (Winder Flight),INS20330FAU,125.0,141.66666666666666,Faux Sisal,Installation,,,60,141.66666666666666
Faux Sisal Installation - Stairs as Runner (Straight Flight),INS64352FAU,130.0,150.0,Faux Sisal,Installation,,,60,150.0
Faux Sisal Installation - Stairs as Runner (Winder Flight),INS50207FAU,160.0,187.5,Faux Sisal,Installation,,,60,187.5
Faux Sisal Installation - Miscellaneous,INS54620FAU,1.0,1.15,Faux Sisal,Installation,,,60,1.15
Faux Sisal Installation - Seam,INS46978FAU,5.0,5.833333333333334,Faux Sisal,Installation,,,60,5.833333333333334
Faux Sisal Installation - Seam Doorway (Each),INS89727FAU,20.0,24.166666666666664,Faux Sisal,Installation,,,60,24.166666666666664
"Faux Sisal Installation - Runner Template (Straight, Off Site)",INS50766FAU,50.0,58.33333333333333,Faux Sisal,Installation,,,60,58.33333333333333
Faux Sisal Installation - Runner Template (Straight Flight),INS88603FAU,65.0,75.0,Faux Sisal,Installation,,,60,75.0
Faux Sisal Installation - Runner Template (Winder Flight),INS36182FAU,100.0,116.66666666666666,Faux Sisal,Installation,,,60,116.66666666666666
Faux Sisal Installation - Adhere Gripper,INS34647FAU,1.0,1.25,Faux Sisal,Installation,,,60,1.25
Installation - Cut Door (Each),INS53588FAU,30.0,35.0,Faux Sisal,Installation,,,60,35.0
Installation - Travel / Parking / ULEZ / CC,INS89710FAU,1.0,1.15,Faux Sisal,Installation,,,60,1.15
Installation - Apply Sealant,INS83642FAU,3.0,3.75,Faux Sisal,Installation,,,60,3.75
Stair Rod Installation,INS54109FAU,8.0,10.0,Faux Sisal,Installation,,,60,10.0
Move (Emptied) Furniture,INS38938FAU,25.0,29.166666666666664,Faux Sisal,Furniture,,,60,29.166666666666664
Lay Floor Protection,INS29694FAU,2.5,2.916666666666667,Faux Sisal,Installation,,,60,2.916666666666667
Delivery (Minimum),INS89561FAU,45.0,54.16666666666667,Faux Sisal,Delivery,,,60,54.16666666666667
Delivery,INS89742FAU,1.0,1.15,Faux Sisal,Delivery,,,60,1.15
Ply Installation - Standard,INS52019FAU,30.0,35.0,Faux Sisal,Sub floor works,,,60,35.0
Preparation - Miscellaneous,INS76781FAU,1.0,1.1583333333333332,Faux Sisal,Sub floor works,,,60,1.1583333333333332
Removal (Uplift & Disposal) of Carpet etc.,INS39256FAU,3.5,4.166666666666667,Faux Sisal,Uplift,,,60,4.166666666666667
Removal (Uplift & Disposal) of Adhered Carpet etc. ,INS85605FAU,5.0,5.833333333333334,Faux Sisal,Uplift,,,60,5.833333333333334
Removal (Uplift & Disposal) of Laminate etc.,INS19696FAU,7.0,8.125,Faux Sisal,Uplift,,,60,8.125
Removal (Uplift & Disposal) of Floating Wood Flooring etc. ,INS13801FAU,9.5,11.25,Faux Sisal,Uplift,,,60,11.25
Removal (Uplift & Disposal) of Adhered Wood Flooring etc. ,INS12854FAU,12.5,14.583333333333332,Faux Sisal,Uplift,,,60,14.583333333333332
Removal (Uplift & Disposal) of (Ceramic) Tiles etc. ,INS23985FAU,15.0,20.833333333333336,Faux Sisal,Uplift,,,60,20.833333333333336
Removal (Uplift & Disposal) - Minimum charge,INS91239FAU,70.0,83.33333333333334,Faux Sisal,Uplift,,,60,83.33333333333334
Carpet Installation,INS48410CAR,5.5,6.25,Carpet,Installation,,,60,6.25
Carpet Installation (Minimum),INS37171CAR,65.0,75.0,Carpet,Installation,,,60,75.0
Carpet Installation - Full Adhere,INS84128CAR,8.0,9.166666666666666,Carpet,Installation,,,60,9.166666666666666
Carpet Installation - Full Adhere (Minimum),INS89693CAR,100.0,116.66666666666666,Carpet,Installation,,,60,116.66666666666666
Carpet Installation - Stairs (Straight Flight),INS91244CAR,75.0,83.33333333333334,Carpet,Installation,,,60,83.33333333333334
Carpet Installation - Stairs (Winder Flight),INS41232CAR,100.0,125.0,Carpet,Installation,,,60,125.0
Carpet Installation - Stairs (Open Plan Flight),INS66175CAR,150.0,166.66666666666669,Carpet,Installation,,,60,166.66666666666669
Carpet Installation - Stairs as Runner (Straight Flight),INS74088CAR,100.0,125.0,Carpet,Installation,,,60,125.0
Carpet Installation - Stairs as Runner (Winder Flight),INS40966CAR,125.0,145.83333333333334,Carpet,Installation,,,60,145.83333333333334
Carpet Installation - Miscellaneous,INS61990CAR,1.0,1.15,Carpet,Installation,,,60,1.15
Carpet Installation - Seaming,INS62866CAR,5.0,5.833333333333334,Carpet,Installation,,,60,5.833333333333334
