SKU,Product,Manufacturer,Category,Material,Width,Sell ex VAT,Sell inc VAT,Colour,Slug,Image URL
RU19062OFF,Doxford,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Stratton,doxford-stratton,product-images/runner/off-the-loom/doxford/doxford-stratton.jpg
RU19062OFF,Doxford,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Capri,doxford-capri,product-images/runner/off-the-loom/doxford/doxford-capri.jpg
RU19062OFF,Doxford,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Calamine,doxford-calamine,product-images/runner/off-the-loom/doxford/doxford-calamine.jpg
RU19062OFF,Doxford,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Truffle,doxford-truffle,product-images/runner/off-the-loom/doxford/doxford-truffle.jpg
RU19062OFF,Doxford,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Metropolitan,doxford-metropolitan,product-images/runner/off-the-loom/doxford/doxford-metropolitan.jpg
RU74122OFF,Felton Border,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,144.16666666666666,173.0,Priory Mauve,felton-border-priory-mauve,product-images/runner/off-the-loom/felton-border/felton-border-priory-mauve.jpg
RU74122OFF,Felton Border,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,144.16666666666666,173.0,Alpine,felton-border-alpine,product-images/runner/off-the-loom/felton-border/felton-border-alpine.jpg
RU74122OFF,Felton Border,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,144.16666666666666,173.0,Aruna,felton-border-aruna,product-images/runner/off-the-loom/felton-border/felton-border-aruna.jpg
RU74122OFF,Felton Border,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,144.16666666666666,173.0,Masquerade,felton-border-masquerade,product-images/runner/off-the-loom/felton-border/felton-border-masquerade.jpg
RU74122OFF,Felton Border,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,144.16666666666666,173.0,Seal Grey,felton-border-seal-grey,product-images/runner/off-the-loom/felton-border/felton-border-seal-grey.jpg
RU74122OFF,Felton Border,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,144.16666666666666,173.0,Cargo Grey,felton-border-cargo-grey,product-images/runner/off-the-loom/felton-border/felton-border-cargo-grey.jpg
RU74122OFF,Felton Border,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,144.16666666666666,173.0,Marlin Blue,felton-border-marlin-blue,product-images/runner/off-the-loom/felton-border/felton-border-marlin-blue.jpg
RU74122OFF,Felton Border,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,144.16666666666666,173.0,Stately Grey,felton-border-stately-grey,product-images/runner/off-the-loom/felton-border/felton-border-stately-grey.jpg
RU74122OFF,Felton Border,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,144.16666666666666,173.0,Warm Stone,felton-border-warm-stone,product-images/runner/off-the-loom/felton-border/felton-border-warm-stone.jpg
RU74122OFF,Felton Border,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,144.16666666666666,173.0,Blueberry,felton-border-blueberry,product-images/runner/off-the-loom/felton-border/felton-border-blueberry.jpg
RU90822OFF,Gainford,Off The Loom,Runner,"100% NZ Wool, 3-Ply",660,135.0,162.0,Courtyard Grey,gainford-courtyard-grey,product-images/runner/off-the-loom/gainford/gainford-courtyard-grey.jpg
RU90822OFF,Gainford,Off The Loom,Runner,"100% NZ Wool, 3-Ply",660,135.0,162.0,Urban Grey,gainford-urban-grey,product-images/runner/off-the-loom/gainford/gainford-urban-grey.jpg
RU90822OFF,Gainford,Off The Loom,Runner,"100% NZ Wool, 3-Ply",660,135.0,162.0,Dusty,gainford-dusty,product-images/runner/off-the-loom/gainford/gainford-dusty.jpg
RU90822OFF,Gainford,Off The Loom,Runner,"100% NZ Wool, 3-Ply",660,135.0,162.0,Everglade,gainford-everglade,product-images/runner/off-the-loom/gainford/gainford-everglade.jpg
RU90822OFF,Gainford,Off The Loom,Runner,"100% NZ Wool, 3-Ply",660,135.0,162.0,Inca,gainford-inca,product-images/runner/off-the-loom/gainford/gainford-inca.jpg
RU90822OFF,Gainford,Off The Loom,Runner,"100% NZ Wool, 3-Ply",660,135.0,162.0,Verano Red,gainford-verano-red,product-images/runner/off-the-loom/gainford/gainford-verano-red.jpg
RU90822OFF,Gainford,Off The Loom,Runner,"100% NZ Wool, 3-Ply",660,135.0,162.0,Mineral Grey,gainford-mineral-grey,product-images/runner/off-the-loom/gainford/gainford-mineral-grey.jpg
RU90822OFF,Gainford,Off The Loom,Runner,"100% NZ Wool, 3-Ply",660,135.0,162.0,Clay,gainford-clay,product-images/runner/off-the-loom/gainford/gainford-clay.jpg
RU94259OFF,Hadston,Off The Loom,Runner,"100% NZ Wool, 3-Ply",640,144.16666666666666,173.0,Olive Green,hadston-olive-green,product-images/runner/off-the-loom/hadston/hadston-olive-green.jpg
RU94259OFF,Hadston,Off The Loom,Runner,"100% NZ Wool, 3-Ply",640,144.16666666666666,173.0,Branden Blue,hadston-branden-blue,product-images/runner/off-the-loom/hadston/hadston-branden-blue.jpg
RU94259OFF,Hadston,Off The Loom,Runner,"100% NZ Wool, 3-Ply",640,144.16666666666666,173.0,Moroccan Mustard,hadston-moroccan-mustard,product-images/runner/off-the-loom/hadston/hadston-moroccan-mustard.jpg
RU94259OFF,Hadston,Off The Loom,Runner,"100% NZ Wool, 3-Ply",640,144.16666666666666,173.0,Smokey Taupe,hadston-smokey-taupe,product-images/runner/off-the-loom/hadston/hadston-smokey-taupe.jpg
RU94259OFF,Hadston,Off The Loom,Runner,"100% NZ Wool, 3-Ply",640,144.16666666666666,173.0,Mulberry Mauve,hadston-mulberry-mauve,product-images/runner/off-the-loom/hadston/hadston-mulberry-mauve.jpg
RU94259OFF,Hadston,Off The Loom,Runner,"100% NZ Wool, 3-Ply",640,144.16666666666666,173.0,Cooper Grey,hadston-cooper-grey,product-images/runner/off-the-loom/hadston/hadston-cooper-grey.jpg
RU94259OFF,Hadston,Off The Loom,Runner,"100% NZ Wool, 3-Ply",640,144.16666666666666,173.0,Gingerbread Spice,hadston-gingerbread-spice,product-images/runner/off-the-loom/hadston/hadston-gingerbread-spice.jpg
