SKU,Product,Manufacturer,Category,Width,Length,Thickness,Sell ex VAT,Sell inc VAT,Colour,Slug,Image URL
RE99184LAM,Nakuru,Lamett,Vinyl,230,1842,6.5+1,54.16666666666667,65.0,Impala,nakuru-impala,product-images/vinyl/lamett/nakuru/nakuru-impala.jpg
RE99184LAM,Nakuru,Lamett,Vinyl,230,1842,6.5+1,54.16666666666667,65.0,Ivory,nakuru-ivory,product-images/vinyl/lamett/nakuru/nakuru-ivory.jpg
RE99184LAM,Nakuru,Lamett,Vinyl,230,1842,6.5+1,54.16666666666667,65.0,Lion,nakuru-lion,product-images/vinyl/lamett/nakuru/nakuru-lion.jpg
RE99184LAM,Nakuru,Lamett,Vinyl,230,1842,6.5+1,54.16666666666667,65.0,Rhino,nakuru-rhino,product-images/vinyl/lamett/nakuru/nakuru-rhino.jpg
RE99184LAM,Nakuru,Lamett,Vinyl,230,1842,6.5+1,54.16666666666667,65.0,Savanna,nakuru-savanna,product-images/vinyl/lamett/nakuru/nakuru-savanna.jpg
RE28309LAM,Nakuru Herringbone,Lamett,Vinyl,123,615,6.5+1,57.5,69.0,Gazelle,nakuru-herringbone-gazelle,product-images/vinyl/lamett/nakuru-herringbone/nakuru-herringbone-gazelle.jpg
RE28309LAM,Nakuru Herringbone,Lamett,Vinyl,123,615,6.5+1,57.5,69.0,Hippo,nakuru-herringbone-hippo,product-images/vinyl/lamett/nakuru-herringbone/nakuru-herringbone-hippo.jpg
RE28309LAM,Nakuru Herringbone,Lamett,Vinyl,123,615,6.5+1,57.5,69.0,Kenya,nakuru-herringbone-kenya,product-images/vinyl/lamett/nakuru-herringbone/nakuru-herringbone-kenya.jpg
RE28309LAM,Nakuru Herringbone,Lamett,Vinyl,123,615,6.5+1,57.5,69.0,Safari,nakuru-herringbone-safari,product-images/vinyl/lamett/nakuru-herringbone/nakuru-herringbone-safari.jpg
RE96532LAM,Caldera 300X600,Lamett,Vinyl,300,600,4+1,40.83333333333333,49.0,Basalt,caldera-300x600-basalt,product-images/vinyl/lamett/caldera-300x600/caldera-300x600-basalt.jpg
