SKU,Product,Manufacturer,Category,Type,Species,Finish,Width,Length,Thickness,Sell ex VAT,Slug,Image URL
WO89781LAM,Cottage 260 Invisible,Lamett,Wood,Plank,European Oak,Lacquer,260,600 - 2200,15/4,65.0,cottage-260-invisible,product-images/wood/lamett/cottage-260-invisible.jpg
WO60629LAM,Cottage 260 Natural,Lamett,Wood,Plank,European Oak,Lacquer,260,600 - 2200,15/4,65.0,cottage-260-natural,product-images/wood/lamett/cottage-260-natural.jpg
WO15637LAM,Cottage Herringbone Invisible,Lamett,Wood,Herringbone,European Oak,Lacquer,120,600,14/3,54.16666666666667,cottage-herringbone-invisible,product-images/wood/lamett/cottage-herringbone-invisible.jpg
WO46986LAM,Cottage Herringbone Natural,Lamett,Wood,Herringbone,European Oak,Lacquer,120,600,14/3,54.16666666666667,cottage-herringbone-natural,product-images/wood/lamett/cottage-herringbone-natural.jpg
WO60154LAM,Country Double Smoked Pure,Lamett,Wood,Plank,European Oak,Oil,190,600 - 1860,15/3.5,57.5,country-double-smoked-pure,product-images/wood/lamett/country-double-smoked-pure.jpg
WO39043LAM,Country Smoked Coffee,Lamett,Wood,Plank,European Oak,Oil,190,600 - 1860,15/3.5,57.5,country-smoked-coffee,product-images/wood/lamett/country-smoked-coffee.jpg
WO18883LAM,Country Smoked Grey,Lamett,Wood,Plank,European Oak,Oil,190,600 - 1860,15/3.5,57.5,country-smoked-grey,product-images/wood/lamett/country-smoked-grey.jpg
WO94406LAM,Country Smoked Natural,Lamett,Wood,Plank,European Oak,Oil,190,600 - 1860,15/3.5,57.5,country-smoked-natural,product-images/wood/lamett/country-smoked-natural.jpg
WO36561LAM,Country Smoked White,Lamett,Wood,Plank,European Oak,Oil,190,600 - 1860,15/3.5,57.5,country-smoked-white,product-images/wood/lamett/country-smoked-white.jpg
WO55968LAM,Country White,Lamett,Wood,Plank,European Oak,Oil,190,600 - 1860,15/3.5,57.5,country-white,product-images/wood/lamett/country-white.jpg
WO15099LAM,Farm Antique,Lamett,Wood,Plank,European Oak,Oil,190,600 - 1860,15/3.5,70.0,farm-antique,product-images/wood/lamett/farm-antique.jpg
WO38068LAM,Farm Harvest,Lamett,Wood,Plank,European Oak,Oil,190,600 - 1860,15/3.5,70.0,farm-harvest,product-images/wood/lamett/farm-harvest.jpg
WO56937LAM,Farm Herringbone Antique,Lamett,Wood,Herringbone,European Oak,Oil,125,625,15/3,80.0,farm-herringbone-antique,product-images/wood/lamett/farm-herringbone-antique.jpg
WO57968LAM,Farm Herringbone Old Church,Lamett,Wood,Herringbone,European Oak,Oil,125,625,15/3,80.0,farm-herringbone-old-church,product-images/wood/lamett/farm-herringbone-old-church.jpg
WO70668LAM,Farm Herringbone Pure,Lamett,Wood,Herringbone,European Oak,Oil,125,625,15/3,80.0,farm-herringbone-pure,product-images/wood/lamett/farm-herringbone-pure.jpg
WO17207LAM,Farm Herringbone Traditions,Lamett,Wood,Herringbone,European Oak,Oil,125,625,15/3,80.0,farm-herringbone-traditions,product-images/wood/lamett/farm-herringbone-traditions.jpg
WO81827LAM,Farm Herringbone White,Lamett,Wood,Herringbone,European Oak,Oil,125,625,15/3,80.0,farm-herringbone-white,product-images/wood/lamett/farm-herringbone-white.jpg
WO93436LAM,Farm Old Church,Lamett,Wood,Plank,European Oak,Oil,190,600 - 1860,15/3.5,70.0,farm-old-church,product-images/wood/lamett/farm-old-church.jpg
WO21150LAM,Farm Pure,Lamett,Wood,Plank,European Oak,Oil,190,600 - 1860,15/3.5,70.0,farm-pure,product-images/wood/lamett/farm-pure.jpg
WO55351LAM,Farm Traditions,Lamett,Wood,Plank,European Oak,Oil,190,600 - 1860,15/3.5,70.0,farm-traditions,product-images/wood/lamett/farm-traditions.jpg
WO48149LAM,Farm White,Lamett,Wood,Plank,European Oak,Oil,190,600 - 1860,15/3.5,70.0,farm-white,product-images/wood/lamett/farm-white.jpg
WO19488LAM,New York Coffee,Lamett,Wood,Plank,European Oak,Lacquer,190,630 - 1860,14/3.5,75.83333333333333,new-york-coffee,product-images/wood/lamett/new-york-coffee.jpg
WO46820LAM,New York Natural,Lamett,Wood,Plank,European Oak,Lacquer,190,630 - 1860,14/3.5,75.83333333333333,new-york-natural,product-images/wood/lamett/new-york-natural.jpg
WO77772LAM,New York Pure Plus,Lamett,Wood,Plank,European Oak,Lacquer,190,630 - 1860,14/3.5,75.83333333333333,new-york-pure-plus,product-images/wood/lamett/new-york-pure-plus.jpg
WO16146LAM,New York Skyline,Lamett,Wood,Plank,European Oak,Lacquer,190,630 - 1860,14/3.5,75.83333333333333,new-york-skyline,product-images/wood/lamett/new-york-skyline.jpg
WO43964LAM,New York Sunset,Lamett,Wood,Plank,European Oak,Lacquer,190,630 - 1860,14/3.5,75.83333333333333,new-york-sunset,product-images/wood/lamett/new-york-sunset.jpg
WO68589LAM,New York Wheat,Lamett,Wood,Plank,European Oak,Lacquer,190,630 - 1860,14/3.5,75.83333333333333,new-york-wheat,product-images/wood/lamett/new-york-wheat.jpg
WO98198LAM,Oslo 150 Mont Blanc,Lamett,Wood,Plank,European Oak,Oil,150,630 - 1860,15/3,60.0,oslo-150-mont-blanc,product-images/wood/lamett/oslo-150-mont-blanc.jpg
WO90370LAM,Oslo 150 Natural,Lamett,Wood,Plank,European Oak,Oil,150,630 - 1860,15/3,60.0,oslo-150-natural,product-images/wood/lamett/oslo-150-natural.jpg
WO65008LAM,Oslo 150 Pure,Lamett,Wood,Plank,European Oak,Oil,150,630 - 1860,15/3,60.0,oslo-150-pure,product-images/wood/lamett/oslo-150-pure.jpg
WO53483LAM,Oslo 190 Authentic Brown,Lamett,Wood,Plank,European Oak,Oil,190,630 - 1860,15/3.5,74.16666666666667,oslo-190-authentic-brown,product-images/wood/lamett/oslo-190-authentic-brown.jpg
WO43864LAM,Oslo 190 Mont Blanc,Lamett,Wood,Plank,European Oak,Oil,190,630 - 1860,15/3.5,74.16666666666667,oslo-190-mont-blanc,product-images/wood/lamett/oslo-190-mont-blanc.jpg
WO63495LAM,Oslo 190 Natural,Lamett,Wood,Plank,European Oak,Oil,190,630 - 1860,15/3.5,74.16666666666667,oslo-190-natural,product-images/wood/lamett/oslo-190-natural.jpg
WO19548LAM,Oslo 190 Paris Brown,Lamett,Wood,Plank,European Oak,Oil,190,630 - 1860,15/3.5,74.16666666666667,oslo-190-paris-brown,product-images/wood/lamett/oslo-190-paris-brown.jpg
WO52166LAM,Oslo 190 Pure,Lamett,Wood,Plank,European Oak,Oil,190,630 - 1860,15/3.5,74.16666666666667,oslo-190-pure,product-images/wood/lamett/oslo-190-pure.jpg
WO53785LAM,Oslo Herringbone Mont Blanc,Lamett,Wood,Herringbone,European Oak,Oil,125,625,15/3,77.5,oslo-herringbone-mont-blanc,product-images/wood/lamett/oslo-herringbone-mont-blanc.jpg
WO74628LAM,Oslo Herringbone Natural,Lamett,Wood,Herringbone,European Oak,Oil,125,625,15/3,77.5,oslo-herringbone-natural,product-images/wood/lamett/oslo-herringbone-natural.jpg
WO29798LAM,Oslo Herringbone Pure,Lamett,Wood,Herringbone,European Oak,Oil,125,625,15/3,77.5,oslo-herringbone-pure,product-images/wood/lamett/oslo-herringbone-pure.jpg
WO48078LAM,Tenda 150 Invisible,Lamett,Wood,Plank,European Oak,Lacquer,150,600 - 1900,10/3,50.0,tenda-150-invisible,product-images/wood/lamett/tenda-150-invisible.jpg
WO71282LAM,Tenda 150 Natural,Lamett,Wood,Plank,European Oak,Lacquer,150,600 - 1900,10/3,50.83333333333333,tenda-150-natural,product-images/wood/lamett/tenda-150-natural.jpg
WO56755PAN,American Black Walnut (Matt) (Diva 139) 1021340,Panaget,Wood,Plank,American Walnut,Matt Lacquer,139,500 – 2000,14/3.4,100.0,american-black-walnut-matt-diva-139-1021340,product-images/wood/panaget/american-black-walnut-matt-diva-139-1021340.jpg
WO19856PAN,American Black Walnut (Satin) (Herringbone 139) 1019564,Panaget,Wood,Herringbone,American Walnut,Satin Lacquer,139,800,14/2.5,111.66666666666666,american-black-walnut-satin-herringbone-139-1019564,product-images/wood/panaget/american-black-walnut-satin-herringbone-139-1019564.jpg
WO74121PAN,Argile - Authentic (Diva 223) 1017303,Panaget,Wood,Plank,European Oak,Matt Lacquer,223,700 – 2000,15/4.5,101.66666666666666,argile-authentic-diva-223-1017303,product-images/wood/panaget/argile-authentic-diva-223-1017303.jpg
WO84017PAN,Argile - Zenitude (Diva 184) 1016189,Panaget,Wood,Plank,European Oak,Matt Lacquer,184,500 – 2000,14/3.4,74.16666666666667,argile-zenitude-diva-184-1016189,product-images/wood/panaget/argile-zenitude-diva-184-1016189.jpg
