SKU,Product,Manufacturer,Category,Type,Species,Finish,Width,Length,Thickness,Sell ex VAT,Slug,Image URL
WO19963PAN,Rafia - Zenitude (Diva 184) 1007325,Panaget,Wood,Plank,European Oak,Oil,500 – 2000,500 – 2000,14/3.4,74.16666666666667,rafia-zenitude-diva-184-1007325,product-images/wood/panaget/rafia-zenitude-diva-184-1007325.jpg
WO47556PAN,Sable - Authentic (Diva 223) 1017302,Panaget,Wood,Plank,European Oak,Oil,223,700 – 2000,15/4.5,101.66666666666666,sable-authentic-diva-223-1017302,product-images/wood/panaget/sable-authentic-diva-223-1017302.jpg
WO74187PAN,Sable - Origine (Diva 184) 1016635,Panaget,Wood,Plank,European Oak,Oil,184,500 – 2000,14/3.4,80.83333333333334,sable-origine-diva-184-1016635,product-images/wood/panaget/sable-origine-diva-184-1016635.jpg
WO14989PAN,Sable - Zenitude (Diva 139) 1016633,Panaget,Wood,Plank,European Oak,Oil,139,495 – 1992,14/3.4,71.66666666666667,sable-zenitude-diva-139-1016633,product-images/wood/panaget/sable-zenitude-diva-139-1016633.jpg
WO32944PAN,Sable - Zenitude (Diva 139) 1017898,Panaget,Wood,Plank,European Oak,Oil,139,495 – 1992,12/2.5,58.33333333333333,sable-zenitude-diva-139-1017898,product-images/wood/panaget/sable-zenitude-diva-139-1017898.jpg
WO86817PAN,Saphir - Authentic (Diva 139) 1019706,Panaget,Wood,Plank,European Oak,Matt Lacquer,139,495 – 1992,14/3.4,62.5,saphir-authentic-diva-139-1019706,product-images/wood/panaget/saphir-authentic-diva-139-1019706.jpg
WO55092PAN,Saphir - Authentic (Diva 184) 1000069,Panaget,Wood,Plank,European Oak,Matt Lacquer,184,500 – 2000,14/3.4,78.33333333333333,saphir-authentic-diva-184-1000069,product-images/wood/panaget/saphir-authentic-diva-184-1000069.jpg
WO89971PAN,Satin - Authentic (Sonate 90) 1000027,Panaget,Wood,Plank,European Oak,Satin Lacquer,90,400 – 1300,14 (Solid),85.0,satin-authentic-sonate-90-1000027,product-images/wood/panaget/satin-authentic-sonate-90-1000027.jpg
WO33441PAN,Satin - Classic (Diva 139) 1005748,Panaget,Wood,Plank,European Oak,Satin Lacquer,139,500 – 2000,14/3.4,95.0,satin-classic-diva-139-1005748,product-images/wood/panaget/satin-classic-diva-139-1005748.jpg
WO35992PAN,Satin - Classic (Diva 90) 1005768,Panaget,Wood,Plank,European Oak,Satin Lacquer,90,385 – 1180,12/2.5,71.66666666666667,satin-classic-diva-90-1005768,product-images/wood/panaget/satin-classic-diva-90-1005768.jpg
WO83439PAN,Shabi Chaux - Zenitude (Alto 139) 1017702,Panaget,Wood,Plank,European Oak,Oil,139,1210,12/2.5,70.0,shabi-chaux-zenitude-alto-139-1017702,product-images/wood/panaget/shabi-chaux-zenitude-alto-139-1017702.jpg
WO47702PAN,Topaze - Authentic (Diva 139) 1000297,Panaget,Wood,Plank,European Oak,Matt Lacquer,139,500 – 2000,14/3.4,68.33333333333333,topaze-authentic-diva-139-1000297,product-images/wood/panaget/topaze-authentic-diva-139-1000297.jpg
WO78511PAN,Topaze - Authentic (Diva 184) 1000070,Panaget,Wood,Plank,European Oak,Matt Lacquer,184,500 – 2000,14/3.4,78.33333333333333,topaze-authentic-diva-184-1000070,product-images/wood/panaget/topaze-authentic-diva-184-1000070.jpg
WO37940PAN,Topaze - Authentic (Diva 223) 1016986,Panaget,Wood,Plank,European Oak,Matt Lacquer,223,700 – 2000,15/4.5,101.66666666666666,topaze-authentic-diva-223-1016986,product-images/wood/panaget/topaze-authentic-diva-223-1016986.jpg
WO46287PAN,Topaze - Authentic (Herringbone 139) 1016618,Panaget,Wood,Herringbone,European Oak,Matt Lacquer,139,800,14/3.4,82.5,topaze-authentic-herringbone-139-1016618,product-images/wood/panaget/topaze-authentic-herringbone-139-1016618.jpg
WO80712PAN,Topaze - Authentic (Sonate 140) 1000034,Panaget,Wood,Plank,European Oak,Matt Lacquer,140,400 – 1300,14 (Solid),92.5,topaze-authentic-sonate-140-1000034,product-images/wood/panaget/topaze-authentic-sonate-140-1000034.jpg
WO73772PAN,Topaze - Classic (Chevron 90) 1005735,Panaget,Wood,Chevron,European Oak,Matt Lacquer,90,500,14/3.4,98.33333333333334,topaze-classic-chevron-90-1005735,product-images/wood/panaget/topaze-classic-chevron-90-1005735.jpg
WO77551PAN,Topaze - Classic (Diva 184) 1006158,Panaget,Wood,Plank,European Oak,Matt Lacquer,184,500 – 2000,14/3.4,82.5,topaze-classic-diva-184-1006158,product-images/wood/panaget/topaze-classic-diva-184-1006158.jpg
WO11235PAN,Topaze - Classic/Authentic (Herringbone 90) 1020644,Panaget,Wood,Herringbone,European Oak,Matt Lacquer,90,590,12/2.5,66.66666666666667,topaze-classicauthentic-herringbone-90-1020644,product-images/wood/panaget/topaze-classicauthentic-herringbone-90-1020644.jpg
WO29524PAN,Topaze - Tradition (Alto 139) 1017700,Panaget,Wood,Plank,European Oak,Matt Lacquer,139,1210,12/2.5,70.0,topaze-tradition-alto-139-1017700,product-images/wood/panaget/topaze-tradition-alto-139-1017700.jpg
WO62056PAN,Tourbe - Zenitude (Diva 184) 1014165,Panaget,Wood,Plank,European Oak,Matt Lacquer,184,500 – 2000,14/3.4,74.16666666666667,tourbe-zenitude-diva-184-1014165,product-images/wood/panaget/tourbe-zenitude-diva-184-1014165.jpg
WO86987PAN,Tourbe - Zenitude/Origine (Diva 184) 1006552,Panaget,Wood,Plank,European Oak,Oil,184,500 – 2000,14/3.4,80.83333333333334,tourbe-zenitudeorigine-diva-184-1006552,product-images/wood/panaget/tourbe-zenitudeorigine-diva-184-1006552.jpg
WO96380PAN,Tufeau - Authentic (Diva 139) 1019707,Panaget,Wood,Plank,European Oak,Oil,139,495 – 1992,14/3.4,62.5,tufeau-authentic-diva-139-1019707,product-images/wood/panaget/tufeau-authentic-diva-139-1019707.jpg
WO75688PAN,Tufeau - Authentic (Diva 184) 1014185,Panaget,Wood,Plank,European Oak,Oil,184,500 – 2000,15/4.5,108.33333333333334,tufeau-authentic-diva-184-1014185,product-images/wood/panaget/tufeau-authentic-diva-184-1014185.jpg
WO88305PAN,Tufeau - Authentic (Herringbone 90) 1016743,Panaget,Wood,Herringbone,European Oak,Oil,90,590,12/2.5,66.66666666666667,tufeau-authentic-herringbone-90-1016743,product-images/wood/panaget/tufeau-authentic-herringbone-90-1016743.jpg
WO73968PAN,Tufeau - Zenitude (Diva 184) 1006551,Panaget,Wood,Plank,European Oak,Oil,184,500 – 2000,14/3.4,80.83333333333334,tufeau-zenitude-diva-184-1006551,product-images/wood/panaget/tufeau-zenitude-diva-184-1006551.jpg
WO31883PAN,Tufeau - Zenitude (Diva 184) 1007326,Panaget,Wood,Plank,European Oak,Oil,184,500 – 2000,14/3.4,74.16666666666667,tufeau-zenitude-diva-184-1007326,product-images/wood/panaget/tufeau-zenitude-diva-184-1007326.jpg
WO91511PAN,Tufeau - Zenitude/Origine (Herringbone 139) 1007658,Panaget,Wood,Herringbone,European Oak,Oil,139,800,14/3.4,74.16666666666667,tufeau-zenitudeorigine-herringbone-139-1007658,product-images/wood/panaget/tufeau-zenitudeorigine-herringbone-139-1007658.jpg
WO28556PAN,White Oil - Zenitude (Diva 184) 1007644,Panaget,Wood,Plank,European Oak,Oil,139,495 – 1992,14/3.4,58.33333333333333,white-oil-zenitude-diva-184-1007644,product-images/wood/panaget/white-oil-zenitude-diva-184-1007644.jpg
WO82868PAR,Classic 3025 - Brushed & Matt Lacquer 1744854,Parador,Wood,Plank,European Oak,Lacquer,2200,185,13/2.5,61.66666666666667,classic-3025-brushed-matt-lacquer-1744854,product-images/wood/parador/classic-3025-brushed-matt-lacquer-1744854.jpg
WO55496PAR,Classic 3025 - Oak Matt Lacquer 1744847,Parador,Wood,Plank,European Oak,Lacquer,2200,185,13/2.5,59.16666666666667,classic-3025-oak-matt-lacquer-1744847,product-images/wood/parador/classic-3025-oak-matt-lacquer-1744847.jpg
WO35589PAR,Classic 3025 - Oak Soft Texture 1744846,Parador,Wood,Plank,European Oak,Oil,2200,185,13/2.5,62.5,classic-3025-oak-soft-texture-1744846,product-images/wood/parador/classic-3025-oak-soft-texture-1744846.jpg
WO54207PAR,Classic 3025 - Oak White Natural Oil 1744853,Parador,Wood,Plank,European Oak,Oil,2200,185,13/2.5,61.66666666666667,classic-3025-oak-white-natural-oil-1744853,product-images/wood/parador/classic-3025-oak-white-natural-oil-1744853.jpg
WO85242PAR,Classic 3060 - Graphite 3-Strip 1739901,Parador,Wood,Plank,European Oak,Oil,2200,185,13/3.6,50.0,classic-3060-graphite-3-strip-1739901,product-images/wood/parador/classic-3060-graphite-3-strip-1739901.jpg
WO93824PAR,Classic 3060 - Indian Breeze 1744434,Parador,Wood,Plank,European Oak,Lacquer,2200,185,13/3.6,120.83333333333334,classic-3060-indian-breeze-1744434,product-images/wood/parador/classic-3060-indian-breeze-1744434.jpg
WO58768PAR,Classic 3060 - Oak 3-Strip 1247126,Parador,Wood,Plank,European Oak,Lacquer,2200,185,13/3.6,49.16666666666667,classic-3060-oak-3-strip-1247126,product-images/wood/parador/classic-3060-oak-3-strip-1247126.jpg
WO97693PAR,Classic 3060 - Oak Brushed & Natural Oil 1739910,Parador,Wood,Plank,European Oak,Oil,2200,185,13/3.6,60.0,classic-3060-oak-brushed-natural-oil-1739910,product-images/wood/parador/classic-3060-oak-brushed-natural-oil-1739910.jpg
WO48778PAR,Classic 3060 - Oak Pure 1739912,Parador,Wood,Plank,European Oak,Oil,2200,185,13/3.6,60.0,classic-3060-oak-pure-1739912,product-images/wood/parador/classic-3060-oak-pure-1739912.jpg
WO35313PAR,Classic 3060 - Oak Smoked 1518242,Parador,Wood,Plank,European Oak,Lacquer,2200,185,13/3.6,75.83333333333333,classic-3060-oak-smoked-1518242,product-images/wood/parador/classic-3060-oak-smoked-1518242.jpg
WO61251PAR,Classic 3060 - Oak Soft Texture 1739902,Parador,Wood,Plank,European Oak,Oil,2200,185,13/3.6,61.66666666666667,classic-3060-oak-soft-texture-1739902,product-images/wood/parador/classic-3060-oak-soft-texture-1739902.jpg
WO65243PAR,Classic 3060 - Oak White 1518128,Parador,Wood,Plank,European Oak,Oil,2200,185,13/3.6,61.66666666666667,classic-3060-oak-white-1518128,product-images/wood/parador/classic-3060-oak-white-1518128.jpg
WO95455PAR,Classic 3060 - Sanded Extra Matt 1744433,Parador,Wood,Plank,European Oak,Lacquer,2200,185,13/3.6,71.66666666666667,classic-3060-sanded-extra-matt-1744433,product-images/wood/parador/classic-3060-sanded-extra-matt-1744433.jpg
WO85513PAR,Classic 3060 - Thermo Oak 1739924,Parador,Wood,Plank,European Oak,Oil,2200,185,13/3.6,75.83333333333333,classic-3060-thermo-oak-1739924,product-images/wood/parador/classic-3060-thermo-oak-1739924.jpg
WO37770PAR,Trendtime 3 (Herringbone) - Black 1601584,Parador,Wood,Herringbone,European Oak,Lacquer,570,95,10.5/2.5,70.83333333333333,trendtime-3-herringbone-black-1601584,product-images/wood/parador/trendtime-3-herringbone-black-1601584.jpg
WO13996PAR,Trendtime 3 (Herringbone) - Castle Extra Matt 1744422,Parador,Wood,Herringbone,European Oak,Lacquer,570,95,10.5/2.5,70.83333333333333,trendtime-3-herringbone-castle-extra-matt-1744422,product-images/wood/parador/trendtime-3-herringbone-castle-extra-matt-1744422.jpg
WO87654PAR,Trendtime 3 (Herringbone) - Chalet Extra Matt 1744423,Parador,Wood,Herringbone,European Oak,Lacquer,570,95,10.5/2.5,70.83333333333333,trendtime-3-herringbone-chalet-extra-matt-1744423,product-images/wood/parador/trendtime-3-herringbone-chalet-extra-matt-1744423.jpg
WO59748PAR,Trendtime 3 (Herringbone) - Nougat 1739933,Parador,Wood,Herringbone,European Oak,Lacquer,570,95,10.5/2.5,70.83333333333333,trendtime-3-herringbone-nougat-1739933,product-images/wood/parador/trendtime-3-herringbone-nougat-1739933.jpg
WO97263PAR,Trendtime 3 (Herringbone) - Oak Cream 1739932,Parador,Wood,Herringbone,European Oak,Lacquer,570,95,10.5/2.5,70.83333333333333,trendtime-3-herringbone-oak-cream-1739932,product-images/wood/parador/trendtime-3-herringbone-oak-cream-1739932.jpg
WO38690PAR,Trendtime 3 (Herringbone) - Oak Matt 1601582,Parador,Wood,Herringbone,European Oak,Lacquer,570,95,10.5/2.5,70.0,trendtime-3-herringbone-oak-matt-1601582,product-images/wood/parador/trendtime-3-herringbone-oak-matt-1601582.jpg
WO80284PAR,Trendtime 3 (Herringbone) - Oak Natural Oil 1739935,Parador,Wood,Herringbone,European Oak,Oil,570,95,10.5/2.5,70.83333333333333,trendtime-3-herringbone-oak-natural-oil-1739935,product-images/wood/parador/trendtime-3-herringbone-oak-natural-oil-1739935.jpg
WO58036PAR,Trendtime 3 (Herringbone) - Oak Pure 1601580,Parador,Wood,Herringbone,European Oak,Lacquer,570,95,10.5/2.5,70.0,trendtime-3-herringbone-oak-pure-1601580,product-images/wood/parador/trendtime-3-herringbone-oak-pure-1601580.jpg
WO67729PAR,Trendtime 3 (Herringbone) - Oak Smoked 1744419,Parador,Wood,Herringbone,European Oak,Lacquer,570,95,10.5/2.5,72.5,trendtime-3-herringbone-oak-smoked-1744419,product-images/wood/parador/trendtime-3-herringbone-oak-smoked-1744419.jpg
WO17279PAR,Trendtime 3 (Herringbone) - Walnut 1743195,Parador,Wood,Herringbone,American Walnut,Lacquer,570,95,10.5/2.5,85.0,trendtime-3-herringbone-walnut-1743195,product-images/wood/parador/trendtime-3-herringbone-walnut-1743195.jpg
WO45983PAR,Trendtime 4 - Askada Extra Matt 1744426,Parador,Wood,Plank,European Oak,Lacquer,160,2010,13/3.6,65.0,trendtime-4-askada-extra-matt-1744426,product-images/wood/parador/trendtime-4-askada-extra-matt-1744426.jpg
WO19732PAR,Trendtime 4 - Castle Extra Matt 1744425,Parador,Wood,Plank,European Oak,Lacquer,160,2010,13/3.6,65.0,trendtime-4-castle-extra-matt-1744425,product-images/wood/parador/trendtime-4-castle-extra-matt-1744425.jpg
WO12123PAR,Trendtime 4 - Chalet Extra Matt 1744427,Parador,Wood,Plank,European Oak,Lacquer,160,2010,13/3.6,65.0,trendtime-4-chalet-extra-matt-1744427,product-images/wood/parador/trendtime-4-chalet-extra-matt-1744427.jpg
WO86088PAR,Trendtime 4 - Nougat 1739938,Parador,Wood,Plank,European Oak,Lacquer,160,2010,13/3.6,65.0,trendtime-4-nougat-1739938,product-images/wood/parador/trendtime-4-nougat-1739938.jpg
WO44870PAR,Trendtime 4 - Oak Cream 1739937,Parador,Wood,Plank,European Oak,Lacquer,160,2010,13/3.6,65.0,trendtime-4-oak-cream-1739937,product-images/wood/parador/trendtime-4-oak-cream-1739937.jpg
WO78742PAR,Trendtime 4 - Walnut Antique 1518200,Parador,Wood,Plank,American Walnut,Lacquer,160,2010,13/3.6,105.0,trendtime-4-walnut-antique-1518200,product-images/wood/parador/trendtime-4-walnut-antique-1518200.jpg
WO83554PAR,Trendtime 4 - Walnut Matt 1257369,Parador,Wood,Plank,American Walnut,Lacquer,160,2010,13/3.6,114.16666666666666,trendtime-4-walnut-matt-1257369,product-images/wood/parador/trendtime-4-walnut-matt-1257369.jpg
WO84219PAR,Trendtime 6 - Beech White Sawn 1739940,Parador,Wood,Plank,Beech,Lacquer,185,2200,13/3.6,53.33333333333333,trendtime-6-beech-white-sawn-1739940,product-images/wood/parador/trendtime-6-beech-white-sawn-1739940.jpg
WO28696PAR,Trendtime 6 - Maple 3-Strip Vintage Sawn 1744428,Parador,Wood,Plank,Maple,Lacquer,185,2200,13/3.6,49.16666666666667,trendtime-6-maple-3-strip-vintage-sawn-1744428,product-images/wood/parador/trendtime-6-maple-3-strip-vintage-sawn-1744428.jpg
WO84087PAR,Trendtime 6 - Noir Sawn 1739943,Parador,Wood,Plank,European Oak,Oil,185,2200,13/3.6,71.66666666666667,trendtime-6-noir-sawn-1739943,product-images/wood/parador/trendtime-6-noir-sawn-1739943.jpg
WO42824PAR,Trendtime 8 - Elephant Skin 1739952,Parador,Wood,Plank,European Oak,Oil,190,1882,15/4.0,70.0,trendtime-8-elephant-skin-1739952,product-images/wood/parador/trendtime-8-elephant-skin-1739952.jpg
WO65782PAR,Trendtime 8 - Handscraped & Brushed 1739953,Parador,Wood,Plank,European Oak,Oil,190,1882,15/4.0,68.33333333333333,trendtime-8-handscraped-brushed-1739953,product-images/wood/parador/trendtime-8-handscraped-brushed-1739953.jpg
WO49160PAR,Trendtime 8 - Limed Handcrafted 1739950,Parador,Wood,Plank,European Oak,Oil,190,1882,14/3.0,61.66666666666667,trendtime-8-limed-handcrafted-1739950,product-images/wood/parador/trendtime-8-limed-handcrafted-1739950.jpg
WO68083PAR,Trendtime 8 - Multiplank 1744429,Parador,Wood,Plank,European Oak,Oil,190,1882,15/4.0,70.0,trendtime-8-multiplank-1744429,product-images/wood/parador/trendtime-8-multiplank-1744429.jpg
WO86852PAR,Trendtime 8 - Natural Oil Handcrafted 1739944,Parador,Wood,Plank,European Oak,Oil,190,1882,14/3.0,61.66666666666667,trendtime-8-natural-oil-handcrafted-1739944,product-images/wood/parador/trendtime-8-natural-oil-handcrafted-1739944.jpg
WO79651PAR,Trendtime 8 - Pinot Loft Plank 1744430,Parador,Wood,Plank,European Oak,Oil,190,1882,15/4.0,70.0,trendtime-8-pinot-loft-plank-1744430,product-images/wood/parador/trendtime-8-pinot-loft-plank-1744430.jpg
WO32931PAR,Trendtime 8 - Smoked Elephant Skin 1739954,Parador,Wood,Plank,European Oak,Oil,190,1882,15/4.0,70.83333333333333,trendtime-8-smoked-elephant-skin-1739954,product-images/wood/parador/trendtime-8-smoked-elephant-skin-1739954.jpg
WO70582PAR,Trendtime 8 - Smoked Grey Handcrafted 1739951,Parador,Wood,Plank,European Oak,Oil,190,1882,14/3.0,60.83333333333333,trendtime-8-smoked-grey-handcrafted-1739951,product-images/wood/parador/trendtime-8-smoked-grey-handcrafted-1739951.jpg
WO23978PAR,Trendtime 8 - Smoked Handscraped 1739955,Parador,Wood,Plank,European Oak,Oil,190,1882,15/4.0,73.33333333333333,trendtime-8-smoked-handscraped-1739955,product-images/wood/parador/trendtime-8-smoked-handscraped-1739955.jpg
WO14785PAR,Trendtime 8 - Smoked Natural Oil 1739945,Parador,Wood,Plank,European Oak,Oil,190,1882,14/3.0,60.83333333333333,trendtime-8-smoked-natural-oil-1739945,product-images/wood/parador/trendtime-8-smoked-natural-oil-1739945.jpg
WO25683PAR,Trendtime 8 - Smoked Stone Handcrafted 1744432,Parador,Wood,Plank,European Oak,Oil,190,1882,14/3.0,60.83333333333333,trendtime-8-smoked-stone-handcrafted-1744432,product-images/wood/parador/trendtime-8-smoked-stone-handcrafted-1744432.jpg
WO72228PAR,Trendtime 8 - Smoked Trre Plank 1739956,Parador,Wood,Plank,European Oak,Oil,190,1882,15/4.0,70.83333333333333,trendtime-8-smoked-trre-plank-1739956,product-images/wood/parador/trendtime-8-smoked-trre-plank-1739956.jpg
WO34247PAR,Trendtime 8 - Tree Plank 1739957,Parador,Wood,Plank,European Oak,Oil,190,1882,15/4.0,70.0,trendtime-8-tree-plank-1739957,product-images/wood/parador/trendtime-8-tree-plank-1739957.jpg
WO14044PAR,Trendtime 8 - White Oil Handscraped 1739959,Parador,Wood,Plank,European Oak,Oil,190,1882,15/4.0,69.16666666666667,trendtime-8-white-oil-handscraped-1739959,product-images/wood/parador/trendtime-8-white-oil-handscraped-1739959.jpg
WO75456TED,Glenariff Herringbone (70 mm),Ted Todd,Wood,Herringbone,European Oak,Lacquer,70,490,10,57.5,glenariff-herringbone-70-mm,product-images/wood/ted-todd/glenariff-herringbone-70-mm.jpg
WO51060TED,Selborne Extra Wide Plank (220 mm),Ted Todd,Wood,Plank,European Oak,Lacquer,220,2400,20,115.0,selborne-extra-wide-plank-220-mm,product-images/wood/ted-todd/selborne-extra-wide-plank-220-mm.jpg
WO46865TED,Kielder Herringbone (100 mm),Ted Todd,Wood,Herringbone,European Oak,Oil,100,500,20,100.83333333333334,kielder-herringbone-100-mm,product-images/wood/ted-todd/kielder-herringbone-100-mm.jpg
WO72096TED,Kielder Plank (220 mm),Ted Todd,Wood,Plank,European Oak,Oil,220,2200,20,96.66666666666666,kielder-plank-220-mm,product-images/wood/ted-todd/kielder-plank-220-mm.jpg
WO38387TED,Arundel Herringbone (90 mm),Ted Todd,Wood,Herringbone,European Oak,Oil,90,540,20,89.16666666666666,arundel-herringbone-90-mm,product-images/wood/ted-todd/arundel-herringbone-90-mm.jpg
WO90991TED,Arundel Plank (190 mm),Ted Todd,Wood,Plank,European Oak,Oil,190,1900,20,82.5,arundel-plank-190-mm,product-images/wood/ted-todd/arundel-plank-190-mm.jpg
WO68987TED,Attingham Herringbone (90 mm),Ted Todd,Wood,Herringbone,European Oak,Oil,90,360,20,84.16666666666666,attingham-herringbone-90-mm,product-images/wood/ted-todd/attingham-herringbone-90-mm.jpg
WO56210TED,Attingham Plank (220 mm),Ted Todd,Wood,Plank,European Oak,Oil,220,2200,20,82.5,attingham-plank-220-mm,product-images/wood/ted-todd/attingham-plank-220-mm.jpg
WO47933TED,Bembridge Herringbone (90 mm),Ted Todd,Wood,Herringbone,European Oak,Oil,90,360,20,84.16666666666666,bembridge-herringbone-90-mm,product-images/wood/ted-todd/bembridge-herringbone-90-mm.jpg
WO75586TED,Bembridge Plank (220 mm),Ted Todd,Wood,Plank,European Oak,Oil,220,2200,20,82.5,bembridge-plank-220-mm,product-images/wood/ted-todd/bembridge-plank-220-mm.jpg
WO67533TED,Dunham Plank (190 mm),Ted Todd,Wood,Plank,European Oak,Oil,190,1900,20,93.33333333333334,dunham-plank-190-mm,product-images/wood/ted-todd/dunham-plank-190-mm.jpg
WO92008TED,Holton Plank (220 mm),Ted Todd,Wood,Plank,European Oak,Oil,220,2200,20,104.16666666666666,holton-plank-220-mm,product-images/wood/ted-todd/holton-plank-220-mm.jpg
WO97117TED,Netley Herringbone (90 mm),Ted Todd,Wood,Herringbone,European Oak,Oil,90,360,20,84.16666666666666,netley-herringbone-90-mm,product-images/wood/ted-todd/netley-herringbone-90-mm.jpg
WO11680TED,Netley Plank (220 mm),Ted Todd,Wood,Plank,European Oak,Oil,220,2200,20,82.5,netley-plank-220-mm,product-images/wood/ted-todd/netley-plank-220-mm.jpg
WO34593TED,Standen Herringbone (90 mm),Ted Todd,Wood,Herringbone,European Oak,Oil,90,540,20,89.16666666666666,standen-herringbone-90-mm,product-images/wood/ted-todd/standen-herringbone-90-mm.jpg
WO40733TED,Standen Plank (190 mm),Ted Todd,Wood,Plank,European Oak,Oil,190,1900,20,82.5,standen-plank-190-mm,product-images/wood/ted-todd/standen-plank-190-mm.jpg
WO81506TED,Swinley Herringbone (90 mm),Ted Todd,Wood,Herringbone,European Oak,Oil,90,360,20,84.16666666666666,swinley-herringbone-90-mm,product-images/wood/ted-todd/swinley-herringbone-90-mm.jpg
WO88273TED,Swinley Plank (220 mm),Ted Todd,Wood,Plank,European Oak,Oil,220,2200,20,82.5,swinley-plank-220-mm,product-images/wood/ted-todd/swinley-plank-220-mm.jpg
WO68477TED,Sheringham Plank (220 mm),Ted Todd,Wood,Plank,European Oak,Oil,220,2200,20,93.33333333333334,sheringham-plank-220-mm,product-images/wood/ted-todd/sheringham-plank-220-mm.jpg
WO81254TED,Cashmere Chevron (90 mm),Ted Todd,Wood,Chevron,European Oak,Oil,90,480,15,85.83333333333334,cashmere-chevron-90-mm,product-images/wood/ted-todd/cashmere-chevron-90-mm.jpg
WO42422TED,Cashmere Herringbone (127 mm),Ted Todd,Wood,Herringbone,European Oak,Oil,127,508,15,78.33333333333333,cashmere-herringbone-127-mm,product-images/wood/ted-todd/cashmere-herringbone-127-mm.jpg
WO76155TED,Cashmere Plank (180 mm),Ted Todd,Wood,Plank,European Oak,Oil,180,2200,15,70.83333333333333,cashmere-plank-180-mm,product-images/wood/ted-todd/cashmere-plank-180-mm.jpg
WO40446TED,Cortado Herringbone (127 mm),Ted Todd,Wood,Herringbone,European Oak,Oil,127,508,15,78.33333333333333,cortado-herringbone-127-mm,product-images/wood/ted-todd/cortado-herringbone-127-mm.jpg
WO49518TED,Cortado Plank (180 mm),Ted Todd,Wood,Plank,European Oak,Oil,180,2200,15,75.0,cortado-plank-180-mm,product-images/wood/ted-todd/cortado-plank-180-mm.jpg
WO68419TED,Fawn Chevron (90 mm),Ted Todd,Wood,Chevron,European Oak,Oil,90,480,15,85.83333333333334,fawn-chevron-90-mm,product-images/wood/ted-todd/fawn-chevron-90-mm.jpg
WO65624TED,Fawn Herringbone (127 mm),Ted Todd,Wood,Herringbone,European Oak,Oil,127,508,15,78.33333333333333,fawn-herringbone-127-mm,product-images/wood/ted-todd/fawn-herringbone-127-mm.jpg
WO84012TED,Fawn Plank (180 mm),Ted Todd,Wood,Plank,European Oak,Oil,180,2200,15,70.83333333333333,fawn-plank-180-mm,product-images/wood/ted-todd/fawn-plank-180-mm.jpg
WO47829TED,Jute Chevron (90 mm),Ted Todd,Wood,Chevron,European Oak,Oil,90,480,15,85.83333333333334,jute-chevron-90-mm,product-images/wood/ted-todd/jute-chevron-90-mm.jpg
WO99076TED,Jute Herringbone (127 mm),Ted Todd,Wood,Herringbone,European Oak,Oil,127,508,15,82.5,jute-herringbone-127-mm,product-images/wood/ted-todd/jute-herringbone-127-mm.jpg
WO14329TED,Jute Plank (180 mm),Ted Todd,Wood,Plank,European Oak,Oil,180,2200,15,70.83333333333333,jute-plank-180-mm,product-images/wood/ted-todd/jute-plank-180-mm.jpg
WO38056TED,Liquorice Herringbone (127 mm),Ted Todd,Wood,Herringbone,European Oak,Oil,127,508,15,75.0,liquorice-herringbone-127-mm,product-images/wood/ted-todd/liquorice-herringbone-127-mm.jpg
WO35939TED,Liquorice Plank (180 mm),Ted Todd,Wood,Plank,European Oak,Oil,180,2200,15,68.33333333333333,liquorice-plank-180-mm,product-images/wood/ted-todd/liquorice-plank-180-mm.jpg
WO47863TED,Paperback Herringbone (127 mm),Ted Todd,Wood,Herringbone,European Oak,Oil,127,508,15,78.33333333333333,paperback-herringbone-127-mm,product-images/wood/ted-todd/paperback-herringbone-127-mm.jpg
WO69740TED,Paperback Plank (180 mm),Ted Todd,Wood,Plank,European Oak,Oil,180,2200,15,70.83333333333333,paperback-plank-180-mm,product-images/wood/ted-todd/paperback-plank-180-mm.jpg
WO59071TED,Sandbank Chevron (90 mm),Ted Todd,Wood,Chevron,European Oak,Oil,90,480,15,85.83333333333334,sandbank-chevron-90-mm,product-images/wood/ted-todd/sandbank-chevron-90-mm.jpg
WO74211TED,Sandbank Herringbone (127 mm),Ted Todd,Wood,Herringbone,European Oak,Oil,127,508,15,78.33333333333333,sandbank-herringbone-127-mm,product-images/wood/ted-todd/sandbank-herringbone-127-mm.jpg
WO68927TED,Sandbank Plank (180mm),Ted Todd,Wood,Plank,European Oak,Oil,180,2200,15,70.83333333333333,sandbank-plank-180mm,product-images/wood/ted-todd/sandbank-plank-180mm.jpg
WO14232TED,Satchel Herringbone (127 mm),Ted Todd,Wood,Herringbone,European Oak,Oil,127,508,15,71.66666666666667,satchel-herringbone-127-mm,product-images/wood/ted-todd/satchel-herringbone-127-mm.jpg
WO64529TED,Satchel Plank (180 mm),Ted Todd,Wood,Plank,European Oak,Oil,180,2200,15,68.33333333333333,satchel-plank-180-mm,product-images/wood/ted-todd/satchel-plank-180-mm.jpg
WO24351TED,Smoke Chevron (90 mm),Ted Todd,Wood,Chevron,European Oak,Oil,90,480,15,85.83333333333334,smoke-chevron-90-mm,product-images/wood/ted-todd/smoke-chevron-90-mm.jpg
