SKU,Product,Manufacturer,Category,Material,Widths,Sell ex VAT,Sell inc VAT,Colour,Slug,Image URL
CA57144ALT,AF Seagrass Balmoral Basketweave,Alternative Flooring,Carpet,100% Seagrass,4,37.5,45.0,,af-seagrass-balmoral-basketweave,product-images/carpet/alternative-flooring/af-seagrass-balmoral-basketweave/af-seagrass-balmoral-basketweave.jpg
CA58596ALT,AF Seagrass Buckingham Basketweave,Alternative Flooring,Carpet,100% Seagrass,4,35.0,42.0,,af-seagrass-buckingham-basketweave,product-images/carpet/alternative-flooring/af-seagrass-buckingham-basketweave/af-seagrass-buckingham-basketweave.jpg
CA43750ALT,AF Seagrass Fine Herringbone,Alternative Flooring,Carpet,100% Seagrass,4,37.5,45.0,,af-seagrass-fine-herringbone,product-images/carpet/alternative-flooring/af-seagrass-fine-herringbone/af-seagrass-fine-herringbone.jpg
CA56235ALT,AF Seagrass Herringbone,Alternative Flooring,Carpet,100% Seagrass,4,30.0,36.0,,af-seagrass-herringbone,product-images/carpet/alternative-flooring/af-seagrass-herringbone/af-seagrass-herringbone.jpg
CA29011ALT,AF Seagrass Natural,Alternative Flooring,Carpet,100% Seagrass,4,27.5,33.0,,af-seagrass-natural,product-images/carpet/alternative-flooring/af-seagrass-natural/af-seagrass-natural.jpg
CA31047ALT,AF Seagrass Superior,Alternative Flooring,Carpet,100% Seagrass,4,37.5,45.0,,af-seagrass-superior,product-images/carpet/alternative-flooring/af-seagrass-superior/af-seagrass-superior.jpg
CA68488ALT,AF Sisal Basketweave Summer Hamper,Alternative Flooring,Carpet,100% Sisal,4,49.16666666666667,59.0,,af-sisal-basketweave-summer-hamper,product-images/carpet/alternative-flooring/af-sisal-basketweave-summer-hamper/af-sisal-basketweave-summer-hamper.jpg
CA52964ALT,AF Sisal Basketweave Winter Hamper,Alternative Flooring,Carpet,100% Sisal,4,49.16666666666667,59.0,,af-sisal-basketweave-winter-hamper,product-images/carpet/alternative-flooring/af-sisal-basketweave-winter-hamper/af-sisal-basketweave-winter-hamper.jpg
CA14579ALT,AF Sisal Boucle,Alternative Flooring,Carpet,100% Sisal,4 | 5,44.16666666666667,53.0,Basing,af-sisal-boucle-basing,product-images/carpet/alternative-flooring/af-sisal-boucle/af-sisal-boucle-basing.jpg
CA14579ALT,AF Sisal Boucle,Alternative Flooring,Carpet,100% Sisal,4 | 5,44.16666666666667,53.0,Bayford,af-sisal-boucle-bayford,product-images/carpet/alternative-flooring/af-sisal-boucle/af-sisal-boucle-bayford.jpg
CA14579ALT,AF Sisal Boucle,Alternative Flooring,Carpet,100% Sisal,4 | 5,44.16666666666667,53.0,Beauworth,af-sisal-boucle-beauworth,product-images/carpet/alternative-flooring/af-sisal-boucle/af-sisal-boucle-beauworth.jpg
CA14579ALT,AF Sisal Boucle,Alternative Flooring,Carpet,100% Sisal,4 | 5,44.16666666666667,53.0,Bentley,af-sisal-boucle-bentley,product-images/carpet/alternative-flooring/af-sisal-boucle/af-sisal-boucle-bentley.jpg
CA14579ALT,AF Sisal Boucle,Alternative Flooring,Carpet,100% Sisal,4 | 5,44.16666666666667,53.0,Bitterne,af-sisal-boucle-bitterne,product-images/carpet/alternative-flooring/af-sisal-boucle/af-sisal-boucle-bitterne.jpg
CA14579ALT,AF Sisal Boucle,Alternative Flooring,Carpet,100% Sisal,4 | 5,44.16666666666667,53.0,Blenheim,af-sisal-boucle-blenheim,product-images/carpet/alternative-flooring/af-sisal-boucle/af-sisal-boucle-blenheim.jpg
CA14579ALT,AF Sisal Boucle,Alternative Flooring,Carpet,100% Sisal,4 | 5,44.16666666666667,53.0,Braemere,af-sisal-boucle-braemere,product-images/carpet/alternative-flooring/af-sisal-boucle/af-sisal-boucle-braemere.jpg
CA14579ALT,AF Sisal Boucle,Alternative Flooring,Carpet,100% Sisal,4 | 5,44.16666666666667,53.0,Braishfield,af-sisal-boucle-braishfield,product-images/carpet/alternative-flooring/af-sisal-boucle/af-sisal-boucle-braishfield.jpg
CA14579ALT,AF Sisal Boucle,Alternative Flooring,Carpet,100% Sisal,4 | 5,44.16666666666667,53.0,Brockton,af-sisal-boucle-brockton,product-images/carpet/alternative-flooring/af-sisal-boucle/af-sisal-boucle-brockton.jpg
CA14579ALT,AF Sisal Boucle,Alternative Flooring,Carpet,100% Sisal,4 | 5,44.16666666666667,53.0,Burghclere,af-sisal-boucle-burghclere,product-images/carpet/alternative-flooring/af-sisal-boucle/af-sisal-boucle-burghclere.jpg
CA14579ALT,AF Sisal Boucle,Alternative Flooring,Carpet,100% Sisal,4 | 5,44.16666666666667,53.0,Buriton,af-sisal-boucle-buriton,product-images/carpet/alternative-flooring/af-sisal-boucle/af-sisal-boucle-buriton.jpg
CA14579ALT,AF Sisal Boucle,Alternative Flooring,Carpet,100% Sisal,4 | 5,44.16666666666667,53.0,Burleigh,af-sisal-boucle-burleigh,product-images/carpet/alternative-flooring/af-sisal-boucle/af-sisal-boucle-burleigh.jpg
CA14579ALT,AF Sisal Boucle,Alternative Flooring,Carpet,100% Sisal,4 | 5,44.16666666666667,53.0,Burnage,af-sisal-boucle-burnage,product-images/carpet/alternative-flooring/af-sisal-boucle/af-sisal-boucle-burnage.jpg
CA14579ALT,AF Sisal Boucle,Alternative Flooring,Carpet,100% Sisal,4 | 5,44.16666666666667,53.0,Burridge,af-sisal-boucle-burridge,product-images/carpet/alternative-flooring/af-sisal-boucle/af-sisal-boucle-burridge.jpg
CA14579ALT,AF Sisal Boucle,Alternative Flooring,Carpet,100% Sisal,4 | 5,44.16666666666667,53.0,Byfield,af-sisal-boucle-byfield,product-images/carpet/alternative-flooring/af-sisal-boucle/af-sisal-boucle-byfield.jpg
CA25303ALT,AF Sisal Herringbone,Alternative Flooring,Carpet,100% Sisal,4 | 5,47.5,57.0,Hambledon,af-sisal-herringbone-hambledon,product-images/carpet/alternative-flooring/af-sisal-herringbone/af-sisal-herringbone-hambledon.jpg
CA25303ALT,AF Sisal Herringbone,Alternative Flooring,Carpet,100% Sisal,4 | 5,47.5,57.0,Hampton,af-sisal-herringbone-hampton,product-images/carpet/alternative-flooring/af-sisal-herringbone/af-sisal-herringbone-hampton.jpg
CA25303ALT,AF Sisal Herringbone,Alternative Flooring,Carpet,100% Sisal,4 | 5,47.5,57.0,Harestock,af-sisal-herringbone-harestock,product-images/carpet/alternative-flooring/af-sisal-herringbone/af-sisal-herringbone-harestock.jpg
CA25303ALT,AF Sisal Herringbone,Alternative Flooring,Carpet,100% Sisal,4 | 5,47.5,57.0,Hartley,af-sisal-herringbone-hartley,product-images/carpet/alternative-flooring/af-sisal-herringbone/af-sisal-herringbone-hartley.jpg
CA25303ALT,AF Sisal Herringbone,Alternative Flooring,Carpet,100% Sisal,4 | 5,47.5,57.0,Hazeley,af-sisal-herringbone-hazeley,product-images/carpet/alternative-flooring/af-sisal-herringbone/af-sisal-herringbone-hazeley.jpg
CA25303ALT,AF Sisal Herringbone,Alternative Flooring,Carpet,100% Sisal,4 | 5,47.5,57.0,Herne,af-sisal-herringbone-herne,product-images/carpet/alternative-flooring/af-sisal-herringbone/af-sisal-herringbone-herne.jpg
CA25303ALT,AF Sisal Herringbone,Alternative Flooring,Carpet,100% Sisal,4 | 5,47.5,57.0,Highclere,af-sisal-herringbone-highclere,product-images/carpet/alternative-flooring/af-sisal-herringbone/af-sisal-herringbone-highclere.jpg
CA25303ALT,AF Sisal Herringbone,Alternative Flooring,Carpet,100% Sisal,4 | 5,47.5,57.0,Hinton,af-sisal-herringbone-hinton,product-images/carpet/alternative-flooring/af-sisal-herringbone/af-sisal-herringbone-hinton.jpg
CA25303ALT,AF Sisal Herringbone,Alternative Flooring,Carpet,100% Sisal,4 | 5,47.5,57.0,Hockley,af-sisal-herringbone-hockley,product-images/carpet/alternative-flooring/af-sisal-herringbone/af-sisal-herringbone-hockley.jpg
CA25303ALT,AF Sisal Herringbone,Alternative Flooring,Carpet,100% Sisal,4 | 5,47.5,57.0,Holbury,af-sisal-herringbone-holbury,product-images/carpet/alternative-flooring/af-sisal-herringbone/af-sisal-herringbone-holbury.jpg
CA25303ALT,AF Sisal Herringbone,Alternative Flooring,Carpet,100% Sisal,4 | 5,47.5,57.0,Houghton,af-sisal-herringbone-houghton,product-images/carpet/alternative-flooring/af-sisal-herringbone/af-sisal-herringbone-houghton.jpg
CA13115ALT,AF Sisal Malay,Alternative Flooring,Carpet,100% Sisal,4 | 5,48.33333333333333,58.0,Beijing,af-sisal-malay-beijing,product-images/carpet/alternative-flooring/af-sisal-malay/af-sisal-malay-beijing.jpg
CA13115ALT,AF Sisal Malay,Alternative Flooring,Carpet,100% Sisal,4 | 5,48.33333333333333,58.0,Canton,af-sisal-malay-canton,product-images/carpet/alternative-flooring/af-sisal-malay/af-sisal-malay-canton.jpg
CA13115ALT,AF Sisal Malay,Alternative Flooring,Carpet,100% Sisal,4 | 5,48.33333333333333,58.0,Changan,af-sisal-malay-changan,product-images/carpet/alternative-flooring/af-sisal-malay/af-sisal-malay-changan.jpg
CA13115ALT,AF Sisal Malay,Alternative Flooring,Carpet,100% Sisal,4 | 5,48.33333333333333,58.0,Chen,af-sisal-malay-chen,product-images/carpet/alternative-flooring/af-sisal-malay/af-sisal-malay-chen.jpg
