SKU,Product,Manufacturer,Supplier,Category,Type,Thickness,Pack Quantity,Species,Finish,Width,Length,Cost ex VAT,Sell ex VAT,Sell inc VAT,Twickenham,Richmond,Discontinued?,Show on Website?
WO70904LAM,Carcassone Black,Lamett,Lamett,Wood,Plank,15/4,2.904,European Oak,Oil,220,600 - 2200,54.0,75.83333333333333,91,Yes,Yes,,Yes
WO96447LAM,Carcassone Blanco,Lamett,Lamett,Wood,Plank,15/4,2.904,European Oak,Oil,220,600 - 2200,54.0,75.83333333333333,91,Yes,Yes,,Yes
WO62515LAM,Carcassone Look Unfinished,Lamett,Lamett,Wood,Plank,15/4,2.904,European Oak,Oil,220,600 - 2200,54.0,75.83333333333333,91,Yes,Yes,,Yes
WO46594LAM,Carcassone Natural,Lamett,Lamett,Wood,Plank,15/4,2.904,European Oak,Oil,220,600 - 2200,54.0,75.83333333333333,91,Yes,Yes,,Yes
WO17708LAM,Carcassone DC Granola,Lamett,Lamett,Wood,Plank,15/4,2.904,European Oak,Oil,220,600 - 2200,72.93,102.5,123,,Yes,,Yes
WO95366LAM,Carcassone DC Caramel,Lamett,Lamett,Wood,Plank,15/4,2.904,European Oak,Oil,220,600 - 2200,72.93,102.5,123,,Yes,,Yes
WO90387LAM,Carcassone DC Crumble,Lamett,Lamett,Wood,Plank,15/4,2.904,European Oak,Oil,220,600 - 2200,72.93,102.5,123,,Yes,,Yes
WO74306LAM,Carcassone DC Café Au Lait,Lamett,Lamett,Wood,Plank,15/4,2.904,European Oak,Oil,220,600 - 2200,72.93,102.5,123,,Yes,,Yes
WO87364LAM,Carcassone DC Amaretto,Lamett,Lamett,Wood,Plank,15/4,2.904,European Oak,Oil,220,600 - 2200,72.93,102.5,123,,Yes,,Yes
WO34389LAM,Carcassone DC Latte,Lamett,Lamett,Wood,Plank,15/4,2.904,European Oak,Oil,220,600 - 2200,72.93,102.5,123,,Yes,,Yes
WO88874LAM,Chalet 190 Invisible,Lamett,Lamett,Wood,Plank,14/3,2.888,European Oak,Oil,190,600 - 1900,31.88,52.5,63,,Yes,,Yes
WO91101LAM,Chalet 190 Natural,Lamett,Lamett,Wood,Plank,14/3,2.888,European Oak,Oil,190,600 - 1900,31.88,52.5,63,,Yes,,Yes
WO58453LAM,Chalet Herringbone Invisible,Lamett,Lamett,Wood,Herringbone,14/4,1.44,European Oak,Oil,120,600 - 1900,33.81,55.83333333333333,67,Yes,,,Yes
WO15305LAM,Chalet Herringbone Natural,Lamett,Lamett,Wood,Herringbone,14/5,1.44,European Oak,Oil,120,600 - 1900,33.81,55.83333333333333,67,Yes,,,Yes
WO50169LAM,Cottage 190 Invisible,Lamett,Lamett,Wood,Plank,14/3,2.12,European Oak,Lacquer,190,650 - 1900,33.0,54.16666666666667,65,Yes,Yes,,Yes
WO75834LAM,Cottage 190 Mont Blanc,Lamett,Lamett,Wood,Plank,14/3,2.12,European Oak,Lacquer,190,650 - 1900,33.0,54.16666666666667,65,Yes,Yes,,Yes
