SKU,Product,Manufacturer,Category,Material,Width,Colours,Cost ex VAT,Sell ex VAT,Sell inc VAT,Twickenham,Richmond,Discontinued?,Show on Website?
RU23724SOP,Sophie Cooney Zurianna (70 CM),Sophie Cooney Runners,Runner,"100% NZ Wool, (Handwoven)",700,"Dark Navy, Moss Green",301.04,354.16666666666663,425.0,,,,Yes
RU42609SOP,Sophie Cooney Eye Duo (Raw Cotton) (60 CM),Sophie Cooney Runners,Runner,"100% Raw Cotton, (Handwoven)",600,"Cherry Red, Moss Green, Navy Blue, Yellow",123.96,145.83333333333334,175.0,,,,Yes
RU51123SOP,Sophie Cooney Rudis Via (Raw Cotton) (60 CM),Sophie Cooney Runners,Runner,"100% Raw Cotton, (Handwoven)",600,"Red, Yellow",123.96,145.83333333333334,175.0,,,,Yes
RU92805SOP,Sophie Cooney Terra Design (Raw Cotton) (60 CM),Sophie Cooney Runners,Runner,"100% Raw Cotton, (Handwoven)",600,Blue – Turquoise,123.96,145.83333333333334,175.0,,,,Yes
RU65362SOP,Sophie Cooney Thors Design (Raw Cotton) (60 CM),Sophie Cooney Runners,Runner,"100% Raw Cotton, (Handwoven)",600,"Blue - Orange, Moss Green - Orange, Salmon - Navy",123.96,145.83333333333334,175.0,,,,Yes
RU32429SOP,Sophie Cooney Tria Design (Raw Cotton) (60 CM),Sophie Cooney Runners,Runner,"100% Raw Cotton, (Handwoven)",600,"Green, Blue",123.96,145.83333333333334,175.0,,,,Yes
RU31210SOP,Sophie Cooney Zuri Design (Raw Cotton) (60 CM),Sophie Cooney Runners,Runner,"100% Raw Cotton, (Handwoven)",600,"Navy Blue, Red Navy",123.96,145.83333333333334,175.0,,,,Yes
RU48299FLE,Adelaide,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 2, 3, 4, 6",77.0,138.33,165.996,,Yes,,Yes
RU80514FLE,Amersham,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 3, 4, 5, 6, 9, 10",77.0,138.33,165.996,,Yes,,Yes
RU97976FLE,Artizan,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 2, 3, 4",77.0,138.33,165.996,,Yes,,Yes
RU96538FLE,Beads,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 3, 5, 6",81.0,145.83,174.996,,Yes,,Yes
RU85965FLE,Beauport,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 2, 3, 4",81.0,145.83,174.996,,Yes,,Yes
RU99733FLE,Bonnington,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 4, 6, 8",77.0,138.33,165.996,,Yes,,Yes
RU43517FLE,Brenzett,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 2, 3, 4",83.0,150.0,180.0,,Yes,,Yes
RU88347FLE,Brompton,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 3, 6, 8",77.0,138.33,165.996,,Yes,,Yes
RU92564FLE,Campana,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 2, 4, 5, 6",77.0,138.33,165.996,,Yes,,Yes
RU44021FLE,Cheriton,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 2, 3, 4",77.0,138.33,165.996,,Yes,,Yes
RU25678FLE,Coral,Fleetwood Fox,Runner,100% New Zealand Wool,700,"2, 3, 4, 5, 6, 7, 9, 12, 13, 14, 15, 16, 17, 18",81.0,145.83,174.996,,Yes,,Yes
RU33079FLE,Cordwell,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 2, 4, 5",77.0,138.33,165.996,,Yes,,Yes
RU28876FLE,Crossland,Fleetwood Fox,Runner,100% New Zealand Wool,700,4,81.0,145.83,174.996,,Yes,,Yes
RU54897FLE,Daplyn,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 2, 3, 4, 5",77.0,138.33,165.996,,Yes,,Yes
RU96837FLE,Dashwood,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 2, 3, 4, 5",77.0,138.33,165.996,,Yes,,Yes
RU94024FLE,Elmscott,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 2, 3, 4, 5, 6",77.0,138.33,165.996,,Yes,,Yes
RU79682FLE,Fairfax,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 3, 4, 6, 8, 10",77.0,138.33,165.996,,Yes,,Yes
RU54565FLE,Felixstowe,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",77.0,138.33,165.996,,Yes,,Yes
RU73937FLE,Gentleman's Stripe,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 2, 5, 6, 7, 8, 9",77.0,138.33,165.996,,Yes,,Yes
RU72422FLE,Grayling,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 2, 3, 4",83.0,150.0,180.0,,Yes,,Yes
RU74931FLE,Greenwich,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 3, 5",77.0,138.33,165.996,,Yes,,Yes
RU69363FLE,Hanover,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15",77.0,138.33,165.996,,Yes,,Yes
RU23539FLE,Havisham,Fleetwood Fox,Runner,100% New Zealand Wool,700,"2, 3",77.0,138.33,165.996,,Yes,,Yes
RU95377FLE,Hawkwell,Fleetwood Fox,Runner,100% New Zealand Wool,700,"2, 3, 4, 5, 13, 16, 19, 21, 22, 24",77.0,138.33,165.996,,Yes,,Yes
RU50919FLE,Herringbone,Fleetwood Fox,Runner,100% New Zealand Wool,700,"4, 5, 8, 9, 11, 17, 25, 27, 28, 30, 31, 32, 33, 35, 38, 39, 40",77.0,138.33,165.996,,Yes,,Yes
RU16649FLE,Herringbone Border,Fleetwood Fox,Runner,100% New Zealand Wool,700,"44, 45, 47",77.0,138.33,165.996,,Yes,,Yes
RU36928FLE,Hollingbourne,Fleetwood Fox,Runner,100% New Zealand Wool,700,"2, 5, 6",77.0,138.33,165.996,,Yes,,Yes
RU30219FLE,Honiton,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 2, 6, 7, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25",81.0,145.83,174.996,,Yes,,Yes
RU20164FLE,Kempton,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, ",77.0,138.33,165.996,,Yes,,Yes
RU97215FLE,Kirkstall,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 3",81.0,145.83,174.996,,Yes,,Yes
RU90812FLE,Lambrook,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 2, 4, 5",77.0,138.33,165.996,,Yes,,Yes
RU77719FLE,Lazonby,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 2, 3, 4, 5",77.0,138.33,165.996,,Yes,,Yes
RU33005FLE,Lytton,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 2, 5",77.0,138.33,165.996,,Yes,,Yes
RU18830FLE,Mannering,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 2, 3, 4, 5, 6",77.0,138.33,165.996,,Yes,,Yes
RU11268FLE,Marcham,Fleetwood Fox,Runner,100% New Zealand Wool,700,4,77.0,138.33,165.996,,Yes,,Yes
RU95480FLE,Merriot,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18",83.0,150.0,180.0,,Yes,,Yes
RU80304FLE,Montrose,Fleetwood Fox,Runner,100% New Zealand Wool,700,"21, 22, 23, 24",77.0,138.33,165.996,,Yes,,Yes
RU64762FLE,Newport,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 2",77.0,138.33,165.996,,Yes,,Yes
RU67158FLE,Nynehead,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 4, 5",77.0,138.33,165.996,,Yes,,Yes
RU42692FLE,Oxley,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 2, 3, 4, 5, 6, 7",77.0,138.33,165.996,,Yes,,Yes
RU66039FLE,Ozolins,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11",83.0,150.0,180.0,,Yes,,Yes
RU62648FLE,Paxford,Fleetwood Fox,Runner,100% New Zealand Wool,700,3,81.0,145.83,174.996,,Yes,,Yes
RU75934FLE,Pellerin,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 2, 3, 4",77.0,138.33,165.996,,Yes,,Yes
RU73950FLE,Peyton,Fleetwood Fox,Runner,100% New Zealand Wool,700,"4, 9, 10, 11, 12",77.0,138.33,165.996,,Yes,,Yes
RU19973FLE,Ribbon,Fleetwood Fox,Runner,100% New Zealand Wool,700,"9, 10, 14",86.0,155.0,186.0,,Yes,,Yes
RU13644FLE,Roserton,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 2, 3, 4, 5",77.0,138.33,165.996,,Yes,,Yes
RU85516FLE,Rostella,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 2, 3, 4, 5, 6",81.0,145.83,174.996,,Yes,,Yes
RU76875FLE,Runswick,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 2, 3, 4, 6, 7, 12, 14, 15, 16, 18, 19, 20, 22, 24",77.0,138.33,165.996,,Yes,,Yes
