Installation Item,SKU,Unit,Cost,Sell (Exc.),Sell (Inc.),Category,Type,Discontinued?
Installation - Apply Sealant,INS61200WOO,LM,3.0,3.75,4.5,Wood,Installation,
Move (Emptied) Furniture,INS16958WOO,Per Room,25.0,29.166666666666664,35.0,Wood,Furniture,
Lay Floor Protection,INS55973WOO,SQM,2.5,2.916666666666667,3.5,Wood,Installation,
Delivery (Minimum),INS16058WOO,Unit,45.0,54.16666666666667,65.0,Wood,Delivery,
Delivery,INS83003WOO,Unit (£),1.0,1.15,1.38,Wood,Delivery,
Ply Installation - Standard,INS47494WOO,Per Sheet,30.0,35.0,42.0,Wood,Sub floor works,
Ply Installation - 12mm(+),INS36130WOO,Per Sheet,35.0,40.83333333333333,49.0,Wood,Sub floor works,
Preparation - Miscellaneous,INS29082WOO,Unit (£),1.0,1.1583333333333332,1.39,Wood,Sub floor works,
Primer Application,INS59904WOO,SQM,2.5,2.916666666666667,3.5,Wood,Sub floor works,
Smoothing Compound Installation,INS18793WOO,Per Bag,45.0,54.16666666666667,65.0,Wood,Sub floor works,
Acrylic DPM Installation,INS61951WOO,SQM,8.0,9.583333333333334,11.5,Wood,Sub floor works,
Acrylic DPM Installation (Minimum),INS48174WOO,Unit,300.0,354.16666666666663,425.0,Wood,Sub floor works,
Moisture Suppressant Installation,INS46087WOO,SQM,8.0,9.583333333333334,11.5,Wood,Sub floor works,
Moisture Suppressant Installation (Minimum),INS50367WOO,Unit,300.0,354.16666666666663,425.0,Wood,Sub floor works,
Removal (Uplift & Disposal) of Carpet etc.,INS56396WOO,SQM,3.5,4.166666666666667,5.0,Wood,Uplift,
Removal (Uplift & Disposal) of Adhered Carpet etc. ,INS91153WOO,SQM,5.0,5.833333333333334,7.0,Wood,Uplift,
Removal (Uplift & Disposal) of Laminate etc.,INS52594WOO,SQM,7.0,8.125,9.75,Wood,Uplift,
Removal (Uplift & Disposal) of Floating Wood Flooring etc. ,INS52633WOO,SQM,9.5,11.25,13.5,Wood,Uplift,
Removal (Uplift & Disposal) of Adhered Wood Flooring etc. ,INS12122WOO,SQM,12.5,14.583333333333332,17.5,Wood,Uplift,
Removal (Uplift & Disposal) of (Ceramic) Tiles etc. ,INS64877WOO,SQM,15.0,20.833333333333336,25.0,Wood,Uplift,
Removal (Uplift & Disposal) - Minimum charge,INS74609WOO,Unit,70.0,83.33333333333334,100.0,Wood,Uplift,
