SKU,Product,Manufacturer,Supplier,Category,Type,Cost ex VAT,Sell ex VAT,Sell inc VAT,Notes,Discontinued?
AN19677CAT,AR3 SF 3mm Ramp - Designer Satin (2715 mm),CAT,Ballister,Ancillaries,Profile,28.01,87.5,105.0,,
AN20116CAT,AC38 SF Cover Plate - Bronze (2715 mm),CAT,Ballister,Ancillaries,Profile,29.96,87.5,105.0,,
AN20282CAT,Standard Door Bar - Gold - Double (900 mm),CAT,Ballister,Ancillaries,Profile,1.92,6.67,8.004,,
AN20356CAT,Standard Door Bar - Gold - Z-Section (900 mm),CAT,Ballister,Ancillaries,Profile,1.92,6.67,8.004,,
AN20625CAT,Feline Double Profile - Antique Bronze (900 mm),CAT,Ballister,Ancillaries,Profile,31.84,52.08,62.495999999999995,,
AN21396CAT,CAT Designer Home - Light Bronze - Single (ANF) (900 mm),CAT,Ballister,Ancillaries,Profile,10.01,24.17,29.004,,
AN22333CAT,CAT Designer Home - Satin - Double (A/9/2) (2715 mm),CAT,Ballister,Ancillaries,Profile,46.44,65.83,78.996,,
AN23478CAT,Standard Door Bar - Gold - Double (2715 mm),CAT,Ballister,Ancillaries,Profile,5.04,17.5,21.0,,
AN23767CAT,CAT Solid Brass - Satin Brass - Z-Section (900 mm),CAT,Ballister,Ancillaries,Profile,29.61,54.17,65.004,,
AN24976CAT,Feline Z Profile - Satin Chrome (900 mm),CAT,Ballister,Ancillaries,Profile,41.27,52.08,62.495999999999995,,
AN24984CAT,AR3 SF 3mm Ramp - Pewter (900 mm),CAT,Ballister,Ancillaries,Profile,9.33,35.0,42.0,,
AN25045CAT,CAT Designer Home - Onyx - Double (A/9/2) (900 mm),CAT,Ballister,Ancillaries,Profile,15.47,24.17,29.004,,
AN27914CAT,Standard Door Bar - Gold - Z-Section (2715 mm),CAT,Ballister,Ancillaries,Profile,5.04,17.5,21.0,,
AN27943CAT,CAT Designer Home - Satin - Single (ANF) (900 mm),CAT,Ballister,Ancillaries,Profile,10.01,24.17,29.004,,
AN28266CAT,CAT Designer Home - Onyx - Double (A/9/2) (2715 mm),CAT,Ballister,Ancillaries,Profile,46.44,65.83,78.996,,
AN28311CAT,CAT Designer Home - Satin - Z-Section (A/10) (2715 mm),CAT,Ballister,Ancillaries,Profile,41.54,65.83,78.996,,
AN28481CAT,Feline Z Profile - Antique Bronze (900 mm),CAT,Ballister,Ancillaries,Profile,29.08,52.08,62.495999999999995,,
AN28744CAT,AC38 SF Cover Plate - Brushed Stainless (900 mm),CAT,Ballister,Ancillaries,Profile,9.99,35.0,42.0,,
AN29213CAT,CAT Designer Home - Bright - Double (A/9/2) (900 mm),CAT,Ballister,Ancillaries,Profile,15.47,24.17,29.004,,
AN29913CAT,AR6 SF 6mm Ramp - Piano Black (900 mm),CAT,Ballister,Ancillaries,Profile,9.33,35.0,42.0,,
AN29999CAT,CAT Solid Brass - Polished Brass - Single (900 mm),CAT,Ballister,Ancillaries,Profile,15.86,37.5,45.0,,
AN30144CAT,CAT Designer Home - Bronze - Single (ANF) (2715 mm),CAT,Ballister,Ancillaries,Profile,30.02,65.83,78.996,,
AN30216CAT,AR6 SF 6mm Ramp - Designer Satin (2715 mm),CAT,Ballister,Ancillaries,Profile,28.01,87.5,105.0,,
AN30721CAT,CAT Designer Home - Brushed Stainless - Single (ANF) (2715 mm),CAT,Ballister,Ancillaries,Profile,30.02,65.83,78.996,,
AN30725CAT,AR6 SF 6mm Ramp - Brushed Stainless (900 mm),CAT,Ballister,Ancillaries,Profile,9.33,35.0,42.0,,
AN31192CAT,AR3 SF 3mm Ramp - Light Bronze (900 mm),CAT,Ballister,Ancillaries,Profile,9.33,35.0,42.0,,
AN31466CAT,CAT Designer Home - Piano Black - Single (ANF) (2715 mm),CAT,Ballister,Ancillaries,Profile,30.02,65.83,78.996,,Yes
AN35845CAT,Standard Door Bar - Silver - Single (2715 mm),CAT,Ballister,Ancillaries,Profile,5.04,17.5,21.0,,
AN36197CAT,Feline Double Profile - Chrome (900 mm),CAT,Ballister,Ancillaries,Profile,41.37,52.08,62.495999999999995,,
AN37826CAT,CAT Designer Home - Bright - Double (A/9/2) (2715 mm),CAT,Ballister,Ancillaries,Profile,46.44,65.83,78.996,,
AN38362CAT,AR6 SF 6mm Ramp - Piano Black (2715 mm),CAT,Ballister,Ancillaries,Profile,28.01,87.5,105.0,,
AN39920CAT,AR3 SF 3mm Ramp - Pewter (2715 mm),CAT,Ballister,Ancillaries,Profile,28.01,87.5,105.0,,
AN40618CAT,CAT Solid Brass - Satin Brass - Single (2715 mm),CAT,Ballister,Ancillaries,Profile,47.57,104.17,125.00399999999999,,
AN40693CAT,AR3 SF 3mm Ramp - Onyx (2715 mm),CAT,Ballister,Ancillaries,Profile,28.01,87.5,105.0,,
AN41801CAT,CAT Solid Brass - Antique Brass - Single (900 mm),CAT,Ballister,Ancillaries,Profile,15.97,37.5,45.0,,
AN41858CAT,AR3 SF 3mm Ramp - Bronze (2715 mm),CAT,Ballister,Ancillaries,Profile,28.01,87.5,105.0,,
AN42015CAT,FAB 1 Twin Top Single Leg Carpet Trim - Chrome (900 mm),CAT,Ballister,Ancillaries,Profile,16.44,45.83,54.995999999999995,,
AN42291CAT,CAT Designer Home - Bright - Z-Section (A/10) (900 mm),CAT,Ballister,Ancillaries,Profile,13.84,24.17,29.004,,
AN43072CAT,CAT Designer Home - Bronze - Double (A/9/2) (2715 mm),CAT,Ballister,Ancillaries,Profile,46.44,65.83,78.996,,
AN44913CAT,CAT Designer Home - Onyx - Z-Section (A/10) (2715 mm),CAT,Ballister,Ancillaries,Profile,41.54,65.83,78.996,,
AN45071CAT,CAT Designer Home - Piano Black - Double (A/9/2) (2715 mm),CAT,Ballister,Ancillaries,Profile,46.44,65.83,78.996,,Yes
AN45097CAT,Standard Door Bar - Silver - Z-Section (2715 mm),CAT,Ballister,Ancillaries,Profile,5.04,17.5,21.0,,
AN46120CAT,CAT Solid Brass - Antique Brass - Double (900 mm),CAT,Ballister,Ancillaries,Profile,33.75,54.17,65.004,,
AN46229CAT,FAB 1 Twin Top Single Leg Carpet Trim - Antique Bronze (900 mm),CAT,Ballister,Ancillaries,Profile,13.46,45.83,54.995999999999995,,
AN47770CAT,Standard Door Bar - Gold - Single (900 mm),CAT,Ballister,Ancillaries,Profile,1.92,6.67,8.004,,
AN51078CAT,CAT Designer Home - Satin - Single (ANF) (2715 mm),CAT,Ballister,Ancillaries,Profile,30.02,65.83,78.996,,
