Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA42714CRU,Crucial Trading,Buttercup Morning Mist WB103 (5 M),Buttercup,Morning Mist WB103,5.0,56.3,101.0,Carpet,Wool,
CA44502CRU,Crucial Trading,Buttercup Soft Shell WB102 (5 M),Buttercup,Soft Shell WB102,5.0,56.3,101.0,Carpet,Wool,
CA34866CRU,Crucial Trading,Buttercup Warm Grey WB105 (5 M),Buttercup,Warm Grey WB105,5.0,56.3,101.0,Carpet,Wool,
CA53585CRU,Crucial Trading,Buttercup White Linen WB100 (5 M),Buttercup,White Linen WB100,5.0,56.3,101.0,Carpet,Wool,
CA14297CRU,Crucial Trading,CT Intec Solvent-Free Stain Inhibitor,,,1.0,1.95,5.0,Carpet,Misc,
CA82808CRU,Crucial Trading,CT Seagrass Basketweave (4 M),CT Seagrass Basketweave,,4.0,23.16,50.0,Carpet,Seagrass,
CA46502CRU,Crucial Trading,CT Seagrass Herringbone Accents (4 M),CT Seagrass Herringbone Accents,,4.0,18.39,44.0,Carpet,Seagrass,
CA55571CRU,Crucial Trading,CT Seagrass Herringbone Classic (4 M),CT Seagrass Herringbone Classic,,4.0,16.89,41.0,Carpet,Seagrass,
CA79706CRU,Crucial Trading,CT Seagrass Original (4 M),CT Seagrass Original,,4.0,14.55,35.0,Carpet,Seagrass,
CA27836CRU,Crucial Trading,CT Sisal Big Boucle Accents Aluminium E658 (4 M),CT Sisal Big Boucle Accents,Aluminium E658,4.0,27.76,57.0,Carpet,Sisal,
CA36686CRU,Crucial Trading,CT Sisal Big Boucle Accents Aluminium E658 (5 M),CT Sisal Big Boucle Accents,Aluminium E658,5.0,27.76,57.0,Carpet,Sisal,
CA51156CRU,Crucial Trading,CT Sisal Big Boucle Accents Antique Gold E659 (4 M),CT Sisal Big Boucle Accents,Antique Gold E659,4.0,27.76,57.0,Carpet,Sisal,
CA15305CRU,Crucial Trading,CT Sisal Big Boucle Accents Antique Gold E659 (5 M),CT Sisal Big Boucle Accents,Antique Gold E659,5.0,27.76,57.0,Carpet,Sisal,
CA87210CRU,Crucial Trading,CT Sisal Big Boucle Accents Black E680 (4 M),CT Sisal Big Boucle Accents,Black E680,4.0,27.76,57.0,Carpet,Sisal,
CA35001CRU,Crucial Trading,CT Sisal Big Boucle Accents Black E680 (5 M),CT Sisal Big Boucle Accents,Black E680,5.0,27.76,57.0,Carpet,Sisal,
