Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA89238WES,Westex,Barrington Loop Honeycomb (4.57 M),Barrington Loop,Honeycomb,4.57,35.03,65.0,Carpet,Wool,
CA14646WES,Westex,Barrington Loop Honeycomb (5 M),Barrington Loop,Honeycomb,5.0,35.03,65.0,Carpet,Wool,
CA65551WES,Westex,Barrington Loop Maple (1 M),Barrington Loop,Maple,1.0,35.03,65.0,Carpet,Wool,
CA49465WES,Westex,Barrington Loop Maple (3.66 M),Barrington Loop,Maple,3.66,35.03,65.0,Carpet,Wool,
CA73133WES,Westex,Barrington Loop Maple (4 M),Barrington Loop,Maple,4.0,35.03,65.0,Carpet,Wool,
CA61112WES,Westex,Barrington Loop Maple (4.57 M),Barrington Loop,Maple,4.57,35.03,65.0,Carpet,Wool,
CA48911WES,Westex,Barrington Loop Maple (5 M),Barrington Loop,Maple,5.0,35.03,65.0,Carpet,Wool,
CA85599WES,Westex,Barrington Loop Nordic (1 M),Barrington Loop,Nordic,1.0,35.03,65.0,Carpet,Wool,
CA15441WES,Westex,Barrington Loop Nordic (3.66 M),Barrington Loop,Nordic,3.66,35.03,65.0,Carpet,Wool,
CA94346WES,Westex,Barrington Loop Nordic (4 M),Barrington Loop,Nordic,4.0,35.03,65.0,Carpet,Wool,
CA65891WES,Westex,Barrington Loop Nordic (4.57 M),Barrington Loop,Nordic,4.57,35.03,65.0,Carpet,Wool,
CA94926WES,Westex,Barrington Loop Nordic (5 M),Barrington Loop,Nordic,5.0,35.03,65.0,Carpet,Wool,
CA33893WES,Westex,Barrington Loop Pewter (1 M),Barrington Loop,Pewter,1.0,35.03,65.0,Carpet,Wool,
CA23149WES,Westex,Barrington Loop Pewter (3.66 M),Barrington Loop,Pewter,3.66,35.03,65.0,Carpet,Wool,
CA12025WES,Westex,Barrington Loop Pewter (4 M),Barrington Loop,Pewter,4.0,35.03,65.0,Carpet,Wool,
CA25431WES,Westex,Barrington Loop Pewter (4.57 M),Barrington Loop,Pewter,4.57,35.03,65.0,Carpet,Wool,
CA69831WES,Westex,Barrington Loop Pewter (5 M),Barrington Loop,Pewter,5.0,35.03,65.0,Carpet,Wool,
