Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA14291ASS,Associated Weavers,Gaia Tigris Chimney Smoke (5 M),Gaia Tigris,Chimney Smoke,5.0,12.86,31.0,Carpet,Synthetic,
CA99310ASS,Associated Weavers,Gaia Tigris Goa (4 M),Gaia Tigris,Goa,4.0,12.86,31.0,Carpet,Synthetic,
CA93085ASS,Associated Weavers,Gaia Tigris Goa (5 M),Gaia Tigris,Goa,5.0,12.86,31.0,Carpet,Synthetic,
CA82398ASS,Associated Weavers,Gaia Tigris Graphite (4 M),Gaia Tigris,Graphite,4.0,12.86,31.0,Carpet,Synthetic,
CA75067ASS,Associated Weavers,Gaia Tigris Graphite (5 M),Gaia Tigris,Graphite,5.0,12.86,31.0,Carpet,Synthetic,
CA22150ASS,Associated Weavers,Gaia Tigris Iron Grey (4 M),Gaia Tigris,Iron Grey,4.0,12.86,31.0,Carpet,Synthetic,
CA34873ASS,Associated Weavers,Gaia Tigris Iron Grey (5 M),Gaia Tigris,Iron Grey,5.0,12.86,31.0,Carpet,Synthetic,
CA36953ASS,Associated Weavers,Gaia Tigris London Roof (4 M),Gaia Tigris,London Roof,4.0,12.86,31.0,Carpet,Synthetic,
CA89537ASS,Associated Weavers,Gaia Tigris London Roof (5 M),Gaia Tigris,London Roof,5.0,12.86,31.0,Carpet,Synthetic,
CA94904ASS,Associated Weavers,Gaia Tigris Rolling Fog (4 M),Gaia Tigris,Rolling Fog,4.0,12.86,31.0,Carpet,Synthetic,
CA51419ASS,Associated Weavers,Gaia Tigris Rolling Fog (5 M),Gaia Tigris,Rolling Fog,5.0,12.86,31.0,Carpet,Synthetic,
CA94273ASS,Associated Weavers,Gaia Tigris Sand Tan (4 M),Gaia Tigris,Sand Tan,4.0,12.86,31.0,Carpet,Synthetic,
CA14105ASS,Associated Weavers,Gaia Tigris Sand Tan (5 M),Gaia Tigris,Sand Tan,5.0,12.86,31.0,Carpet,Synthetic,
CA11249ASS,Associated Weavers,Gaia Tigris Spanish Olive (4 M),Gaia Tigris,Spanish Olive,4.0,12.86,31.0,Carpet,Synthetic,
CA67126ASS,Associated Weavers,Gaia Tigris Spanish Olive (5 M),Gaia Tigris,Spanish Olive,5.0,12.86,31.0,Carpet,Synthetic,
CA88885ASS,Associated Weavers,Gaia Tigris Teddy Bear (4 M),Gaia Tigris,Teddy Bear,4.0,12.86,31.0,Carpet,Synthetic,
CA71386ASS,Associated Weavers,Gaia Tigris Teddy Bear (5 M),Gaia Tigris,Teddy Bear,5.0,12.86,31.0,Carpet,Synthetic,
CA40011ASS,Associated Weavers,Gaia Tigris Wren Feather (4 M),Gaia Tigris,Wren Feather,4.0,12.86,31.0,Carpet,Synthetic,
CA96606ASS,Associated Weavers,Gaia Tigris Wren Feather (5 M),Gaia Tigris,Wren Feather,5.0,12.86,31.0,Carpet,Synthetic,
CA14650ASS,Associated Weavers,Invictus Sirius Ash Grey (4 M),Invictus Sirius,Ash Grey,4.0,15.2,37.0,Carpet,Synthetic,
