Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Symphony Berlin (4 M),CA32272ELE-8EB3B,Elements London,172.605,172.605,260.0,Carpet,Carpet,Elements London Symphony Berlin 4,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Symphony Berlin (5 M),CA32272ELE-8C3F0,Elements London,215.75625,215.75625,325.0,Carpet,Carpet,Elements London Symphony Berlin  5,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Symphony Cairo (4 M),CA32272ELE-E6C7D,Elements London,172.605,172.605,260.0,Carpet,Carpet,Elements London Symphony  Cairo 4,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Symphony Cairo (5 M),CA32272ELE-39103,Elements London,215.75625,215.75625,325.0,Carpet,Carpet,Elements London Symphony  Cairo  5,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Symphony Chicago (4 M),CA32272ELE-8C6B6,Elements London,172.605,172.605,260.0,Carpet,Carpet,Elements London Symphony  Chicago 4,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Symphony Chicago (5 M),CA32272ELE-C7295,Elements London,215.75625,215.75625,325.0,Carpet,Carpet,Elements London Symphony  Chicago  5,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Symphony Dresden (4 M),CA32272ELE-3D3FA,Elements London,172.605,172.605,260.0,Carpet,Carpet,Elements London Symphony  Dresden 4,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Symphony Dresden (5 M),CA32272ELE-805B8,Elements London,215.75625,215.75625,325.0,Carpet,Carpet,Elements London Symphony  Dresden  5,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Symphony Leningrad (4 M),CA32272ELE-6D388,Elements London,172.605,172.605,260.0,Carpet,Carpet,Elements London Symphony  Leningrad 4,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Symphony Leningrad (5 M),CA32272ELE-1B5F8,Elements London,215.75625,215.75625,325.0,Carpet,Carpet,Elements London Symphony  Leningrad  5,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Symphony London (4 M),CA32272ELE-89C97,Elements London,172.605,172.605,260.0,Carpet,Carpet,Elements London Symphony  London 4,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Symphony London (5 M),CA32272ELE-9940C,Elements London,215.75625,215.75625,325.0,Carpet,Carpet,Elements London Symphony  London  5,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Symphony Mariinsky (4 M),CA32272ELE-8D340,Elements London,172.605,172.605,260.0,Carpet,Carpet,Elements London Symphony  Mariinsky 4,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Symphony Mariinsky (5 M),CA32272ELE-9DBF1,Elements London,215.75625,215.75625,325.0,Carpet,Carpet,Elements London Symphony  Mariinsky  5,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Symphony Montreal (4 M),CA32272ELE-B7A2C,Elements London,172.605,172.605,260.0,Carpet,Carpet,Elements London Symphony  Montreal 4,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Symphony Montreal (5 M),CA32272ELE-DED4D,Elements London,215.75625,215.75625,325.0,Carpet,Carpet,Elements London Symphony  Montreal  5,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Symphony New York (4 M),CA32272ELE-FC978,Elements London,172.605,172.605,260.0,Carpet,Carpet,Elements London Symphony  New York 4,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Symphony New York (5 M),CA32272ELE-F09AE,Elements London,215.75625,215.75625,325.0,Carpet,Carpet,Elements London Symphony  New York  5,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Symphony Paris (4 M),CA32272ELE-DEB9D,Elements London,172.605,172.605,260.0,Carpet,Carpet,Elements London Symphony  Paris 4,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Symphony Paris (5 M),CA32272ELE-E1383,Elements London,215.75625,215.75625,325.0,Carpet,Carpet,Elements London Symphony  Paris  5,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Symphony Seoul (4 M),CA32272ELE-FBA6E,Elements London,172.605,172.605,260.0,Carpet,Carpet,Elements London Symphony  Seoul 4,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Symphony Seoul (5 M),CA32272ELE-9DD67,Elements London,215.75625,215.75625,325.0,Carpet,Carpet,Elements London Symphony  Seoul  5,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Symphony Toronto (4 M),CA32272ELE-F5E78,Elements London,172.605,172.605,260.0,Carpet,Carpet,Elements London Symphony  Toronto 4,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Symphony Toronto (5 M),CA32272ELE-2827F,Elements London,215.75625,215.75625,325.0,Carpet,Carpet,Elements London Symphony  Toronto  5,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Symphony Vienna (4 M),CA32272ELE-ABD57,Elements London,172.605,172.605,260.0,Carpet,Carpet,Elements London Symphony  Vienna 4,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Symphony Vienna (5 M),CA32272ELE-98E25,Elements London,215.75625,215.75625,325.0,Carpet,Carpet,Elements London Symphony  Vienna  5,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Synergy Cinnamon Stick (4 M),CA86321ELE-28A65,Elements London,198.505,198.505,296.6666666666667,Carpet,Carpet,Elements London Synergy Cinnamon Stick 4,Price per SQM: £89.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Synergy Dairy Cream (4 M),CA86321ELE-A903A,Elements London,198.505,198.505,296.6666666666667,Carpet,Carpet,Elements London Synergy  Dairy Cream 4,Price per SQM: £89.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Synergy Emerald City (4 M),CA86321ELE-B63C9,Elements London,198.505,198.505,296.6666666666667,Carpet,Carpet,Elements London Synergy  Emerald City 4,Price per SQM: £89.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Synergy Granite Shine (4 M),CA86321ELE-7B3D9,Elements London,198.505,198.505,296.6666666666667,Carpet,Carpet,Elements London Synergy  Granite Shine 4,Price per SQM: £89.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Synergy Intense Truffle (4 M),CA86321ELE-82339,Elements London,198.505,198.505,296.6666666666667,Carpet,Carpet,Elements London Synergy  Intense Truffle 4,Price per SQM: £89.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Synergy Pinot Noir (4 M),CA86321ELE-52AF1,Elements London,198.505,198.505,296.6666666666667,Carpet,Carpet,Elements London Synergy  Pinot Noir 4,Price per SQM: £89.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Synergy Silver Cloud (4 M),CA86321ELE-6DD2F,Elements London,198.505,198.505,296.6666666666667,Carpet,Carpet,Elements London Synergy  Silver Cloud 4,Price per SQM: £89.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Synergy Star Sapphire (4 M),CA86321ELE-E8269,Elements London,198.505,198.505,296.6666666666667,Carpet,Carpet,Elements London Synergy  Star Sapphire 4,Price per SQM: £89.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Synergy Steel Sword (4 M),CA86321ELE-6769D,Elements London,198.505,198.505,296.6666666666667,Carpet,Carpet,Elements London Synergy  Steel Sword 4,Price per SQM: £89.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Synergy Velvet Snow (4 M),CA86321ELE-96FBA,Elements London,198.505,198.505,296.6666666666667,Carpet,Carpet,Elements London Synergy  Velvet Snow 4,Price per SQM: £89.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Synergy Warm Mocha (4 M),CA86321ELE-3DF88,Elements London,198.505,198.505,296.6666666666667,Carpet,Carpet,Elements London Synergy  Warm Mocha 4,Price per SQM: £89.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Times Square Appletini (4 M),CA19559ELE-38C4C,Elements London,130.462,130.462,223.33333333333331,Carpet,Carpet,Elements London Times Square Appletini 4,Price per SQM: £67.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Times Square Appletini (5 M),CA19559ELE-2DF54,Elements London,163.0775,163.0775,279.16666666666663,Carpet,Carpet,Elements London Times Square Appletini  5,Price per SQM: £67.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Times Square Bellini (4 M),CA19559ELE-D06DB,Elements London,130.462,130.462,223.33333333333331,Carpet,Carpet,Elements London Times Square  Bellini 4,Price per SQM: £67.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Times Square Bellini (5 M),CA19559ELE-9E287,Elements London,163.0775,163.0775,279.16666666666663,Carpet,Carpet,Elements London Times Square  Bellini  5,Price per SQM: £67.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Times Square Cosmopolitan (4 M),CA19559ELE-8223E,Elements London,130.462,130.462,223.33333333333331,Carpet,Carpet,Elements London Times Square  Cosmopolitan 4,Price per SQM: £67.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Times Square Cosmopolitan (5 M),CA19559ELE-84DA9,Elements London,163.0775,163.0775,279.16666666666663,Carpet,Carpet,Elements London Times Square  Cosmopolitan  5,Price per SQM: £67.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Times Square Daiquiri (4 M),CA19559ELE-26E65,Elements London,130.462,130.462,223.33333333333331,Carpet,Carpet,Elements London Times Square  Daiquiri 4,Price per SQM: £67.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Times Square Daiquiri (5 M),CA19559ELE-70127,Elements London,163.0775,163.0775,279.16666666666663,Carpet,Carpet,Elements London Times Square  Daiquiri  5,Price per SQM: £67.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Times Square Mai Tai (4 M),CA19559ELE-82608,Elements London,130.462,130.462,223.33333333333331,Carpet,Carpet,Elements London Times Square  Mai Tai 4,Price per SQM: £67.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Times Square Mai Tai (5 M),CA19559ELE-67C81,Elements London,163.0775,163.0775,279.16666666666663,Carpet,Carpet,Elements London Times Square  Mai Tai  5,Price per SQM: £67.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Times Square Margarita (4 M),CA19559ELE-CAAFB,Elements London,130.462,130.462,223.33333333333331,Carpet,Carpet,Elements London Times Square  Margarita 4,Price per SQM: £67.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Times Square Margarita (5 M),CA19559ELE-A7F9B,Elements London,163.0775,163.0775,279.16666666666663,Carpet,Carpet,Elements London Times Square  Margarita  5,Price per SQM: £67.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Times Square Martini (4 M),CA19559ELE-78F1F,Elements London,130.462,130.462,223.33333333333331,Carpet,Carpet,Elements London Times Square  Martini 4,Price per SQM: £67.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Times Square Martini (5 M),CA19559ELE-6F80B,Elements London,163.0775,163.0775,279.16666666666663,Carpet,Carpet,Elements London Times Square  Martini  5,Price per SQM: £67.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Times Square Mojito (4 M),CA19559ELE-84F40,Elements London,130.462,130.462,223.33333333333331,Carpet,Carpet,Elements London Times Square  Mojito 4,Price per SQM: £67.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Times Square Mojito (5 M),CA19559ELE-8495F,Elements London,163.0775,163.0775,279.16666666666663,Carpet,Carpet,Elements London Times Square  Mojito  5,Price per SQM: £67.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Times Square Moscow Mule (4 M),CA19559ELE-4E997,Elements London,130.462,130.462,223.33333333333331,Carpet,Carpet,Elements London Times Square  Moscow Mule 4,Price per SQM: £67.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Times Square Moscow Mule (5 M),CA19559ELE-CAB12,Elements London,163.0775,163.0775,279.16666666666663,Carpet,Carpet,Elements London Times Square  Moscow Mule  5,Price per SQM: £67.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Times Square Pina Colada (4 M),CA19559ELE-79C1F,Elements London,130.462,130.462,223.33333333333331,Carpet,Carpet,Elements London Times Square  Pina Colada 4,Price per SQM: £67.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Times Square Pina Colada (5 M),CA19559ELE-5A7CF,Elements London,163.0775,163.0775,279.16666666666663,Carpet,Carpet,Elements London Times Square  Pina Colada  5,Price per SQM: £67.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Times Square Singapore Sling (4 M),CA19559ELE-CE3D4,Elements London,130.462,130.462,223.33333333333331,Carpet,Carpet,Elements London Times Square  Singapore Sling 4,Price per SQM: £67.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Times Square Singapore Sling (5 M),CA19559ELE-6D09E,Elements London,163.0775,163.0775,279.16666666666663,Carpet,Carpet,Elements London Times Square  Singapore Sling  5,Price per SQM: £67.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Times Square Whiskey Sour (4 M),CA19559ELE-45553,Elements London,130.462,130.462,223.33333333333331,Carpet,Carpet,Elements London Times Square  Whiskey Sour 4,Price per SQM: £67.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Times Square Whiskey Sour (5 M),CA19559ELE-E7504,Elements London,163.0775,163.0775,279.16666666666663,Carpet,Carpet,Elements London Times Square  Whiskey Sour  5,Price per SQM: £67.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Verdi Autumn Leaf (5 M),CA64268ELE-4B478,Elements London,179.68125,179.68125,287.5,Carpet,Carpet,Elements London Verdi Autumn Leaf 5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Verdi Spring Meadow (5 M),CA64268ELE-99547,Elements London,179.68125,179.68125,287.5,Carpet,Carpet,Elements London Verdi  Spring Meadow 5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Verdi Summer Haze (5 M),CA64268ELE-59EAB,Elements London,179.68125,179.68125,287.5,Carpet,Carpet,Elements London Verdi  Summer Haze 5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Verdi Winter Wisp (5 M),CA64268ELE-41BFF,Elements London,179.68125,179.68125,287.5,Carpet,Carpet,Elements London Verdi  Winter Wisp 5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Vivaldi Blossom (5 M),CA93502ELE-1FF8B,Elements London,179.68125,179.68125,287.5,Carpet,Carpet,Elements London Vivaldi Blossom 5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Vivaldi Breeze (5 M),CA93502ELE-E7700,Elements London,179.68125,179.68125,287.5,Carpet,Carpet,Elements London Vivaldi  Breeze 5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Vivaldi Glow (5 M),CA93502ELE-10BF2,Elements London,179.68125,179.68125,287.5,Carpet,Carpet,Elements London Vivaldi  Glow 5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Vivaldi Misty (5 M),CA93502ELE-6F307,Elements London,179.68125,179.68125,287.5,Carpet,Carpet,Elements London Vivaldi  Misty 5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Wall Street Appletini (4 M),CA23013ELE-38C4C,Elements London,210.049,210.049,316.6666666666667,Carpet,Carpet,Elements London Wall Street Appletini 4,Price per SQM: £95.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Wall Street Appletini (5 M),CA23013ELE-2DF54,Elements London,262.56125000000003,262.56125000000003,395.83333333333337,Carpet,Carpet,Elements London Wall Street Appletini  5,Price per SQM: £95.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Wall Street Bellini (4 M),CA23013ELE-D06DB,Elements London,210.049,210.049,316.6666666666667,Carpet,Carpet,Elements London Wall Street  Bellini 4,Price per SQM: £95.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Wall Street Bellini (5 M),CA23013ELE-9E287,Elements London,262.56125000000003,262.56125000000003,395.83333333333337,Carpet,Carpet,Elements London Wall Street  Bellini  5,Price per SQM: £95.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Wall Street Cosmopolitan (4 M),CA23013ELE-8223E,Elements London,210.049,210.049,316.6666666666667,Carpet,Carpet,Elements London Wall Street  Cosmopolitan 4,Price per SQM: £95.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Wall Street Cosmopolitan (5 M),CA23013ELE-84DA9,Elements London,262.56125000000003,262.56125000000003,395.83333333333337,Carpet,Carpet,Elements London Wall Street  Cosmopolitan  5,Price per SQM: £95.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Wall Street Daiquiri (4 M),CA23013ELE-26E65,Elements London,210.049,210.049,316.6666666666667,Carpet,Carpet,Elements London Wall Street  Daiquiri 4,Price per SQM: £95.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Wall Street Daiquiri (5 M),CA23013ELE-70127,Elements London,262.56125000000003,262.56125000000003,395.83333333333337,Carpet,Carpet,Elements London Wall Street  Daiquiri  5,Price per SQM: £95.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Wall Street Mai Tai (4 M),CA23013ELE-82608,Elements London,210.049,210.049,316.6666666666667,Carpet,Carpet,Elements London Wall Street  Mai Tai 4,Price per SQM: £95.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Wall Street Mai Tai (5 M),CA23013ELE-67C81,Elements London,262.56125000000003,262.56125000000003,395.83333333333337,Carpet,Carpet,Elements London Wall Street  Mai Tai  5,Price per SQM: £95.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Wall Street Margarita (4 M),CA23013ELE-CAAFB,Elements London,210.049,210.049,316.6666666666667,Carpet,Carpet,Elements London Wall Street  Margarita 4,Price per SQM: £95.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Wall Street Margarita (5 M),CA23013ELE-A7F9B,Elements London,262.56125000000003,262.56125000000003,395.83333333333337,Carpet,Carpet,Elements London Wall Street  Margarita  5,Price per SQM: £95.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Wall Street Martini (4 M),CA23013ELE-78F1F,Elements London,210.049,210.049,316.6666666666667,Carpet,Carpet,Elements London Wall Street  Martini 4,Price per SQM: £95.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Wall Street Martini (5 M),CA23013ELE-6F80B,Elements London,262.56125000000003,262.56125000000003,395.83333333333337,Carpet,Carpet,Elements London Wall Street  Martini  5,Price per SQM: £95.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Wall Street Mojito (4 M),CA23013ELE-84F40,Elements London,210.049,210.049,316.6666666666667,Carpet,Carpet,Elements London Wall Street  Mojito 4,Price per SQM: £95.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Wall Street Mojito (5 M),CA23013ELE-8495F,Elements London,262.56125000000003,262.56125000000003,395.83333333333337,Carpet,Carpet,Elements London Wall Street  Mojito  5,Price per SQM: £95.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Wall Street Moscow Mule (4 M),CA23013ELE-4E997,Elements London,210.049,210.049,316.6666666666667,Carpet,Carpet,Elements London Wall Street  Moscow Mule 4,Price per SQM: £95.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Wall Street Moscow Mule (5 M),CA23013ELE-CAB12,Elements London,262.56125000000003,262.56125000000003,395.83333333333337,Carpet,Carpet,Elements London Wall Street  Moscow Mule  5,Price per SQM: £95.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Wall Street Pina Colada (4 M),CA23013ELE-79C1F,Elements London,210.049,210.049,316.6666666666667,Carpet,Carpet,Elements London Wall Street  Pina Colada 4,Price per SQM: £95.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Wall Street Pina Colada (5 M),CA23013ELE-5A7CF,Elements London,262.56125000000003,262.56125000000003,395.83333333333337,Carpet,Carpet,Elements London Wall Street  Pina Colada  5,Price per SQM: £95.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Wall Street Singapore Sling (4 M),CA23013ELE-CE3D4,Elements London,210.049,210.049,316.6666666666667,Carpet,Carpet,Elements London Wall Street  Singapore Sling 4,Price per SQM: £95.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Wall Street Singapore Sling (5 M),CA23013ELE-6D09E,Elements London,262.56125000000003,262.56125000000003,395.83333333333337,Carpet,Carpet,Elements London Wall Street  Singapore Sling  5,Price per SQM: £95.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Wall Street Whiskey Sour (4 M),CA23013ELE-45553,Elements London,210.049,210.049,316.6666666666667,Carpet,Carpet,Elements London Wall Street  Whiskey Sour 4,Price per SQM: £95.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Wall Street Whiskey Sour (5 M),CA23013ELE-E7504,Elements London,262.56125000000003,262.56125000000003,395.83333333333337,Carpet,Carpet,Elements London Wall Street  Whiskey Sour  5,Price per SQM: £95.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Wellington Kestral (4 M),CA71054ELE-1D910,Elements London,165.02,165.02,246.66666666666669,Carpet,Carpet,Elements London Wellington Kestral 4,Price per SQM: £74.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Wellington Kiwi (4 M),CA71054ELE-3A5A6,Elements London,165.02,165.02,246.66666666666669,Carpet,Carpet,Elements London Wellington  Kiwi 4,Price per SQM: £74.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Wellington Partridge (4 M),CA71054ELE-DBA80,Elements London,165.02,165.02,246.66666666666669,Carpet,Carpet,Elements London Wellington  Partridge 4,Price per SQM: £74.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Wellington Rook (4 M),CA71054ELE-A4B0D,Elements London,165.02,165.02,246.66666666666669,Carpet,Carpet,Elements London Wellington  Rook 4,Price per SQM: £74.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Wellington Sparrow (4 M),CA71054ELE-59836,Elements London,165.02,165.02,246.66666666666669,Carpet,Carpet,Elements London Wellington  Sparrow 4,Price per SQM: £74.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Westeros Casterly Rock (4 M),CA65915ELE-80FA9,Elements London,201.391,201.391,303.3333333333333,Carpet,Carpet,Elements London Westeros Casterly Rock 4,Price per SQM: £91.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Westeros Dragonstone (4 M),CA65915ELE-C5DC9,Elements London,201.391,201.391,303.3333333333333,Carpet,Carpet,Elements London Westeros  Dragonstone 4,Price per SQM: £91.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Westeros Iron Island (4 M),CA65915ELE-26BCB,Elements London,201.391,201.391,303.3333333333333,Carpet,Carpet,Elements London Westeros  Iron Island 4,Price per SQM: £91.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Westeros Winterfell (4 M),CA65915ELE-408E2,Elements London,201.391,201.391,303.3333333333333,Carpet,Carpet,Elements London Westeros  Winterfell 4,Price per SQM: £91.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
