Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Broadway Martini (5 M),CA31281ELE-6F80B,Elements London,215.75625,215.75625,325.0,Carpet,Carpet,Elements London Broadway  Martini  5,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Broadway Mojito (4 M),CA31281ELE-84F40,Elements London,172.605,172.605,260.0,Carpet,Carpet,Elements London Broadway  Mojito 4,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Broadway Mojito (5 M),CA31281ELE-8495F,Elements London,215.75625,215.75625,325.0,Carpet,Carpet,Elements London Broadway  Mojito  5,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Broadway Moscow Mule (4 M),CA31281ELE-4E997,Elements London,172.605,172.605,260.0,Carpet,Carpet,Elements London Broadway  Moscow Mule 4,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Broadway Moscow Mule (5 M),CA31281ELE-CAB12,Elements London,215.75625,215.75625,325.0,Carpet,Carpet,Elements London Broadway  Moscow Mule  5,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Broadway Pina Colada (4 M),CA31281ELE-79C1F,Elements London,172.605,172.605,260.0,Carpet,Carpet,Elements London Broadway  Pina Colada 4,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Broadway Pina Colada (5 M),CA31281ELE-5A7CF,Elements London,215.75625,215.75625,325.0,Carpet,Carpet,Elements London Broadway  Pina Colada  5,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Broadway Singapore Sling (4 M),CA31281ELE-CE3D4,Elements London,172.605,172.605,260.0,Carpet,Carpet,Elements London Broadway  Singapore Sling 4,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Broadway Singapore Sling (5 M),CA31281ELE-6D09E,Elements London,215.75625,215.75625,325.0,Carpet,Carpet,Elements London Broadway  Singapore Sling  5,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Broadway Whiskey Sour (4 M),CA31281ELE-45553,Elements London,172.605,172.605,260.0,Carpet,Carpet,Elements London Broadway  Whiskey Sour 4,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Broadway Whiskey Sour (5 M),CA31281ELE-E7504,Elements London,215.75625,215.75625,325.0,Carpet,Carpet,Elements London Broadway  Whiskey Sour  5,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Capri Fossil (5 M),CA92305ELE-0E62A,Elements London,179.68125,179.68125,287.5,Carpet,Carpet,Elements London Capri Fossil 5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Capri Marina (5 M),CA92305ELE-81FC3,Elements London,179.68125,179.68125,287.5,Carpet,Carpet,Elements London Capri  Marina 5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Capri Mosaic (5 M),CA92305ELE-7AC18,Elements London,179.68125,179.68125,287.5,Carpet,Carpet,Elements London Capri  Mosaic 5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Capri White Sand (5 M),CA92305ELE-BEC56,Elements London,179.68125,179.68125,287.5,Carpet,Carpet,Elements London Capri  White Sand 5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Hamilton Dorset (4 M),CA39313ELE-800E5,Elements London,124.283,124.283,210.0,Carpet,Carpet,Elements London Hamilton Dorset 4,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Hamilton Dorset (5 M),CA39313ELE-CEEF6,Elements London,155.35375,155.35375,262.5,Carpet,Carpet,Elements London Hamilton Dorset  5,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Hamilton Polwarth (4 M),CA39313ELE-7C9D8,Elements London,124.283,124.283,210.0,Carpet,Carpet,Elements London Hamilton  Polwarth 4,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Hamilton Polwarth (5 M),CA39313ELE-06A9F,Elements London,155.35375,155.35375,262.5,Carpet,Carpet,Elements London Hamilton  Polwarth  5,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Hamilton Ryeland (4 M),CA39313ELE-14496,Elements London,124.283,124.283,210.0,Carpet,Carpet,Elements London Hamilton  Ryeland 4,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Hamilton Ryeland (5 M),CA39313ELE-EAC1E,Elements London,155.35375,155.35375,262.5,Carpet,Carpet,Elements London Hamilton  Ryeland  5,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Hamilton Texel (4 M),CA39313ELE-31B5A,Elements London,124.283,124.283,210.0,Carpet,Carpet,Elements London Hamilton  Texel 4,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Hamilton Texel (5 M),CA39313ELE-A6157,Elements London,155.35375,155.35375,262.5,Carpet,Carpet,Elements London Hamilton  Texel  5,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Hamilton Valais (4 M),CA39313ELE-DD14A,Elements London,124.283,124.283,210.0,Carpet,Carpet,Elements London Hamilton  Valais 4,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Hamilton Valais (5 M),CA39313ELE-A5947,Elements London,155.35375,155.35375,262.5,Carpet,Carpet,Elements London Hamilton  Valais  5,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Havana Cigar Leaf (5 M),CA40951ELE-135BD,Elements London,180.4675,180.4675,287.5,Carpet,Carpet,Elements London Havana Cigar Leaf 5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Havana Cuban Smoke (5 M),CA40951ELE-B5976,Elements London,180.4675,180.4675,287.5,Carpet,Carpet,Elements London Havana  Cuban Smoke 5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Havana Old Mural (5 M),CA40951ELE-93D29,Elements London,180.4675,180.4675,287.5,Carpet,Carpet,Elements London Havana  Old Mural 5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Havana Sugar Cane (5 M),CA40951ELE-606DA,Elements London,180.4675,180.4675,287.5,Carpet,Carpet,Elements London Havana  Sugar Cane 5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Havana White Rum (5 M),CA40951ELE-57460,Elements London,180.4675,180.4675,287.5,Carpet,Carpet,Elements London Havana  White Rum 5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Havana Plains Blanco (5 M),CA72851ELE-171EF,Elements London,180.4675,180.4675,287.5,Carpet,Carpet,Elements London Havana Plains Blanco 5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Havana Plains Classico (5 M),CA72851ELE-60DCD,Elements London,180.4675,180.4675,287.5,Carpet,Carpet,Elements London Havana Plains  Classico 5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Havana Plains Navarro (5 M),CA72851ELE-4E734,Elements London,180.4675,180.4675,287.5,Carpet,Carpet,Elements London Havana Plains  Navarro 5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Havana Plains Spiced (5 M),CA72851ELE-D4E1D,Elements London,180.4675,180.4675,287.5,Carpet,Carpet,Elements London Havana Plains  Spiced 5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Havana Plains Tesoro (5 M),CA72851ELE-A7673,Elements London,180.4675,180.4675,287.5,Carpet,Carpet,Elements London Havana Plains  Tesoro 5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Roma Chiffon (5 M),CA83065ELE-CBC96,Elements London,210.57625000000002,210.57625000000002,316.66666666666663,Carpet,Carpet,Elements London Roma Chiffon 5,Price per SQM: £76.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Roma Dove (5 M),CA83065ELE-35AC8,Elements London,210.57625000000002,210.57625000000002,316.66666666666663,Carpet,Carpet,Elements London Roma  Dove 5,Price per SQM: £76.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Roma Hessian (5 M),CA83065ELE-3AD55,Elements London,210.57625000000002,210.57625000000002,316.66666666666663,Carpet,Carpet,Elements London Roma  Hessian 5,Price per SQM: £76.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Roma Honey (5 M),CA83065ELE-823BF,Elements London,210.57625000000002,210.57625000000002,316.66666666666663,Carpet,Carpet,Elements London Roma  Honey 5,Price per SQM: £76.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Roma Iron (5 M),CA83065ELE-56311,Elements London,210.57625000000002,210.57625000000002,316.66666666666663,Carpet,Carpet,Elements London Roma  Iron 5,Price per SQM: £76.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Roma Latte (5 M),CA83065ELE-D0B4A,Elements London,210.57625000000002,210.57625000000002,316.66666666666663,Carpet,Carpet,Elements London Roma  Latte 5,Price per SQM: £76.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Roma Moleskin (5 M),CA83065ELE-DE417,Elements London,210.57625000000002,210.57625000000002,316.66666666666663,Carpet,Carpet,Elements London Roma  Moleskin 5,Price per SQM: £76.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Roma Mushroom (5 M),CA83065ELE-D9EFC,Elements London,210.57625000000002,210.57625000000002,316.66666666666663,Carpet,Carpet,Elements London Roma  Mushroom 5,Price per SQM: £76.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Roma Oyster (5 M),CA83065ELE-A6923,Elements London,210.57625000000002,210.57625000000002,316.66666666666663,Carpet,Carpet,Elements London Roma  Oyster 5,Price per SQM: £76.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Roma Peat (5 M),CA83065ELE-89362,Elements London,210.57625000000002,210.57625000000002,316.66666666666663,Carpet,Carpet,Elements London Roma  Peat 5,Price per SQM: £76.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Roma Sandstone (5 M),CA83065ELE-317BE,Elements London,210.57625000000002,210.57625000000002,316.66666666666663,Carpet,Carpet,Elements London Roma  Sandstone 5,Price per SQM: £76.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Roma Truffle (5 M),CA83065ELE-E2379,Elements London,210.57625000000002,210.57625000000002,316.66666666666663,Carpet,Carpet,Elements London Roma  Truffle 5,Price per SQM: £76.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Roma Tusk (5 M),CA83065ELE-272BB,Elements London,210.57625000000002,210.57625000000002,316.66666666666663,Carpet,Carpet,Elements London Roma  Tusk 5,Price per SQM: £76.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Scenario Air Force Blue (4 M),CA38883ELE-A37B9,Elements London,213.046,213.046,320.0,Carpet,Carpet,Elements London Scenario Air Force Blue 4,Price per SQM: £96.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Scenario Bay Leaf (4 M),CA38883ELE-21E49,Elements London,213.046,213.046,320.0,Carpet,Carpet,Elements London Scenario  Bay Leaf 4,Price per SQM: £96.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Scenario Classic Cream (4 M),CA38883ELE-989DD,Elements London,213.046,213.046,320.0,Carpet,Carpet,Elements London Scenario  Classic Cream 4,Price per SQM: £96.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Scenario Dark Graphite (4 M),CA38883ELE-D4FE8,Elements London,213.046,213.046,320.0,Carpet,Carpet,Elements London Scenario  Dark Graphite 4,Price per SQM: £96.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Scenario English Orchid (4 M),CA38883ELE-CA5EC,Elements London,213.046,213.046,320.0,Carpet,Carpet,Elements London Scenario  English Orchid 4,Price per SQM: £96.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Scenario French Silver (4 M),CA38883ELE-DBB40,Elements London,213.046,213.046,320.0,Carpet,Carpet,Elements London Scenario  French Silver 4,Price per SQM: £96.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Scenario Gold Nugget (4 M),CA38883ELE-EB2FD,Elements London,213.046,213.046,320.0,Carpet,Carpet,Elements London Scenario  Gold Nugget 4,Price per SQM: £96.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Scenario Marine Jade (4 M),CA38883ELE-2EAD6,Elements London,213.046,213.046,320.0,Carpet,Carpet,Elements London Scenario  Marine Jade 4,Price per SQM: £96.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Scenario Morning Coffee (4 M),CA38883ELE-1055F,Elements London,213.046,213.046,320.0,Carpet,Carpet,Elements London Scenario  Morning Coffee 4,Price per SQM: £96.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Scenario Rose Blush (4 M),CA38883ELE-D5897,Elements London,213.046,213.046,320.0,Carpet,Carpet,Elements London Scenario  Rose Blush 4,Price per SQM: £96.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Scenario Turtle Dove (4 M),CA38883ELE-0542B,Elements London,213.046,213.046,320.0,Carpet,Carpet,Elements London Scenario  Turtle Dove 4,Price per SQM: £96.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Scenario Urban Grey (4 M),CA38883ELE-A58E1,Elements London,213.046,213.046,320.0,Carpet,Carpet,Elements London Scenario  Urban Grey 4,Price per SQM: £96.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Scenario White Mist (4 M),CA38883ELE-3EDDD,Elements London,213.046,213.046,320.0,Carpet,Carpet,Elements London Scenario  White Mist 4,Price per SQM: £96.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Serenade Barcelona (4 M),CA62329ELE-C7869,Elements London,172.605,172.605,260.0,Carpet,Carpet,Elements London Serenade Barcelona 4,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Serenade St Petersburg (4 M),CA62329ELE-6BE99,Elements London,172.605,172.605,260.0,Carpet,Carpet,Elements London Serenade  St Petersburg 4,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Serenade Boston (4 M),CA62329ELE-80F5E,Elements London,172.605,172.605,260.0,Carpet,Carpet,Elements London Serenade  Boston 4,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Serenade Amsterdam (4 M),CA62329ELE-53A0F,Elements London,172.605,172.605,260.0,Carpet,Carpet,Elements London Serenade  Amsterdam 4,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Serenade Bordeaux (4 M),CA62329ELE-EE51B,Elements London,172.605,172.605,260.0,Carpet,Carpet,Elements London Serenade  Bordeaux 4,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Serenade Budapest (4 M),CA62329ELE-F0E92,Elements London,172.605,172.605,260.0,Carpet,Carpet,Elements London Serenade  Budapest 4,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Serenity Gemini (4 M),CA74878ELE-74015,Elements London,138.602,138.602,236.66666666666669,Carpet,Carpet,Elements London Serenity Gemini 4,Price per SQM: £71.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Serenity Gemini (5 M),CA74878ELE-9F5E1,Elements London,173.2525,173.2525,295.83333333333337,Carpet,Carpet,Elements London Serenity Gemini  5,Price per SQM: £71.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Serenity Hydra (4 M),CA74878ELE-1E939,Elements London,138.602,138.602,236.66666666666669,Carpet,Carpet,Elements London Serenity  Hydra 4,Price per SQM: £71.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Serenity Hydra (5 M),CA74878ELE-DE9CE,Elements London,173.2525,173.2525,295.83333333333337,Carpet,Carpet,Elements London Serenity  Hydra  5,Price per SQM: £71.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Serenity Lynx (4 M),CA74878ELE-59EEF,Elements London,138.602,138.602,236.66666666666669,Carpet,Carpet,Elements London Serenity  Lynx 4,Price per SQM: £71.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Serenity Lynx (5 M),CA74878ELE-B0FC4,Elements London,173.2525,173.2525,295.83333333333337,Carpet,Carpet,Elements London Serenity  Lynx  5,Price per SQM: £71.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Serenity Neptune (4 M),CA74878ELE-9B5EF,Elements London,138.602,138.602,236.66666666666669,Carpet,Carpet,Elements London Serenity  Neptune 4,Price per SQM: £71.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Serenity Neptune (5 M),CA74878ELE-6F805,Elements London,173.2525,173.2525,295.83333333333337,Carpet,Carpet,Elements London Serenity  Neptune  5,Price per SQM: £71.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Serenity Pisces (4 M),CA74878ELE-1E28D,Elements London,138.602,138.602,236.66666666666669,Carpet,Carpet,Elements London Serenity  Pisces 4,Price per SQM: £71.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Serenity Pisces (5 M),CA74878ELE-943E0,Elements London,173.2525,173.2525,295.83333333333337,Carpet,Carpet,Elements London Serenity  Pisces  5,Price per SQM: £71.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Serenity Venus (4 M),CA74878ELE-02E29,Elements London,138.602,138.602,236.66666666666669,Carpet,Carpet,Elements London Serenity  Venus 4,Price per SQM: £71.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Serenity Venus (5 M),CA74878ELE-5F86E,Elements London,173.2525,173.2525,295.83333333333337,Carpet,Carpet,Elements London Serenity  Venus  5,Price per SQM: £71.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Silkresse Glacier (4 M),CA32069ELE-66AC4,Elements London,242.905,242.905,363.33333333333337,Carpet,Carpet,Elements London Silkresse Glacier 4,Price per SQM: £109.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Silkresse Jet (4 M),CA32069ELE-F8B69,Elements London,242.905,242.905,363.33333333333337,Carpet,Carpet,Elements London Silkresse  Jet 4,Price per SQM: £109.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Silkresse Pearl (4 M),CA32069ELE-0D80E,Elements London,242.905,242.905,363.33333333333337,Carpet,Carpet,Elements London Silkresse  Pearl 4,Price per SQM: £109.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Silkresse Quartz (4 M),CA32069ELE-CC85A,Elements London,242.905,242.905,363.33333333333337,Carpet,Carpet,Elements London Silkresse  Quartz 4,Price per SQM: £109.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Silkresse Silica (4 M),CA32069ELE-C91A7,Elements London,242.905,242.905,363.33333333333337,Carpet,Carpet,Elements London Silkresse  Silica 4,Price per SQM: £109.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Silkresse Slate (4 M),CA32069ELE-0E4E7,Elements London,242.905,242.905,363.33333333333337,Carpet,Carpet,Elements London Silkresse  Slate 4,Price per SQM: £109.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Silkresse Zinc (4 M),CA32069ELE-994B4,Elements London,242.905,242.905,363.33333333333337,Carpet,Carpet,Elements London Silkresse  Zinc 4,Price per SQM: £109.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
