Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Flatweave Classic Herringbone Chalk (5 M),CA56172FIB-6BB5F,Fibre,109.75,109.75,195.83333333333331,Carpet,Carpet,Fibre Flatweave Classic Herringbone  Chalk  5,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Flatweave Classic Herringbone Dapple (4 M),CA56172FIB-E1E83,Fibre,87.8,87.8,156.66666666666666,Carpet,Carpet,Fibre Flatweave Classic Herringbone  Dapple 4,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Flatweave Classic Herringbone Dapple (5 M),CA56172FIB-96569,Fibre,109.75,109.75,195.83333333333331,Carpet,Carpet,Fibre Flatweave Classic Herringbone  Dapple  5,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Flatweave Classic Herringbone Lunar (4 M),CA56172FIB-F9369,Fibre,87.8,87.8,156.66666666666666,Carpet,Carpet,Fibre Flatweave Classic Herringbone  Lunar 4,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Flatweave Classic Herringbone Lunar (5 M),CA56172FIB-33EA9,Fibre,109.75,109.75,195.83333333333331,Carpet,Carpet,Fibre Flatweave Classic Herringbone  Lunar  5,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Flatweave Classic Herringbone Peat (4 M),CA56172FIB-D3DAC,Fibre,87.8,87.8,156.66666666666666,Carpet,Carpet,Fibre Flatweave Classic Herringbone  Peat 4,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Flatweave Classic Herringbone Peat (5 M),CA56172FIB-89362,Fibre,109.75,109.75,195.83333333333331,Carpet,Carpet,Fibre Flatweave Classic Herringbone  Peat  5,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Flatweave Classic Herringbone Witching (4 M),CA56172FIB-BC2C6,Fibre,87.8,87.8,156.66666666666666,Carpet,Carpet,Fibre Flatweave Classic Herringbone  Witching 4,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Flatweave Classic Herringbone Witching (5 M),CA56172FIB-B6BBF,Fibre,109.75,109.75,195.83333333333331,Carpet,Carpet,Fibre Flatweave Classic Herringbone  Witching  5,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Flatweave Classic Linear Cappuccino (4 M),CA68534FIB-31B4F,Fibre,101.0,101.0,173.33333333333331,Carpet,Carpet,Fibre Flatweave Classic Linear Cappuccino 4,"Price per SQM: £52.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Flatweave Classic Linear Crema (4 M),CA68534FIB-BE6A9,Fibre,101.0,101.0,173.33333333333331,Carpet,Carpet,Fibre Flatweave Classic Linear  Crema 4,"Price per SQM: £52.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Flatweave Classic Linear Frappe (4 M),CA68534FIB-99359,Fibre,101.0,101.0,173.33333333333331,Carpet,Carpet,Fibre Flatweave Classic Linear  Frappe 4,"Price per SQM: £52.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Flatweave Classic Linear Lungo (4 M),CA68534FIB-A6B28,Fibre,101.0,101.0,173.33333333333331,Carpet,Carpet,Fibre Flatweave Classic Linear  Lungo 4,"Price per SQM: £52.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Flatweave Classic Linear Mocha (4 M),CA68534FIB-B45AC,Fibre,101.0,101.0,173.33333333333331,Carpet,Carpet,Fibre Flatweave Classic Linear  Mocha 4,"Price per SQM: £52.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Flatweave Classic Panama Anchor (4 M),CA43169FIB-0E4BB,Fibre,94.6,94.6,170.0,Carpet,Carpet,Fibre Flatweave Classic Panama Anchor 4,"Price per SQM: £51.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Flatweave Classic Panama Biscotti (4 M),CA43169FIB-DF58E,Fibre,94.6,94.6,170.0,Carpet,Carpet,Fibre Flatweave Classic Panama  Biscotti 4,"Price per SQM: £51.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Flatweave Classic Panama Hazelnut (4 M),CA43169FIB-C1862,Fibre,94.6,94.6,170.0,Carpet,Carpet,Fibre Flatweave Classic Panama  Hazelnut 4,"Price per SQM: £51.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Flatweave Classic Panama Latte (4 M),CA43169FIB-7A57E,Fibre,94.6,94.6,170.0,Carpet,Carpet,Fibre Flatweave Classic Panama  Latte 4,"Price per SQM: £51.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Flatweave Classic Panama Saddle (4 M),CA43169FIB-509AA,Fibre,94.6,94.6,170.0,Carpet,Carpet,Fibre Flatweave Classic Panama  Saddle 4,"Price per SQM: £51.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Flatweave Classic Panama Shadow (4 M),CA43169FIB-05E00,Fibre,94.6,94.6,170.0,Carpet,Carpet,Fibre Flatweave Classic Panama  Shadow 4,"Price per SQM: £51.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Flatweave Classic Small Boucle Bracken (4 M),CA27881FIB-45793,Fibre,92.4,92.4,166.66666666666669,Carpet,Carpet,Fibre Flatweave Classic Small Boucle Bracken 4,"Price per SQM: £50.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Flatweave Classic Small Boucle Bracken (5 M),CA27881FIB-BCF27,Fibre,115.5,115.5,208.33333333333337,Carpet,Carpet,Fibre Flatweave Classic Small Boucle Bracken  5,"Price per SQM: £50.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Flatweave Classic Small Boucle Cable (4 M),CA27881FIB-C7879,Fibre,92.4,92.4,166.66666666666669,Carpet,Carpet,Fibre Flatweave Classic Small Boucle  Cable 4,"Price per SQM: £50.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
