Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
AWs California Dreams New 03 (4 M),CA76431ASS-ECCC2,Associated Weavers,74.989,74.989,150.0,Carpet,Carpet,Associated Weavers AWs California Dreams New 03 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 03 (5 M),CA76431ASS-9E879,Associated Weavers,93.73625000000001,93.73625000000001,187.5,Carpet,Carpet,Associated Weavers AWs California Dreams New 03  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 10 (4 M),CA76431ASS-F263E,Associated Weavers,74.989,74.989,150.0,Carpet,Carpet,Associated Weavers AWs California Dreams  New 10 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 10 (5 M),CA76431ASS-2B325,Associated Weavers,93.73625000000001,93.73625000000001,187.5,Carpet,Carpet,Associated Weavers AWs California Dreams  New 10  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 26 (4 M),CA76431ASS-3B6EB,Associated Weavers,74.989,74.989,150.0,Carpet,Carpet,Associated Weavers AWs California Dreams  New 26 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 26 (5 M),CA76431ASS-A0D18,Associated Weavers,93.73625000000001,93.73625000000001,187.5,Carpet,Carpet,Associated Weavers AWs California Dreams  New 26  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 29 (4 M),CA76431ASS-6037F,Associated Weavers,74.989,74.989,150.0,Carpet,Carpet,Associated Weavers AWs California Dreams  New 29 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 29 (5 M),CA76431ASS-7C200,Associated Weavers,93.73625000000001,93.73625000000001,187.5,Carpet,Carpet,Associated Weavers AWs California Dreams  New 29  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 36 (4 M),CA76431ASS-AD7DF,Associated Weavers,74.989,74.989,150.0,Carpet,Carpet,Associated Weavers AWs California Dreams  New 36 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 36 (5 M),CA76431ASS-3A05E,Associated Weavers,93.73625000000001,93.73625000000001,187.5,Carpet,Carpet,Associated Weavers AWs California Dreams  New 36  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 39 (4 M),CA76431ASS-56B01,Associated Weavers,74.989,74.989,150.0,Carpet,Carpet,Associated Weavers AWs California Dreams  New 39 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 39 (5 M),CA76431ASS-6288D,Associated Weavers,93.73625000000001,93.73625000000001,187.5,Carpet,Carpet,Associated Weavers AWs California Dreams  New 39  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 40 (4 M),CA76431ASS-D74EC,Associated Weavers,74.989,74.989,150.0,Carpet,Carpet,Associated Weavers AWs California Dreams  New 40 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 40 (5 M),CA76431ASS-146FF,Associated Weavers,93.73625000000001,93.73625000000001,187.5,Carpet,Carpet,Associated Weavers AWs California Dreams  New 40  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 49 (4 M),CA76431ASS-3148F,Associated Weavers,74.989,74.989,150.0,Carpet,Carpet,Associated Weavers AWs California Dreams  New 49 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 49 (5 M),CA76431ASS-AFF27,Associated Weavers,93.73625000000001,93.73625000000001,187.5,Carpet,Carpet,Associated Weavers AWs California Dreams  New 49  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 67 (4 M),CA76431ASS-FA402,Associated Weavers,74.989,74.989,150.0,Carpet,Carpet,Associated Weavers AWs California Dreams  New 67 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 67 (5 M),CA76431ASS-A593D,Associated Weavers,93.73625000000001,93.73625000000001,187.5,Carpet,Carpet,Associated Weavers AWs California Dreams  New 67  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 88 (4 M),CA76431ASS-2662F,Associated Weavers,74.989,74.989,150.0,Carpet,Carpet,Associated Weavers AWs California Dreams  New 88 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 88 (5 M),CA76431ASS-23A28,Associated Weavers,93.73625000000001,93.73625000000001,187.5,Carpet,Carpet,Associated Weavers AWs California Dreams  New 88  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 90 (4 M),CA76431ASS-412DB,Associated Weavers,74.989,74.989,150.0,Carpet,Carpet,Associated Weavers AWs California Dreams  New 90 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 90 (5 M),CA76431ASS-86DD1,Associated Weavers,93.73625000000001,93.73625000000001,187.5,Carpet,Carpet,Associated Weavers AWs California Dreams  New 90  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 94 (4 M),CA76431ASS-6E3E7,Associated Weavers,74.989,74.989,150.0,Carpet,Carpet,Associated Weavers AWs California Dreams  New 94 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 94 (5 M),CA76431ASS-AB24E,Associated Weavers,93.73625000000001,93.73625000000001,187.5,Carpet,Carpet,Associated Weavers AWs California Dreams  New 94  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Gladiator 28 (4 M),CA73578ASS-7F354,Associated Weavers,32.829,32.829,66.66666666666667,Carpet,Carpet,Associated Weavers AWs Gladiator 28 4,Price per SQM: £20.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Gladiator 28 (5 M),CA73578ASS-367AC,Associated Weavers,41.03625,41.03625,83.33333333333334,Carpet,Carpet,Associated Weavers AWs Gladiator 28  5,Price per SQM: £20.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Gladiator 96 (4 M),CA73578ASS-F03AC,Associated Weavers,32.829,32.829,66.66666666666667,Carpet,Carpet,Associated Weavers AWs Gladiator  96 4,Price per SQM: £20.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Gladiator 96 (5 M),CA73578ASS-AB710,Associated Weavers,41.03625,41.03625,83.33333333333334,Carpet,Carpet,Associated Weavers AWs Gladiator  96  5,Price per SQM: £20.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Gladiator 98 (4 M),CA73578ASS-388E7,Associated Weavers,32.829,32.829,66.66666666666667,Carpet,Carpet,Associated Weavers AWs Gladiator  98 4,Price per SQM: £20.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Gladiator 98 (5 M),CA73578ASS-9486D,Associated Weavers,41.03625,41.03625,83.33333333333334,Carpet,Carpet,Associated Weavers AWs Gladiator  98  5,Price per SQM: £20.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Gladiator 80 (4 M),CA73578ASS-43A78,Associated Weavers,32.829,32.829,66.66666666666667,Carpet,Carpet,Associated Weavers AWs Gladiator  80 4,Price per SQM: £20.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Gladiator 80 (5 M),CA73578ASS-F890D,Associated Weavers,41.03625,41.03625,83.33333333333334,Carpet,Carpet,Associated Weavers AWs Gladiator  80  5,Price per SQM: £20.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Gladiator 33 (4 M),CA73578ASS-FFFB8,Associated Weavers,32.829,32.829,66.66666666666667,Carpet,Carpet,Associated Weavers AWs Gladiator  33 4,Price per SQM: £20.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Gladiator 33 (5 M),CA73578ASS-4728A,Associated Weavers,41.03625,41.03625,83.33333333333334,Carpet,Carpet,Associated Weavers AWs Gladiator  33  5,Price per SQM: £20.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Gladiator 39 (4 M),CA73578ASS-BC623,Associated Weavers,32.829,32.829,66.66666666666667,Carpet,Carpet,Associated Weavers AWs Gladiator  39 4,Price per SQM: £20.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Gladiator 39 (5 M),CA73578ASS-86CF2,Associated Weavers,41.03625,41.03625,83.33333333333334,Carpet,Carpet,Associated Weavers AWs Gladiator  39  5,Price per SQM: £20.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Gladiator 93 (4 M),CA73578ASS-FC4BC,Associated Weavers,32.829,32.829,66.66666666666667,Carpet,Carpet,Associated Weavers AWs Gladiator  93 4,Price per SQM: £20.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Gladiator 93 (5 M),CA73578ASS-991E2,Associated Weavers,41.03625,41.03625,83.33333333333334,Carpet,Carpet,Associated Weavers AWs Gladiator  93  5,Price per SQM: £20.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Gladiator 99 (4 M),CA73578ASS-F22FE,Associated Weavers,32.829,32.829,66.66666666666667,Carpet,Carpet,Associated Weavers AWs Gladiator  99 4,Price per SQM: £20.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Gladiator 99 (5 M),CA73578ASS-42405,Associated Weavers,41.03625,41.03625,83.33333333333334,Carpet,Carpet,Associated Weavers AWs Gladiator  99  5,Price per SQM: £20.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Gladiator 92 (4 M),CA73578ASS-27E7E,Associated Weavers,32.829,32.829,66.66666666666667,Carpet,Carpet,Associated Weavers AWs Gladiator  92 4,Price per SQM: £20.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Gladiator 92 (5 M),CA73578ASS-5994E,Associated Weavers,41.03625,41.03625,83.33333333333334,Carpet,Carpet,Associated Weavers AWs Gladiator  92  5,Price per SQM: £20.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Gladiator 77 (4 M),CA73578ASS-66C4D,Associated Weavers,32.829,32.829,66.66666666666667,Carpet,Carpet,Associated Weavers AWs Gladiator  77 4,Price per SQM: £20.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Gladiator 77 (5 M),CA73578ASS-CCD04,Associated Weavers,41.03625,41.03625,83.33333333333334,Carpet,Carpet,Associated Weavers AWs Gladiator  77  5,Price per SQM: £20.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Island Weave [Rolls Only] Orkney 03 Portland Stone (4 M),CA49849ASS-B430E,Associated Weavers,24.769,24.769,50.0,Carpet,Carpet,Associated Weavers AWs Island Weave [Rolls Only] Orkney 03 Portland Stone 4,Price per SQM: £15.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Island Weave [Rolls Only] Orkney 03 Portland Stone (5 M),CA49849ASS-D5621,Associated Weavers,30.96125,30.96125,62.5,Carpet,Carpet,Associated Weavers AWs Island Weave [Rolls Only] Orkney 03 Portland Stone  5,Price per SQM: £15.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Island Weave [Rolls Only] Orkney 04 Silk Grey (4 M),CA49849ASS-01137,Associated Weavers,24.769,24.769,50.0,Carpet,Carpet,Associated Weavers AWs Island Weave [Rolls Only]  Orkney 04 Silk Grey 4,Price per SQM: £15.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Island Weave [Rolls Only] Orkney 04 Silk Grey (5 M),CA49849ASS-AC875,Associated Weavers,30.96125,30.96125,62.5,Carpet,Carpet,Associated Weavers AWs Island Weave [Rolls Only]  Orkney 04 Silk Grey  5,Price per SQM: £15.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Island Weave [Rolls Only] Orkney 32 Eggshell (4 M),CA49849ASS-9A211,Associated Weavers,24.769,24.769,50.0,Carpet,Carpet,Associated Weavers AWs Island Weave [Rolls Only]  Orkney 32 Eggshell 4,Price per SQM: £15.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Island Weave [Rolls Only] Orkney 32 Eggshell (5 M),CA49849ASS-DC685,Associated Weavers,30.96125,30.96125,62.5,Carpet,Carpet,Associated Weavers AWs Island Weave [Rolls Only]  Orkney 32 Eggshell  5,Price per SQM: £15.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Island Weave [Rolls Only] Orkney 50 Crystal Gold (4 M),CA49849ASS-75B92,Associated Weavers,24.769,24.769,50.0,Carpet,Carpet,Associated Weavers AWs Island Weave [Rolls Only]  Orkney 50 Crystal Gold 4,Price per SQM: £15.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Island Weave [Rolls Only] Orkney 50 Crystal Gold (5 M),CA49849ASS-412EE,Associated Weavers,30.96125,30.96125,62.5,Carpet,Carpet,Associated Weavers AWs Island Weave [Rolls Only]  Orkney 50 Crystal Gold  5,Price per SQM: £15.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Island Weave [Rolls Only] Orkney 53 Glace Sand (4 M),CA49849ASS-76A69,Associated Weavers,24.769,24.769,50.0,Carpet,Carpet,Associated Weavers AWs Island Weave [Rolls Only]  Orkney 53 Glace Sand 4,Price per SQM: £15.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Island Weave [Rolls Only] Orkney 53 Glace Sand (5 M),CA49849ASS-3BB59,Associated Weavers,30.96125,30.96125,62.5,Carpet,Carpet,Associated Weavers AWs Island Weave [Rolls Only]  Orkney 53 Glace Sand  5,Price per SQM: £15.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Island Weave [Rolls Only] Orkney 91 Platinum (4 M),CA49849ASS-A6AF6,Associated Weavers,24.769,24.769,50.0,Carpet,Carpet,Associated Weavers AWs Island Weave [Rolls Only]  Orkney 91 Platinum 4,Price per SQM: £15.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Island Weave [Rolls Only] Orkney 91 Platinum (5 M),CA49849ASS-217C0,Associated Weavers,30.96125,30.96125,62.5,Carpet,Carpet,Associated Weavers AWs Island Weave [Rolls Only]  Orkney 91 Platinum  5,Price per SQM: £15.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Island Weave [Rolls Only] Orkney 92 Slate (4 M),CA49849ASS-EA1F3,Associated Weavers,24.769,24.769,50.0,Carpet,Carpet,Associated Weavers AWs Island Weave [Rolls Only]  Orkney 92 Slate 4,Price per SQM: £15.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Island Weave [Rolls Only] Orkney 92 Slate (5 M),CA49849ASS-719CB,Associated Weavers,30.96125,30.96125,62.5,Carpet,Carpet,Associated Weavers AWs Island Weave [Rolls Only]  Orkney 92 Slate  5,Price per SQM: £15.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Island Weave [Rolls Only] Orkney 96 Graphite (4 M),CA49849ASS-0E5C9,Associated Weavers,24.769,24.769,50.0,Carpet,Carpet,Associated Weavers AWs Island Weave [Rolls Only]  Orkney 96 Graphite 4,Price per SQM: £15.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Island Weave [Rolls Only] Orkney 96 Graphite (5 M),CA49849ASS-4EE42,Associated Weavers,30.96125,30.96125,62.5,Carpet,Carpet,Associated Weavers AWs Island Weave [Rolls Only]  Orkney 96 Graphite  5,Price per SQM: £15.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Island Weave [Rolls Only] Skye 03 Portland Stone (4 M),CA49849ASS-545D6,Associated Weavers,24.769,24.769,50.0,Carpet,Carpet,Associated Weavers AWs Island Weave [Rolls Only]  Skye 03 Portland Stone 4,Price per SQM: £15.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Island Weave [Rolls Only] Skye 03 Portland Stone (5 M),CA49849ASS-42523,Associated Weavers,30.96125,30.96125,62.5,Carpet,Carpet,Associated Weavers AWs Island Weave [Rolls Only]  Skye 03 Portland Stone  5,Price per SQM: £15.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Island Weave [Rolls Only] Skye 04 Silk Grey (4 M),CA49849ASS-62103,Associated Weavers,24.769,24.769,50.0,Carpet,Carpet,Associated Weavers AWs Island Weave [Rolls Only]  Skye 04 Silk Grey 4,Price per SQM: £15.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Island Weave [Rolls Only] Skye 04 Silk Grey (5 M),CA49849ASS-9A7F8,Associated Weavers,30.96125,30.96125,62.5,Carpet,Carpet,Associated Weavers AWs Island Weave [Rolls Only]  Skye 04 Silk Grey  5,Price per SQM: £15.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Island Weave [Rolls Only] Skye 32 Eggshell (4 M),CA49849ASS-6A75E,Associated Weavers,24.769,24.769,50.0,Carpet,Carpet,Associated Weavers AWs Island Weave [Rolls Only]  Skye 32 Eggshell 4,Price per SQM: £15.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Island Weave [Rolls Only] Skye 32 Eggshell (5 M),CA49849ASS-B8DFB,Associated Weavers,30.96125,30.96125,62.5,Carpet,Carpet,Associated Weavers AWs Island Weave [Rolls Only]  Skye 32 Eggshell  5,Price per SQM: £15.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Island Weave [Rolls Only] Skye 50 Crystal Gold (4 M),CA49849ASS-A4892,Associated Weavers,24.769,24.769,50.0,Carpet,Carpet,Associated Weavers AWs Island Weave [Rolls Only]  Skye 50 Crystal Gold 4,Price per SQM: £15.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Island Weave [Rolls Only] Skye 50 Crystal Gold (5 M),CA49849ASS-3E8DE,Associated Weavers,30.96125,30.96125,62.5,Carpet,Carpet,Associated Weavers AWs Island Weave [Rolls Only]  Skye 50 Crystal Gold  5,Price per SQM: £15.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Island Weave [Rolls Only] Skye 53 Glace Sand (4 M),CA49849ASS-8CBCB,Associated Weavers,24.769,24.769,50.0,Carpet,Carpet,Associated Weavers AWs Island Weave [Rolls Only]  Skye 53 Glace Sand 4,Price per SQM: £15.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Island Weave [Rolls Only] Skye 53 Glace Sand (5 M),CA49849ASS-3746B,Associated Weavers,30.96125,30.96125,62.5,Carpet,Carpet,Associated Weavers AWs Island Weave [Rolls Only]  Skye 53 Glace Sand  5,Price per SQM: £15.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Island Weave [Rolls Only] Skye 91 Platinum (4 M),CA49849ASS-37D7D,Associated Weavers,24.769,24.769,50.0,Carpet,Carpet,Associated Weavers AWs Island Weave [Rolls Only]  Skye 91 Platinum 4,Price per SQM: £15.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Island Weave [Rolls Only] Skye 91 Platinum (5 M),CA49849ASS-9A4F9,Associated Weavers,30.96125,30.96125,62.5,Carpet,Carpet,Associated Weavers AWs Island Weave [Rolls Only]  Skye 91 Platinum  5,Price per SQM: £15.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Island Weave [Rolls Only] Skye 92 Slate (4 M),CA49849ASS-C6111,Associated Weavers,24.769,24.769,50.0,Carpet,Carpet,Associated Weavers AWs Island Weave [Rolls Only]  Skye 92 Slate 4,Price per SQM: £15.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Island Weave [Rolls Only] Skye 92 Slate (5 M),CA49849ASS-2524E,Associated Weavers,30.96125,30.96125,62.5,Carpet,Carpet,Associated Weavers AWs Island Weave [Rolls Only]  Skye 92 Slate  5,Price per SQM: £15.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Island Weave [Rolls Only] Skye 96 Graphite (4 M),CA49849ASS-4A70F,Associated Weavers,24.769,24.769,50.0,Carpet,Carpet,Associated Weavers AWs Island Weave [Rolls Only]  Skye 96 Graphite 4,Price per SQM: £15.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Island Weave [Rolls Only] Skye 96 Graphite (5 M),CA49849ASS-8FCF5,Associated Weavers,30.96125,30.96125,62.5,Carpet,Carpet,Associated Weavers AWs Island Weave [Rolls Only]  Skye 96 Graphite  5,Price per SQM: £15.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Promenade 05 Cornflower White (3 M),CA62180ASS-9F9AB,Associated Weavers,34.4565,34.4565,70.0,Carpet,Carpet,Associated Weavers AWs Promenade 05 Cornflower White 3,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Promenade 05 Cornflower White (4 M),CA62180ASS-3BA53,Associated Weavers,45.942,45.942,93.33333333333334,Carpet,Carpet,Associated Weavers AWs Promenade 05 Cornflower White  4,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Promenade 05 Cornflower White (5 M),CA62180ASS-E4A3E,Associated Weavers,57.4275,57.4275,116.66666666666669,Carpet,Carpet,Associated Weavers AWs Promenade 05 Cornflower White  5,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Promenade 07 Silver (3 M),CA62180ASS-34B90,Associated Weavers,34.4565,34.4565,70.0,Carpet,Carpet,Associated Weavers AWs Promenade  07 Silver 3,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Promenade 07 Silver (4 M),CA62180ASS-81BFA,Associated Weavers,45.942,45.942,93.33333333333334,Carpet,Carpet,Associated Weavers AWs Promenade  07 Silver  4,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Promenade 07 Silver (5 M),CA62180ASS-362BC,Associated Weavers,57.4275,57.4275,116.66666666666669,Carpet,Carpet,Associated Weavers AWs Promenade  07 Silver  5,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Promenade 09 Steel (3 M),CA62180ASS-0740D,Associated Weavers,34.4565,34.4565,70.0,Carpet,Carpet,Associated Weavers AWs Promenade  09 Steel 3,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Promenade 09 Steel (4 M),CA62180ASS-E9928,Associated Weavers,45.942,45.942,93.33333333333334,Carpet,Carpet,Associated Weavers AWs Promenade  09 Steel  4,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Promenade 09 Steel (5 M),CA62180ASS-5FCEC,Associated Weavers,57.4275,57.4275,116.66666666666669,Carpet,Carpet,Associated Weavers AWs Promenade  09 Steel  5,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Promenade 29 Linden (3 M),CA62180ASS-ED14B,Associated Weavers,34.4565,34.4565,70.0,Carpet,Carpet,Associated Weavers AWs Promenade  29 Linden 3,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Promenade 29 Linden (4 M),CA62180ASS-0D446,Associated Weavers,45.942,45.942,93.33333333333334,Carpet,Carpet,Associated Weavers AWs Promenade  29 Linden  4,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Promenade 29 Linden (5 M),CA62180ASS-6461E,Associated Weavers,57.4275,57.4275,116.66666666666669,Carpet,Carpet,Associated Weavers AWs Promenade  29 Linden  5,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Promenade 30 Portland Stone (3 M),CA62180ASS-6B60D,Associated Weavers,34.4565,34.4565,70.0,Carpet,Carpet,Associated Weavers AWs Promenade  30 Portland Stone 3,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Promenade 30 Portland Stone (4 M),CA62180ASS-17FD2,Associated Weavers,45.942,45.942,93.33333333333334,Carpet,Carpet,Associated Weavers AWs Promenade  30 Portland Stone  4,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Promenade 30 Portland Stone (5 M),CA62180ASS-6D9FE,Associated Weavers,57.4275,57.4275,116.66666666666669,Carpet,Carpet,Associated Weavers AWs Promenade  30 Portland Stone  5,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Promenade 32 Clevertone (3 M),CA62180ASS-0C154,Associated Weavers,34.4565,34.4565,70.0,Carpet,Carpet,Associated Weavers AWs Promenade  32 Clevertone 3,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Promenade 32 Clevertone (4 M),CA62180ASS-B1CF5,Associated Weavers,45.942,45.942,93.33333333333334,Carpet,Carpet,Associated Weavers AWs Promenade  32 Clevertone  4,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Promenade 32 Clevertone (5 M),CA62180ASS-060CB,Associated Weavers,57.4275,57.4275,116.66666666666669,Carpet,Carpet,Associated Weavers AWs Promenade  32 Clevertone  5,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Promenade 34 Mellow Mocha (3 M),CA62180ASS-A49E8,Associated Weavers,34.4565,34.4565,70.0,Carpet,Carpet,Associated Weavers AWs Promenade  34 Mellow Mocha 3,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Promenade 34 Mellow Mocha (4 M),CA62180ASS-DB8D0,Associated Weavers,45.942,45.942,93.33333333333334,Carpet,Carpet,Associated Weavers AWs Promenade  34 Mellow Mocha  4,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
