Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Javan Stripe JS/05 (4 M),CA67160HAL-ADC18,Hall’s Floorings,75.96,75.96,150.0,Carpet,Carpet,Hall’s Floorings Javan Stripe  JS/05 4,Price per SQM: £45.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Javan Stripe JS/05 (5 M),CA67160HAL-1D04A,Hall’s Floorings,94.94999999999999,94.94999999999999,187.5,Carpet,Carpet,Hall’s Floorings Javan Stripe  JS/05  5,Price per SQM: £45.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Javan Stripe JS/06 (4 M),CA67160HAL-2D7C0,Hall’s Floorings,75.96,75.96,150.0,Carpet,Carpet,Hall’s Floorings Javan Stripe  JS/06 4,Price per SQM: £45.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Javan Stripe JS/06 (5 M),CA67160HAL-72D25,Hall’s Floorings,94.94999999999999,94.94999999999999,187.5,Carpet,Carpet,Hall’s Floorings Javan Stripe  JS/06  5,Price per SQM: £45.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Javan Stripe JS/08 (4 M),CA67160HAL-73F4B,Hall’s Floorings,75.96,75.96,150.0,Carpet,Carpet,Hall’s Floorings Javan Stripe  JS/08 4,Price per SQM: £45.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Javan Stripe JS/08 (5 M),CA67160HAL-D3860,Hall’s Floorings,94.94999999999999,94.94999999999999,187.5,Carpet,Carpet,Hall’s Floorings Javan Stripe  JS/08  5,Price per SQM: £45.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Javan Stripe JS/10 (4 M),CA67160HAL-1737F,Hall’s Floorings,75.96,75.96,150.0,Carpet,Carpet,Hall’s Floorings Javan Stripe  JS/10 4,Price per SQM: £45.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Javan Stripe JS/10 (5 M),CA67160HAL-9A88A,Hall’s Floorings,94.94999999999999,94.94999999999999,187.5,Carpet,Carpet,Hall’s Floorings Javan Stripe  JS/10  5,Price per SQM: £45.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Javan Stripe JS/12 (4 M),CA67160HAL-600DE,Hall’s Floorings,75.96,75.96,150.0,Carpet,Carpet,Hall’s Floorings Javan Stripe  JS/12 4,Price per SQM: £45.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Javan Stripe JS/12 (5 M),CA67160HAL-87833,Hall’s Floorings,94.94999999999999,94.94999999999999,187.5,Carpet,Carpet,Hall’s Floorings Javan Stripe  JS/12  5,Price per SQM: £45.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
