Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Pampas Bouclé 119 (4 M),CA88225KER-83EC7,Kersaint Cobb,122.0,122.0,206.66666666666669,Carpet,Carpet,Kersaint Cobb Pampas Bouclé  119 4,Price per SQM: £62.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Bouclé 119 (5 M),CA88225KER-D79DF,Kersaint Cobb,152.5,152.5,258.33333333333337,Carpet,Carpet,Kersaint Cobb Pampas Bouclé  119  5,Price per SQM: £62.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Bouclé 121 (4 M),CA88225KER-FE025,Kersaint Cobb,122.0,122.0,206.66666666666669,Carpet,Carpet,Kersaint Cobb Pampas Bouclé   121 4,Price per SQM: £62.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Bouclé 121 (5 M),CA88225KER-3F15B,Kersaint Cobb,152.5,152.5,258.33333333333337,Carpet,Carpet,Kersaint Cobb Pampas Bouclé   121  5,Price per SQM: £62.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Bouclé 124 (4 M),CA88225KER-89CA9,Kersaint Cobb,122.0,122.0,206.66666666666669,Carpet,Carpet,Kersaint Cobb Pampas Bouclé   124 4,Price per SQM: £62.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Bouclé 124 (5 M),CA88225KER-F350D,Kersaint Cobb,152.5,152.5,258.33333333333337,Carpet,Carpet,Kersaint Cobb Pampas Bouclé   124  5,Price per SQM: £62.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Bouclé 126 (4 M),CA88225KER-74BFA,Kersaint Cobb,122.0,122.0,206.66666666666669,Carpet,Carpet,Kersaint Cobb Pampas Bouclé   126 4,Price per SQM: £62.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Bouclé 126 (5 M),CA88225KER-74B10,Kersaint Cobb,152.5,152.5,258.33333333333337,Carpet,Carpet,Kersaint Cobb Pampas Bouclé   126  5,Price per SQM: £62.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Bouclé 995 (4 M),CA88225KER-E2D06,Kersaint Cobb,122.0,122.0,206.66666666666669,Carpet,Carpet,Kersaint Cobb Pampas Bouclé   995 4,Price per SQM: £62.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Bouclé 995 (5 M),CA88225KER-4EB66,Kersaint Cobb,152.5,152.5,258.33333333333337,Carpet,Carpet,Kersaint Cobb Pampas Bouclé   995  5,Price per SQM: £62.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Bouclé 1810 (4 M),CA88225KER-92BF0,Kersaint Cobb,122.0,122.0,206.66666666666669,Carpet,Carpet,Kersaint Cobb Pampas Bouclé   1810 4,Price per SQM: £62.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Bouclé 1810 (5 M),CA88225KER-851A7,Kersaint Cobb,152.5,152.5,258.33333333333337,Carpet,Carpet,Kersaint Cobb Pampas Bouclé   1810  5,Price per SQM: £62.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Aalborg (4 M),CA85615KER-F856B,Kersaint Cobb,67.96,67.96,136.66666666666666,Carpet,Carpet,Kersaint Cobb Pampas Nordic  Aalborg 4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Aalborg (5 M),CA85615KER-B5922,Kersaint Cobb,84.94999999999999,84.94999999999999,170.83333333333331,Carpet,Carpet,Kersaint Cobb Pampas Nordic  Aalborg  5,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Copenhagen (4 M),CA85615KER-02913,Kersaint Cobb,67.96,67.96,136.66666666666666,Carpet,Carpet,Kersaint Cobb Pampas Nordic   Copenhagen 4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Copenhagen (5 M),CA85615KER-D3180,Kersaint Cobb,84.94999999999999,84.94999999999999,170.83333333333331,Carpet,Carpet,Kersaint Cobb Pampas Nordic   Copenhagen  5,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Drammen (4 M),CA85615KER-1E6D4,Kersaint Cobb,67.96,67.96,136.66666666666666,Carpet,Carpet,Kersaint Cobb Pampas Nordic   Drammen 4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Drammen (5 M),CA85615KER-E736C,Kersaint Cobb,84.94999999999999,84.94999999999999,170.83333333333331,Carpet,Carpet,Kersaint Cobb Pampas Nordic   Drammen  5,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Gothenburg (4 M),CA85615KER-E4B59,Kersaint Cobb,67.96,67.96,136.66666666666666,Carpet,Carpet,Kersaint Cobb Pampas Nordic   Gothenburg 4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Gothenburg (5 M),CA85615KER-2041F,Kersaint Cobb,84.94999999999999,84.94999999999999,170.83333333333331,Carpet,Carpet,Kersaint Cobb Pampas Nordic   Gothenburg  5,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Helsinki (4 M),CA85615KER-1E0A4,Kersaint Cobb,67.96,67.96,136.66666666666666,Carpet,Carpet,Kersaint Cobb Pampas Nordic   Helsinki 4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Helsinki (5 M),CA85615KER-26D1B,Kersaint Cobb,84.94999999999999,84.94999999999999,170.83333333333331,Carpet,Carpet,Kersaint Cobb Pampas Nordic   Helsinki  5,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Nuuk (4 M),CA85615KER-B5C58,Kersaint Cobb,67.96,67.96,136.66666666666666,Carpet,Carpet,Kersaint Cobb Pampas Nordic   Nuuk 4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Nuuk (5 M),CA85615KER-BAF3E,Kersaint Cobb,84.94999999999999,84.94999999999999,170.83333333333331,Carpet,Carpet,Kersaint Cobb Pampas Nordic   Nuuk  5,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Oulu (4 M),CA85615KER-DF3DF,Kersaint Cobb,67.96,67.96,136.66666666666666,Carpet,Carpet,Kersaint Cobb Pampas Nordic   Oulu 4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Oulu (5 M),CA85615KER-E9E40,Kersaint Cobb,84.94999999999999,84.94999999999999,170.83333333333331,Carpet,Carpet,Kersaint Cobb Pampas Nordic   Oulu  5,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Skagen (4 M),CA85615KER-2A69F,Kersaint Cobb,67.96,67.96,136.66666666666666,Carpet,Carpet,Kersaint Cobb Pampas Nordic   Skagen 4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Skagen (5 M),CA85615KER-EA592,Kersaint Cobb,84.94999999999999,84.94999999999999,170.83333333333331,Carpet,Carpet,Kersaint Cobb Pampas Nordic   Skagen  5,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Stockholm (4 M),CA85615KER-229DC,Kersaint Cobb,67.96,67.96,136.66666666666666,Carpet,Carpet,Kersaint Cobb Pampas Nordic   Stockholm 4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Stockholm (5 M),CA85615KER-0D38C,Kersaint Cobb,84.94999999999999,84.94999999999999,170.83333333333331,Carpet,Carpet,Kersaint Cobb Pampas Nordic   Stockholm  5,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Sumba (4 M),CA85615KER-7D5FC,Kersaint Cobb,67.96,67.96,136.66666666666666,Carpet,Carpet,Kersaint Cobb Pampas Nordic   Sumba 4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Sumba (5 M),CA85615KER-BC00F,Kersaint Cobb,84.94999999999999,84.94999999999999,170.83333333333331,Carpet,Carpet,Kersaint Cobb Pampas Nordic   Sumba  5,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Turku (4 M),CA85615KER-692DD,Kersaint Cobb,67.96,67.96,136.66666666666666,Carpet,Carpet,Kersaint Cobb Pampas Nordic   Turku 4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Turku (5 M),CA85615KER-BDB93,Kersaint Cobb,84.94999999999999,84.94999999999999,170.83333333333331,Carpet,Carpet,Kersaint Cobb Pampas Nordic   Turku  5,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Varde (4 M),CA85615KER-BD333,Kersaint Cobb,67.96,67.96,136.66666666666666,Carpet,Carpet,Kersaint Cobb Pampas Nordic   Varde 4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Varde (5 M),CA85615KER-F8D5A,Kersaint Cobb,84.94999999999999,84.94999999999999,170.83333333333331,Carpet,Carpet,Kersaint Cobb Pampas Nordic   Varde  5,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Elite Aland (4 M),CA98186KER-10C92,Kersaint Cobb,67.96,67.96,136.66666666666666,Carpet,Carpet,Kersaint Cobb Pampas Nordic Elite Aland 4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Elite Aland (5 M),CA98186KER-4E235,Kersaint Cobb,84.94999999999999,84.94999999999999,170.83333333333331,Carpet,Carpet,Kersaint Cobb Pampas Nordic Elite Aland  5,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Elite Fjord (4 M),CA98186KER-6F821,Kersaint Cobb,67.96,67.96,136.66666666666666,Carpet,Carpet,Kersaint Cobb Pampas Nordic Elite  Fjord 4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Elite Fjord (5 M),CA98186KER-EA61F,Kersaint Cobb,84.94999999999999,84.94999999999999,170.83333333333331,Carpet,Carpet,Kersaint Cobb Pampas Nordic Elite  Fjord  5,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Elite Jutland (4 M),CA98186KER-EC0B7,Kersaint Cobb,67.96,67.96,136.66666666666666,Carpet,Carpet,Kersaint Cobb Pampas Nordic Elite  Jutland 4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Elite Jutland (5 M),CA98186KER-8FA54,Kersaint Cobb,84.94999999999999,84.94999999999999,170.83333333333331,Carpet,Carpet,Kersaint Cobb Pampas Nordic Elite  Jutland  5,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Elite Kalmar (4 M),CA98186KER-D2896,Kersaint Cobb,67.96,67.96,136.66666666666666,Carpet,Carpet,Kersaint Cobb Pampas Nordic Elite  Kalmar 4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Elite Kalmar (5 M),CA98186KER-5DB6C,Kersaint Cobb,84.94999999999999,84.94999999999999,170.83333333333331,Carpet,Carpet,Kersaint Cobb Pampas Nordic Elite  Kalmar  5,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Elite Lapland (4 M),CA98186KER-92162,Kersaint Cobb,67.96,67.96,136.66666666666666,Carpet,Carpet,Kersaint Cobb Pampas Nordic Elite  Lapland 4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Elite Lapland (5 M),CA98186KER-D5445,Kersaint Cobb,84.94999999999999,84.94999999999999,170.83333333333331,Carpet,Carpet,Kersaint Cobb Pampas Nordic Elite  Lapland  5,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Elite Svalbard (4 M),CA98186KER-F707D,Kersaint Cobb,67.96,67.96,136.66666666666666,Carpet,Carpet,Kersaint Cobb Pampas Nordic Elite  Svalbard 4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Elite Svalbard (5 M),CA98186KER-C70CA,Kersaint Cobb,84.94999999999999,84.94999999999999,170.83333333333331,Carpet,Carpet,Kersaint Cobb Pampas Nordic Elite  Svalbard  5,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Elite Telemark (4 M),CA98186KER-912B3,Kersaint Cobb,67.96,67.96,136.66666666666666,Carpet,Carpet,Kersaint Cobb Pampas Nordic Elite  Telemark 4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Elite Telemark (5 M),CA98186KER-5D9D6,Kersaint Cobb,84.94999999999999,84.94999999999999,170.83333333333331,Carpet,Carpet,Kersaint Cobb Pampas Nordic Elite  Telemark  5,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Stripe Faroe (4 M),CA28057KER-E8038,Kersaint Cobb,67.96,67.96,136.66666666666666,Carpet,Carpet,Kersaint Cobb Pampas Nordic Stripe Faroe 4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Stripe Gotland (4 M),CA28057KER-306E5,Kersaint Cobb,67.96,67.96,136.66666666666666,Carpet,Carpet,Kersaint Cobb Pampas Nordic Stripe  Gotland 4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Stripe Iceland (4 M),CA28057KER-D114B,Kersaint Cobb,67.96,67.96,136.66666666666666,Carpet,Carpet,Kersaint Cobb Pampas Nordic Stripe  Iceland 4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pampas Nordic Stripe Sweden (4 M),CA28057KER-6CF66,Kersaint Cobb,67.96,67.96,136.66666666666666,Carpet,Carpet,Kersaint Cobb Pampas Nordic Stripe  Sweden 4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Piccolo Carved Stone (4 M),CA60973KER-E4BD1,Kersaint Cobb,115.4,115.4,196.66666666666669,Carpet,Carpet,Kersaint Cobb Piccolo Carved Stone 4,Price per SQM: £59.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Piccolo Carved Stone (5 M),CA60973KER-443FF,Kersaint Cobb,144.25,144.25,245.83333333333337,Carpet,Carpet,Kersaint Cobb Piccolo Carved Stone  5,Price per SQM: £59.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Piccolo Crushed Praline (4 M),CA60973KER-54FBF,Kersaint Cobb,115.4,115.4,196.66666666666669,Carpet,Carpet,Kersaint Cobb Piccolo  Crushed Praline 4,Price per SQM: £59.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Piccolo Crushed Praline (5 M),CA60973KER-101A0,Kersaint Cobb,144.25,144.25,245.83333333333337,Carpet,Carpet,Kersaint Cobb Piccolo  Crushed Praline  5,Price per SQM: £59.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Piccolo Granite Dust (4 M),CA60973KER-7C1A9,Kersaint Cobb,115.4,115.4,196.66666666666669,Carpet,Carpet,Kersaint Cobb Piccolo  Granite Dust 4,Price per SQM: £59.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Piccolo Granite Dust (5 M),CA60973KER-CC775,Kersaint Cobb,144.25,144.25,245.83333333333337,Carpet,Carpet,Kersaint Cobb Piccolo  Granite Dust  5,Price per SQM: £59.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Piccolo Silver Charm (4 M),CA60973KER-B5969,Kersaint Cobb,115.4,115.4,196.66666666666669,Carpet,Carpet,Kersaint Cobb Piccolo  Silver Charm 4,Price per SQM: £59.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Piccolo Silver Charm (5 M),CA60973KER-26727,Kersaint Cobb,144.25,144.25,245.83333333333337,Carpet,Carpet,Kersaint Cobb Piccolo  Silver Charm  5,Price per SQM: £59.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Piccolo Toasted Almond (4 M),CA60973KER-4B6C1,Kersaint Cobb,115.4,115.4,196.66666666666669,Carpet,Carpet,Kersaint Cobb Piccolo  Toasted Almond 4,Price per SQM: £59.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Piccolo Toasted Almond (5 M),CA60973KER-9ECED,Kersaint Cobb,144.25,144.25,245.83333333333337,Carpet,Carpet,Kersaint Cobb Piccolo  Toasted Almond  5,Price per SQM: £59.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Studio Craft Handcrafted (4 M),CA34088KER-601DC,Kersaint Cobb,102.2,102.2,173.33333333333331,Carpet,Carpet,Kersaint Cobb Studio Craft Handcrafted 4,Price per SQM: £52.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Studio Craft Handcrafted (5 M),CA34088KER-70508,Kersaint Cobb,127.75,127.75,216.66666666666663,Carpet,Carpet,Kersaint Cobb Studio Craft Handcrafted  5,Price per SQM: £52.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Studio Craft Metal Work (4 M),CA34088KER-A75D7,Kersaint Cobb,102.2,102.2,173.33333333333331,Carpet,Carpet,Kersaint Cobb Studio Craft  Metal Work 4,Price per SQM: £52.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Studio Craft Metal Work (5 M),CA34088KER-ADDEE,Kersaint Cobb,127.75,127.75,216.66666666666663,Carpet,Carpet,Kersaint Cobb Studio Craft  Metal Work  5,Price per SQM: £52.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Studio Craft Tapestry (4 M),CA34088KER-92CD0,Kersaint Cobb,102.2,102.2,173.33333333333331,Carpet,Carpet,Kersaint Cobb Studio Craft  Tapestry 4,Price per SQM: £52.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Studio Craft Tapestry (5 M),CA34088KER-3F4C2,Kersaint Cobb,127.75,127.75,216.66666666666663,Carpet,Carpet,Kersaint Cobb Studio Craft  Tapestry  5,Price per SQM: £52.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Studio Craft Woven Tone (4 M),CA34088KER-F1DC6,Kersaint Cobb,102.2,102.2,173.33333333333331,Carpet,Carpet,Kersaint Cobb Studio Craft  Woven Tone 4,Price per SQM: £52.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Studio Craft Woven Tone (5 M),CA34088KER-FBFFE,Kersaint Cobb,127.75,127.75,216.66666666666663,Carpet,Carpet,Kersaint Cobb Studio Craft  Woven Tone  5,Price per SQM: £52.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Textured Repeat Continuous Line (4 M),CA69255KER-E7846,Kersaint Cobb,124.4,124.4,210.0,Carpet,Carpet,Kersaint Cobb Textured Repeat Continuous Line 4,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Textured Repeat Continuous Line (5 M),CA69255KER-C2FB9,Kersaint Cobb,155.5,155.5,262.5,Carpet,Carpet,Kersaint Cobb Textured Repeat Continuous Line  5,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Textured Repeat Formation (4 M),CA69255KER-5B703,Kersaint Cobb,124.4,124.4,210.0,Carpet,Carpet,Kersaint Cobb Textured Repeat  Formation 4,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Textured Repeat Formation (5 M),CA69255KER-B61C7,Kersaint Cobb,155.5,155.5,262.5,Carpet,Carpet,Kersaint Cobb Textured Repeat  Formation  5,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Textured Repeat Gray Echo (4 M),CA69255KER-C88E4,Kersaint Cobb,124.4,124.4,210.0,Carpet,Carpet,Kersaint Cobb Textured Repeat  Gray Echo 4,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Textured Repeat Gray Echo (5 M),CA69255KER-F336E,Kersaint Cobb,155.5,155.5,262.5,Carpet,Carpet,Kersaint Cobb Textured Repeat  Gray Echo  5,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Textured Repeat Impasto (4 M),CA69255KER-E55F5,Kersaint Cobb,124.4,124.4,210.0,Carpet,Carpet,Kersaint Cobb Textured Repeat  Impasto 4,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Textured Repeat Impasto (5 M),CA69255KER-B542F,Kersaint Cobb,155.5,155.5,262.5,Carpet,Carpet,Kersaint Cobb Textured Repeat  Impasto  5,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Textured Repeat Interwoven Shade (4 M),CA69255KER-94CC6,Kersaint Cobb,124.4,124.4,210.0,Carpet,Carpet,Kersaint Cobb Textured Repeat  Interwoven Shade 4,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Textured Repeat Interwoven Shade (5 M),CA69255KER-37C70,Kersaint Cobb,155.5,155.5,262.5,Carpet,Carpet,Kersaint Cobb Textured Repeat  Interwoven Shade  5,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Textured Repeat Natural Repitition (4 M),CA69255KER-57378,Kersaint Cobb,124.4,124.4,210.0,Carpet,Carpet,Kersaint Cobb Textured Repeat  Natural Repitition 4,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Textured Repeat Natural Repitition (5 M),CA69255KER-DC98C,Kersaint Cobb,155.5,155.5,262.5,Carpet,Carpet,Kersaint Cobb Textured Repeat  Natural Repitition  5,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Textured Repeat Replay (4 M),CA69255KER-0097A,Kersaint Cobb,124.4,124.4,210.0,Carpet,Carpet,Kersaint Cobb Textured Repeat  Replay 4,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Textured Repeat Replay (5 M),CA69255KER-80DE3,Kersaint Cobb,155.5,155.5,262.5,Carpet,Carpet,Kersaint Cobb Textured Repeat  Replay  5,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Voyage Cosmic (4 M),CA47584KER-4A97D,Kersaint Cobb,111.4,111.4,190.0,Carpet,Carpet,Kersaint Cobb Voyage Cosmic 4,Price per SQM: £57.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Voyage Cosmic (5 M),CA47584KER-CEB9A,Kersaint Cobb,139.25,139.25,237.5,Carpet,Carpet,Kersaint Cobb Voyage Cosmic  5,Price per SQM: £57.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Voyage Eclipse (4 M),CA47584KER-6BACF,Kersaint Cobb,111.4,111.4,190.0,Carpet,Carpet,Kersaint Cobb Voyage  Eclipse 4,Price per SQM: £57.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Voyage Eclipse (5 M),CA47584KER-6AD11,Kersaint Cobb,139.25,139.25,237.5,Carpet,Carpet,Kersaint Cobb Voyage  Eclipse  5,Price per SQM: £57.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Voyage Orbit (4 M),CA47584KER-A99A1,Kersaint Cobb,111.4,111.4,190.0,Carpet,Carpet,Kersaint Cobb Voyage  Orbit 4,Price per SQM: £57.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Voyage Orbit (5 M),CA47584KER-FD3EB,Kersaint Cobb,139.25,139.25,237.5,Carpet,Carpet,Kersaint Cobb Voyage  Orbit  5,Price per SQM: £57.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Voyage Solar (4 M),CA47584KER-5A552,Kersaint Cobb,111.4,111.4,190.0,Carpet,Carpet,Kersaint Cobb Voyage  Solar 4,Price per SQM: £57.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Voyage Solar (5 M),CA47584KER-4998C,Kersaint Cobb,139.25,139.25,237.5,Carpet,Carpet,Kersaint Cobb Voyage  Solar  5,Price per SQM: £57.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Voyage Supernova (4 M),CA47584KER-F492E,Kersaint Cobb,111.4,111.4,190.0,Carpet,Carpet,Kersaint Cobb Voyage  Supernova 4,Price per SQM: £57.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Voyage Supernova (5 M),CA47584KER-9D692,Kersaint Cobb,139.25,139.25,237.5,Carpet,Carpet,Kersaint Cobb Voyage  Supernova  5,Price per SQM: £57.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
