Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Traviata 390 Copper (5 M),CA51203LAN-D9C16,Lano,137.5,137.5,220.83333333333337,Carpet,Carpet,Lano Traviata  390 Copper  5,Price per SQM: £53.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Traviata 410 Leather (4 M),CA51203LAN-818EC,Lano,110.0,110.0,176.66666666666669,Carpet,Carpet,Lano Traviata  410 Leather 4,Price per SQM: £53.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Traviata 410 Leather (5 M),CA51203LAN-1A972,Lano,137.5,137.5,220.83333333333337,Carpet,Carpet,Lano Traviata  410 Leather  5,Price per SQM: £53.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Traviata 420 Cornstalk (4 M),CA51203LAN-B445D,Lano,110.0,110.0,176.66666666666669,Carpet,Carpet,Lano Traviata  420 Cornstalk 4,Price per SQM: £53.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Traviata 420 Cornstalk (5 M),CA51203LAN-FBBD3,Lano,137.5,137.5,220.83333333333337,Carpet,Carpet,Lano Traviata  420 Cornstalk  5,Price per SQM: £53.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Traviata 430 Bamboo Mat (4 M),CA51203LAN-ABF4C,Lano,110.0,110.0,176.66666666666669,Carpet,Carpet,Lano Traviata  430 Bamboo Mat 4,Price per SQM: £53.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Traviata 430 Bamboo Mat (5 M),CA51203LAN-D2453,Lano,137.5,137.5,220.83333333333337,Carpet,Carpet,Lano Traviata  430 Bamboo Mat  5,Price per SQM: £53.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Traviata 440 Ivory (4 M),CA51203LAN-E5F77,Lano,110.0,110.0,176.66666666666669,Carpet,Carpet,Lano Traviata  440 Ivory 4,Price per SQM: £53.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Traviata 440 Ivory (5 M),CA51203LAN-DE98F,Lano,137.5,137.5,220.83333333333337,Carpet,Carpet,Lano Traviata  440 Ivory  5,Price per SQM: £53.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Traviata 480 Barley (4 M),CA51203LAN-87364,Lano,110.0,110.0,176.66666666666669,Carpet,Carpet,Lano Traviata  480 Barley 4,Price per SQM: £53.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Traviata 480 Barley (5 M),CA51203LAN-69A92,Lano,137.5,137.5,220.83333333333337,Carpet,Carpet,Lano Traviata  480 Barley  5,Price per SQM: £53.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Traviata 680 Juniper (4 M),CA51203LAN-BD343,Lano,110.0,110.0,176.66666666666669,Carpet,Carpet,Lano Traviata  680 Juniper 4,Price per SQM: £53.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Traviata 680 Juniper (5 M),CA51203LAN-10A0D,Lano,137.5,137.5,220.83333333333337,Carpet,Carpet,Lano Traviata  680 Juniper  5,Price per SQM: £53.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Traviata 780 Steel (4 M),CA51203LAN-3EF93,Lano,110.0,110.0,176.66666666666669,Carpet,Carpet,Lano Traviata  780 Steel 4,Price per SQM: £53.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Traviata 780 Steel (5 M),CA51203LAN-50F86,Lano,137.5,137.5,220.83333333333337,Carpet,Carpet,Lano Traviata  780 Steel  5,Price per SQM: £53.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Traviata 790 Midnight (4 M),CA51203LAN-D06E5,Lano,110.0,110.0,176.66666666666669,Carpet,Carpet,Lano Traviata  790 Midnight 4,Price per SQM: £53.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Traviata 790 Midnight (5 M),CA51203LAN-70126,Lano,137.5,137.5,220.83333333333337,Carpet,Carpet,Lano Traviata  790 Midnight  5,Price per SQM: £53.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Traviata 810 Charcoal (4 M),CA51203LAN-42298,Lano,110.0,110.0,176.66666666666669,Carpet,Carpet,Lano Traviata  810 Charcoal 4,Price per SQM: £53.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Traviata 810 Charcoal (5 M),CA51203LAN-53755,Lano,137.5,137.5,220.83333333333337,Carpet,Carpet,Lano Traviata  810 Charcoal  5,Price per SQM: £53.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Traviata 820 Slate (4 M),CA51203LAN-B97A3,Lano,110.0,110.0,176.66666666666669,Carpet,Carpet,Lano Traviata  820 Slate 4,Price per SQM: £53.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Traviata 820 Slate (5 M),CA51203LAN-84918,Lano,137.5,137.5,220.83333333333337,Carpet,Carpet,Lano Traviata  820 Slate  5,Price per SQM: £53.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Traviata 830 Ash (4 M),CA51203LAN-DCBFF,Lano,110.0,110.0,176.66666666666669,Carpet,Carpet,Lano Traviata  830 Ash 4,Price per SQM: £53.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Traviata 830 Ash (5 M),CA51203LAN-AA93C,Lano,137.5,137.5,220.83333333333337,Carpet,Carpet,Lano Traviata  830 Ash  5,Price per SQM: £53.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Traviata 860 Granite (4 M),CA51203LAN-22625,Lano,110.0,110.0,176.66666666666669,Carpet,Carpet,Lano Traviata  860 Granite 4,Price per SQM: £53.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Traviata 860 Granite (5 M),CA51203LAN-640A2,Lano,137.5,137.5,220.83333333333337,Carpet,Carpet,Lano Traviata  860 Granite  5,Price per SQM: £53.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Traviata 870 Silver (4 M),CA51203LAN-B3CBA,Lano,110.0,110.0,176.66666666666669,Carpet,Carpet,Lano Traviata  870 Silver 4,Price per SQM: £53.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Traviata 870 Silver (5 M),CA51203LAN-6E92C,Lano,137.5,137.5,220.83333333333337,Carpet,Carpet,Lano Traviata  870 Silver  5,Price per SQM: £53.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Zen 041 Anémone 1 (4 M),CA89384LAN-58FC0,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen 041 Anémone 1 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 054 Crocus 4 (4 M),CA89384LAN-7ECD7,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  054 Crocus 4 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 061 Heather 1 (4 M),CA89384LAN-55977,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  061 Heather 1 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 109 Ruby 9 (4 M),CA89384LAN-8067E,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  109 Ruby 9 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 110 Carmine (4 M),CA89384LAN-D6511,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  110 Carmine 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 124 Coral 4 (4 M),CA89384LAN-1E5D8,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  124 Coral 4 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 141 Old Rose 1 (4 M),CA89384LAN-3D175,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  141 Old Rose 1 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 164 Muscat 4 (4 M),CA89384LAN-953E2,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  164 Muscat 4 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 182 Rum 2 (4 M),CA89384LAN-7C680,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  182 Rum 2 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 204 Chocolate 4 (4 M),CA89384LAN-9559D,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  204 Chocolate 4 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 261 Camel 1 (4 M),CA89384LAN-1760C,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  261 Camel 1 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 271 Almond 1 (4 M),CA89384LAN-D160D,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  271 Almond 1 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 280 Havanna (4 M),CA89384LAN-E08A5,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  280 Havanna 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 301 Mahogany 1 (4 M),CA89384LAN-55357,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  301 Mahogany 1 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 311 Rust 1 (4 M),CA89384LAN-FA3C5,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  311 Rust 1 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 313 Rust 3 (4 M),CA89384LAN-54BC3,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  313 Rust 3 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 410 Leather (4 M),CA89384LAN-818EC,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  410 Leather 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 423 Cornstalk 3 (4 M),CA89384LAN-AD6FE,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  423 Cornstalk 3 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 434 Bamboo Mat 4 (4 M),CA89384LAN-9B377,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  434 Bamboo Mat 4 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 442 Ivory 2 (4 M),CA89384LAN-A0D28,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  442 Ivory 2 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 451 Sand 1 (4 M),CA89384LAN-8303A,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  451 Sand 1 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 511 Grass 1 (4 M),CA89384LAN-979EA,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  511 Grass 1 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 544 Curry 4 (4 M),CA89384LAN-79798,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  544 Curry 4 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 552 Apple Mint 2 (4 M),CA89384LAN-1F0A4,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  552 Apple Mint 2 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 624 Savanna 4 (4 M),CA89384LAN-AF6D3,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  624 Savanna 4 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 711 Atlantic 1 (4 M),CA89384LAN-61AEE,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  711 Atlantic 1 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 734 Azuur 4 (4 M),CA89384LAN-CE75A,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  734 Azuur 4 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 742 Ocean 2 (4 M),CA89384LAN-0ACCF,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  742 Ocean 2 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 762 Wedgwood 2 (4 M),CA89384LAN-00BD7,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  762 Wedgwood 2 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 774 Sapphire 4 (4 M),CA89384LAN-2B10E,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  774 Sapphire 4 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 782 Steel 2 (4 M),CA89384LAN-7CB95,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  782 Steel 2 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 790 Midnight (4 M),CA89384LAN-D06E5,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  790 Midnight 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 791 Midnight 1 (4 M),CA89384LAN-52989,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  791 Midnight 1 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 792 Midnight 2 (4 M),CA89384LAN-405F6,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  792 Midnight 2 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 800 Ebony (4 M),CA89384LAN-CDC37,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  800 Ebony 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 810 Charcoal (4 M),CA89384LAN-42298,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  810 Charcoal 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 812 Charcoal 2 (4 M),CA89384LAN-7850E,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  812 Charcoal 2 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 820 Slate (4 M),CA89384LAN-B97A3,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  820 Slate 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 830 Ash (4 M),CA89384LAN-DCBFF,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  830 Ash 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 832 Ash 2 (4 M),CA89384LAN-811EF,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  832 Ash 2 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 840 Moonshine (4 M),CA89384LAN-1F1AC,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  840 Moonshine 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 850 Moonbeam (4 M),CA89384LAN-3E602,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  850 Moonbeam 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 862 Granite 2 (4 M),CA89384LAN-CE34B,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  862 Granite 2 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 871 Silver 1 (4 M),CA89384LAN-ACD5B,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  871 Silver 1 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 872 Silver 2 (4 M),CA89384LAN-FD7A8,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  872 Silver 2 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Zen 892 Snow 2 (4 M),CA89384LAN-98BC4,Lano,100.0,100.0,163.33333333333331,Carpet,Carpet,Lano Zen  892 Snow 2 4,Price per SQM: £49.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
