Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Briar Natural Loop Coffee And Cream (4 M),CA84034WES-B2A01,Westex,140.112,140.112,216.66666666666669,Carpet,Carpet,Westex Briar Natural Loop  Coffee And Cream  4,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Coffee And Cream (4.57 M),CA84034WES-673EC,Westex,160.07796,160.07796,247.5416666666667,Carpet,Carpet,Westex Briar Natural Loop  Coffee And Cream  4.57,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Coffee And Cream (5 M),CA84034WES-1E176,Westex,175.14,175.14,270.83333333333337,Carpet,Carpet,Westex Briar Natural Loop  Coffee And Cream  5,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Cord (1 M),CA84034WES-6130F,Westex,35.028,35.028,54.16666666666667,Carpet,Carpet,Westex Briar Natural Loop  Cord 1,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Cord (3.66 M),CA84034WES-B5AEA,Westex,128.20248,128.20248,198.25000000000003,Carpet,Carpet,Westex Briar Natural Loop  Cord  3.66,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Cord (4 M),CA84034WES-C7BC6,Westex,140.112,140.112,216.66666666666669,Carpet,Carpet,Westex Briar Natural Loop  Cord  4,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Cord (4.57 M),CA84034WES-49633,Westex,160.07796,160.07796,247.5416666666667,Carpet,Carpet,Westex Briar Natural Loop  Cord  4.57,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Cord (5 M),CA84034WES-DBF15,Westex,175.14,175.14,270.83333333333337,Carpet,Carpet,Westex Briar Natural Loop  Cord  5,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Corn (1 M),CA84034WES-B555A,Westex,35.028,35.028,54.16666666666667,Carpet,Carpet,Westex Briar Natural Loop  Corn 1,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Corn (3.66 M),CA84034WES-74B1E,Westex,128.20248,128.20248,198.25000000000003,Carpet,Carpet,Westex Briar Natural Loop  Corn  3.66,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Corn (4 M),CA84034WES-CBEBB,Westex,140.112,140.112,216.66666666666669,Carpet,Carpet,Westex Briar Natural Loop  Corn  4,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Corn (4.57 M),CA84034WES-E3404,Westex,160.07796,160.07796,247.5416666666667,Carpet,Carpet,Westex Briar Natural Loop  Corn  4.57,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Corn (5 M),CA84034WES-63825,Westex,175.14,175.14,270.83333333333337,Carpet,Carpet,Westex Briar Natural Loop  Corn  5,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Flax (1 M),CA84034WES-632EF,Westex,35.028,35.028,54.16666666666667,Carpet,Carpet,Westex Briar Natural Loop  Flax 1,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Flax (3.66 M),CA84034WES-9DBCF,Westex,128.20248,128.20248,198.25000000000003,Carpet,Carpet,Westex Briar Natural Loop  Flax  3.66,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Flax (4 M),CA84034WES-5E3BE,Westex,140.112,140.112,216.66666666666669,Carpet,Carpet,Westex Briar Natural Loop  Flax  4,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Flax (4.57 M),CA84034WES-659BE,Westex,160.07796,160.07796,247.5416666666667,Carpet,Carpet,Westex Briar Natural Loop  Flax  4.57,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Flax (5 M),CA84034WES-0D617,Westex,175.14,175.14,270.83333333333337,Carpet,Carpet,Westex Briar Natural Loop  Flax  5,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Furrow (1 M),CA84034WES-54DE5,Westex,35.028,35.028,54.16666666666667,Carpet,Carpet,Westex Briar Natural Loop  Furrow 1,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Furrow (3.66 M),CA84034WES-E4159,Westex,128.20248,128.20248,198.25000000000003,Carpet,Carpet,Westex Briar Natural Loop  Furrow  3.66,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Furrow (4 M),CA84034WES-30BB2,Westex,140.112,140.112,216.66666666666669,Carpet,Carpet,Westex Briar Natural Loop  Furrow  4,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Furrow (4.57 M),CA84034WES-4938C,Westex,160.07796,160.07796,247.5416666666667,Carpet,Carpet,Westex Briar Natural Loop  Furrow  4.57,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Furrow (5 M),CA84034WES-20BF8,Westex,175.14,175.14,270.83333333333337,Carpet,Carpet,Westex Briar Natural Loop  Furrow  5,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Hardwick (1 M),CA84034WES-DE1DA,Westex,35.028,35.028,54.16666666666667,Carpet,Carpet,Westex Briar Natural Loop  Hardwick 1,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Hardwick (3.66 M),CA84034WES-38367,Westex,128.20248,128.20248,198.25000000000003,Carpet,Carpet,Westex Briar Natural Loop  Hardwick  3.66,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Hardwick (4 M),CA84034WES-A1DC4,Westex,140.112,140.112,216.66666666666669,Carpet,Carpet,Westex Briar Natural Loop  Hardwick  4,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Hardwick (4.57 M),CA84034WES-4D19A,Westex,160.07796,160.07796,247.5416666666667,Carpet,Carpet,Westex Briar Natural Loop  Hardwick  4.57,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Hardwick (5 M),CA84034WES-BFB61,Westex,175.14,175.14,270.83333333333337,Carpet,Carpet,Westex Briar Natural Loop  Hardwick  5,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Honeycomb (1 M),CA84034WES-62B5A,Westex,35.028,35.028,54.16666666666667,Carpet,Carpet,Westex Briar Natural Loop  Honeycomb 1,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Honeycomb (3.66 M),CA84034WES-9AA65,Westex,128.20248,128.20248,198.25000000000003,Carpet,Carpet,Westex Briar Natural Loop  Honeycomb  3.66,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Honeycomb (4 M),CA84034WES-C5B49,Westex,140.112,140.112,216.66666666666669,Carpet,Carpet,Westex Briar Natural Loop  Honeycomb  4,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Honeycomb (4.57 M),CA84034WES-EE0E8,Westex,160.07796,160.07796,247.5416666666667,Carpet,Carpet,Westex Briar Natural Loop  Honeycomb  4.57,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Honeycomb (5 M),CA84034WES-2813F,Westex,175.14,175.14,270.83333333333337,Carpet,Carpet,Westex Briar Natural Loop  Honeycomb  5,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Maple (1 M),CA84034WES-3DE7B,Westex,35.028,35.028,54.16666666666667,Carpet,Carpet,Westex Briar Natural Loop  Maple 1,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Maple (3.66 M),CA84034WES-B4712,Westex,128.20248,128.20248,198.25000000000003,Carpet,Carpet,Westex Briar Natural Loop  Maple  3.66,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Maple (4 M),CA84034WES-D4327,Westex,140.112,140.112,216.66666666666669,Carpet,Carpet,Westex Briar Natural Loop  Maple  4,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Maple (4.57 M),CA84034WES-18346,Westex,160.07796,160.07796,247.5416666666667,Carpet,Carpet,Westex Briar Natural Loop  Maple  4.57,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Maple (5 M),CA84034WES-CE7BB,Westex,175.14,175.14,270.83333333333337,Carpet,Carpet,Westex Briar Natural Loop  Maple  5,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Nordic (1 M),CA84034WES-17DC1,Westex,35.028,35.028,54.16666666666667,Carpet,Carpet,Westex Briar Natural Loop  Nordic 1,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Nordic (3.66 M),CA84034WES-F994B,Westex,128.20248,128.20248,198.25000000000003,Carpet,Carpet,Westex Briar Natural Loop  Nordic  3.66,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Nordic (4 M),CA84034WES-F3ECD,Westex,140.112,140.112,216.66666666666669,Carpet,Carpet,Westex Briar Natural Loop  Nordic  4,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Nordic (4.57 M),CA84034WES-D2DAD,Westex,160.07796,160.07796,247.5416666666667,Carpet,Carpet,Westex Briar Natural Loop  Nordic  4.57,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Nordic (5 M),CA84034WES-B5C4D,Westex,175.14,175.14,270.83333333333337,Carpet,Carpet,Westex Briar Natural Loop  Nordic  5,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Pewter (1 M),CA84034WES-5DAEC,Westex,35.028,35.028,54.16666666666667,Carpet,Carpet,Westex Briar Natural Loop  Pewter 1,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Pewter (3.66 M),CA84034WES-95870,Westex,128.20248,128.20248,198.25000000000003,Carpet,Carpet,Westex Briar Natural Loop  Pewter  3.66,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Pewter (4 M),CA84034WES-91CA0,Westex,140.112,140.112,216.66666666666669,Carpet,Carpet,Westex Briar Natural Loop  Pewter  4,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Pewter (4.57 M),CA84034WES-3EE6D,Westex,160.07796,160.07796,247.5416666666667,Carpet,Carpet,Westex Briar Natural Loop  Pewter  4.57,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Pewter (5 M),CA84034WES-D0639,Westex,175.14,175.14,270.83333333333337,Carpet,Carpet,Westex Briar Natural Loop  Pewter  5,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Rum And Raisin (1 M),CA84034WES-382AA,Westex,35.028,35.028,54.16666666666667,Carpet,Carpet,Westex Briar Natural Loop  Rum And Raisin 1,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Rum And Raisin (3.66 M),CA84034WES-C380F,Westex,128.20248,128.20248,198.25000000000003,Carpet,Carpet,Westex Briar Natural Loop  Rum And Raisin  3.66,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Rum And Raisin (4 M),CA84034WES-A2834,Westex,140.112,140.112,216.66666666666669,Carpet,Carpet,Westex Briar Natural Loop  Rum And Raisin  4,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Rum And Raisin (4.57 M),CA84034WES-637A8,Westex,160.07796,160.07796,247.5416666666667,Carpet,Carpet,Westex Briar Natural Loop  Rum And Raisin  4.57,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Rum And Raisin (5 M),CA84034WES-D318C,Westex,175.14,175.14,270.83333333333337,Carpet,Carpet,Westex Briar Natural Loop  Rum And Raisin  5,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Rustic (1 M),CA84034WES-DA54B,Westex,35.028,35.028,54.16666666666667,Carpet,Carpet,Westex Briar Natural Loop  Rustic 1,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Rustic (3.66 M),CA84034WES-D7194,Westex,128.20248,128.20248,198.25000000000003,Carpet,Carpet,Westex Briar Natural Loop  Rustic  3.66,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Rustic (4 M),CA84034WES-CF312,Westex,140.112,140.112,216.66666666666669,Carpet,Carpet,Westex Briar Natural Loop  Rustic  4,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Rustic (4.57 M),CA84034WES-5C2AB,Westex,160.07796,160.07796,247.5416666666667,Carpet,Carpet,Westex Briar Natural Loop  Rustic  4.57,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Rustic (5 M),CA84034WES-C3B8B,Westex,175.14,175.14,270.83333333333337,Carpet,Carpet,Westex Briar Natural Loop  Rustic  5,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Sandcastle (1 M),CA84034WES-7964F,Westex,35.028,35.028,54.16666666666667,Carpet,Carpet,Westex Briar Natural Loop  Sandcastle 1,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Sandcastle (3.66 M),CA84034WES-63F17,Westex,128.20248,128.20248,198.25000000000003,Carpet,Carpet,Westex Briar Natural Loop  Sandcastle  3.66,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Sandcastle (4 M),CA84034WES-1DAE4,Westex,140.112,140.112,216.66666666666669,Carpet,Carpet,Westex Briar Natural Loop  Sandcastle  4,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Sandcastle (4.57 M),CA84034WES-020E7,Westex,160.07796,160.07796,247.5416666666667,Carpet,Carpet,Westex Briar Natural Loop  Sandcastle  4.57,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Sandcastle (5 M),CA84034WES-0BA23,Westex,175.14,175.14,270.83333333333337,Carpet,Carpet,Westex Briar Natural Loop  Sandcastle  5,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Shingle (1 M),CA84034WES-686A2,Westex,35.028,35.028,54.16666666666667,Carpet,Carpet,Westex Briar Natural Loop  Shingle 1,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Shingle (3.66 M),CA84034WES-FAFE9,Westex,128.20248,128.20248,198.25000000000003,Carpet,Carpet,Westex Briar Natural Loop  Shingle  3.66,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Shingle (4 M),CA84034WES-90C59,Westex,140.112,140.112,216.66666666666669,Carpet,Carpet,Westex Briar Natural Loop  Shingle  4,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Shingle (4.57 M),CA84034WES-249E9,Westex,160.07796,160.07796,247.5416666666667,Carpet,Carpet,Westex Briar Natural Loop  Shingle  4.57,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Shingle (5 M),CA84034WES-D845D,Westex,175.14,175.14,270.83333333333337,Carpet,Carpet,Westex Briar Natural Loop  Shingle  5,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Soya (1 M),CA84034WES-3C66D,Westex,35.028,35.028,54.16666666666667,Carpet,Carpet,Westex Briar Natural Loop  Soya 1,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Soya (3.66 M),CA84034WES-EA798,Westex,128.20248,128.20248,198.25000000000003,Carpet,Carpet,Westex Briar Natural Loop  Soya  3.66,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Soya (4 M),CA84034WES-A7171,Westex,140.112,140.112,216.66666666666669,Carpet,Carpet,Westex Briar Natural Loop  Soya  4,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Soya (4.57 M),CA84034WES-8A39A,Westex,160.07796,160.07796,247.5416666666667,Carpet,Carpet,Westex Briar Natural Loop  Soya  4.57,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Soya (5 M),CA84034WES-04A96,Westex,175.14,175.14,270.83333333333337,Carpet,Carpet,Westex Briar Natural Loop  Soya  5,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Stucco (1 M),CA84034WES-ED133,Westex,35.028,35.028,54.16666666666667,Carpet,Carpet,Westex Briar Natural Loop  Stucco 1,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Stucco (3.66 M),CA84034WES-BF71E,Westex,128.20248,128.20248,198.25000000000003,Carpet,Carpet,Westex Briar Natural Loop  Stucco  3.66,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Stucco (4 M),CA84034WES-DA30B,Westex,140.112,140.112,216.66666666666669,Carpet,Carpet,Westex Briar Natural Loop  Stucco  4,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Stucco (4.57 M),CA84034WES-DEB7D,Westex,160.07796,160.07796,247.5416666666667,Carpet,Carpet,Westex Briar Natural Loop  Stucco  4.57,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Stucco (5 M),CA84034WES-E3E50,Westex,175.14,175.14,270.83333333333337,Carpet,Carpet,Westex Briar Natural Loop  Stucco  5,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Tallow (1 M),CA84034WES-7D945,Westex,35.028,35.028,54.16666666666667,Carpet,Carpet,Westex Briar Natural Loop  Tallow 1,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Tallow (3.66 M),CA84034WES-867D7,Westex,128.20248,128.20248,198.25000000000003,Carpet,Carpet,Westex Briar Natural Loop  Tallow  3.66,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Tallow (4 M),CA84034WES-C3E0B,Westex,140.112,140.112,216.66666666666669,Carpet,Carpet,Westex Briar Natural Loop  Tallow  4,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Tallow (4.57 M),CA84034WES-08E82,Westex,160.07796,160.07796,247.5416666666667,Carpet,Carpet,Westex Briar Natural Loop  Tallow  4.57,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Tallow (5 M),CA84034WES-D1249,Westex,175.14,175.14,270.83333333333337,Carpet,Carpet,Westex Briar Natural Loop  Tallow  5,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Thatch (1 M),CA84034WES-F3329,Westex,35.028,35.028,54.16666666666667,Carpet,Carpet,Westex Briar Natural Loop  Thatch 1,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Thatch (3.66 M),CA84034WES-C8CBD,Westex,128.20248,128.20248,198.25000000000003,Carpet,Carpet,Westex Briar Natural Loop  Thatch  3.66,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Thatch (4 M),CA84034WES-7E08A,Westex,140.112,140.112,216.66666666666669,Carpet,Carpet,Westex Briar Natural Loop  Thatch  4,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Thatch (4.57 M),CA84034WES-50CAE,Westex,160.07796,160.07796,247.5416666666667,Carpet,Carpet,Westex Briar Natural Loop  Thatch  4.57,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Briar Natural Loop Thatch (5 M),CA84034WES-B6C90,Westex,175.14,175.14,270.83333333333337,Carpet,Carpet,Westex Briar Natural Loop  Thatch  5,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Cable Natural Loop Chrome (1 M),CA66334WES-98137,Westex,35.028,35.028,54.16666666666667,Carpet,Carpet,Westex Cable Natural Loop Chrome 1,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Cable Natural Loop Chrome (3.66 M),CA66334WES-242E8,Westex,128.20248,128.20248,198.25000000000003,Carpet,Carpet,Westex Cable Natural Loop Chrome  3.66,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Cable Natural Loop Chrome (4 M),CA66334WES-D5A83,Westex,140.112,140.112,216.66666666666669,Carpet,Carpet,Westex Cable Natural Loop Chrome  4,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Cable Natural Loop Chrome (4.57 M),CA66334WES-BC99D,Westex,160.07796,160.07796,247.5416666666667,Carpet,Carpet,Westex Cable Natural Loop Chrome  4.57,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Cable Natural Loop Chrome (5 M),CA66334WES-5CED8,Westex,175.14,175.14,270.83333333333337,Carpet,Carpet,Westex Cable Natural Loop Chrome  5,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Cable Natural Loop Cobble (1 M),CA66334WES-93ACE,Westex,35.028,35.028,54.16666666666667,Carpet,Carpet,Westex Cable Natural Loop  Cobble 1,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Cable Natural Loop Cobble (3.66 M),CA66334WES-0C415,Westex,128.20248,128.20248,198.25000000000003,Carpet,Carpet,Westex Cable Natural Loop  Cobble  3.66,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Cable Natural Loop Cobble (4 M),CA66334WES-C3FFC,Westex,140.112,140.112,216.66666666666669,Carpet,Carpet,Westex Cable Natural Loop  Cobble  4,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Cable Natural Loop Cobble (4.57 M),CA66334WES-29CEA,Westex,160.07796,160.07796,247.5416666666667,Carpet,Carpet,Westex Cable Natural Loop  Cobble  4.57,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Cable Natural Loop Cobble (5 M),CA66334WES-D0A88,Westex,175.14,175.14,270.83333333333337,Carpet,Carpet,Westex Cable Natural Loop  Cobble  5,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Cable Natural Loop Coffee And Cream (1 M),CA66334WES-252E6,Westex,35.028,35.028,54.16666666666667,Carpet,Carpet,Westex Cable Natural Loop  Coffee And Cream 1,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Cable Natural Loop Coffee And Cream (3.66 M),CA66334WES-07AA1,Westex,128.20248,128.20248,198.25000000000003,Carpet,Carpet,Westex Cable Natural Loop  Coffee And Cream  3.66,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Cable Natural Loop Coffee And Cream (4 M),CA66334WES-B2A01,Westex,140.112,140.112,216.66666666666669,Carpet,Carpet,Westex Cable Natural Loop  Coffee And Cream  4,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Cable Natural Loop Coffee And Cream (4.57 M),CA66334WES-673EC,Westex,160.07796,160.07796,247.5416666666667,Carpet,Carpet,Westex Cable Natural Loop  Coffee And Cream  4.57,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Cable Natural Loop Coffee And Cream (5 M),CA66334WES-1E176,Westex,175.14,175.14,270.83333333333337,Carpet,Carpet,Westex Cable Natural Loop  Coffee And Cream  5,Price per SQM: £65.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
