Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Simply Natural Ash (5 M),CA67526AXM-42184,Axminster Carpets,182.45000000000002,182.45000000000002,287.5,Carpet,Carpet,Axminster Carpets Simply Natural Ash  5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Simply Natural Basalt (4 M),CA67526AXM-60AF3,Axminster Carpets,145.96,145.96,230.0,Carpet,Carpet,Axminster Carpets Simply Natural  Basalt 4,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Simply Natural Basalt (5 M),CA67526AXM-3AF5B,Axminster Carpets,182.45000000000002,182.45000000000002,287.5,Carpet,Carpet,Axminster Carpets Simply Natural  Basalt  5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Simply Natural Basalt/Eggshell (4 M),CA67526AXM-B3BD1,Axminster Carpets,145.96,145.96,230.0,Carpet,Carpet,Axminster Carpets Simply Natural  Basalt/Eggshell 4,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Simply Natural Basalt/Eggshell (5 M),CA67526AXM-F5374,Axminster Carpets,182.45000000000002,182.45000000000002,287.5,Carpet,Carpet,Axminster Carpets Simply Natural  Basalt/Eggshell  5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Simply Natural Flint (4 M),CA67526AXM-AA33B,Axminster Carpets,145.96,145.96,230.0,Carpet,Carpet,Axminster Carpets Simply Natural  Flint 4,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Simply Natural Flint (5 M),CA67526AXM-38D45,Axminster Carpets,182.45000000000002,182.45000000000002,287.5,Carpet,Carpet,Axminster Carpets Simply Natural  Flint  5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Simply Natural Flint/Eggshell (4 M),CA67526AXM-2F15E,Axminster Carpets,145.96,145.96,230.0,Carpet,Carpet,Axminster Carpets Simply Natural  Flint/Eggshell 4,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Simply Natural Flint/Eggshell (5 M),CA67526AXM-BA031,Axminster Carpets,182.45000000000002,182.45000000000002,287.5,Carpet,Carpet,Axminster Carpets Simply Natural  Flint/Eggshell  5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Simply Natural Grosgrain (4 M),CA67526AXM-93E57,Axminster Carpets,145.96,145.96,230.0,Carpet,Carpet,Axminster Carpets Simply Natural  Grosgrain 4,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Simply Natural Grosgrain (5 M),CA67526AXM-DC02D,Axminster Carpets,182.45000000000002,182.45000000000002,287.5,Carpet,Carpet,Axminster Carpets Simply Natural  Grosgrain  5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Simply Natural Quartz (4 M),CA67526AXM-CC85A,Axminster Carpets,145.96,145.96,230.0,Carpet,Carpet,Axminster Carpets Simply Natural  Quartz 4,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Simply Natural Quartz (5 M),CA67526AXM-D5983,Axminster Carpets,182.45000000000002,182.45000000000002,287.5,Carpet,Carpet,Axminster Carpets Simply Natural  Quartz  5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Simply Natural Ribgrass (4 M),CA67526AXM-E6073,Axminster Carpets,145.96,145.96,230.0,Carpet,Carpet,Axminster Carpets Simply Natural  Ribgrass 4,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Simply Natural Ribgrass (5 M),CA67526AXM-CFF61,Axminster Carpets,182.45000000000002,182.45000000000002,287.5,Carpet,Carpet,Axminster Carpets Simply Natural  Ribgrass  5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Simply Natural Simply Natural (4 M),CA67526AXM-E0FFF,Axminster Carpets,145.96,145.96,230.0,Carpet,Carpet,Axminster Carpets Simply Natural  Simply Natural 4,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Simply Natural Simply Natural (5 M),CA67526AXM-91DAF,Axminster Carpets,182.45000000000002,182.45000000000002,287.5,Carpet,Carpet,Axminster Carpets Simply Natural  Simply Natural  5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Simply Natural Straw (4 M),CA67526AXM-A77A8,Axminster Carpets,145.96,145.96,230.0,Carpet,Carpet,Axminster Carpets Simply Natural  Straw 4,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Simply Natural Straw (5 M),CA67526AXM-10D7B,Axminster Carpets,182.45000000000002,182.45000000000002,287.5,Carpet,Carpet,Axminster Carpets Simply Natural  Straw  5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Simply Natural Straw/Black (4 M),CA67526AXM-84F26,Axminster Carpets,145.96,145.96,230.0,Carpet,Carpet,Axminster Carpets Simply Natural  Straw/Black 4,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Simply Natural Straw/Black (5 M),CA67526AXM-F691A,Axminster Carpets,182.45000000000002,182.45000000000002,287.5,Carpet,Carpet,Axminster Carpets Simply Natural  Straw/Black  5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Simply Natural Straw/Cornsilk (4 M),CA67526AXM-52D51,Axminster Carpets,145.96,145.96,230.0,Carpet,Carpet,Axminster Carpets Simply Natural  Straw/Cornsilk 4,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Simply Natural Straw/Cornsilk (5 M),CA67526AXM-D14F8,Axminster Carpets,182.45000000000002,182.45000000000002,287.5,Carpet,Carpet,Axminster Carpets Simply Natural  Straw/Cornsilk  5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Simply Natural Straw/Flame (4 M),CA67526AXM-F89B4,Axminster Carpets,145.96,145.96,230.0,Carpet,Carpet,Axminster Carpets Simply Natural  Straw/Flame 4,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Simply Natural Straw/Flame (5 M),CA67526AXM-2138B,Axminster Carpets,182.45000000000002,182.45000000000002,287.5,Carpet,Carpet,Axminster Carpets Simply Natural  Straw/Flame  5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Simply Natural Wheat (4 M),CA67526AXM-AA225,Axminster Carpets,145.96,145.96,230.0,Carpet,Carpet,Axminster Carpets Simply Natural  Wheat 4,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Simply Natural Wheat (5 M),CA67526AXM-3ABB7,Axminster Carpets,182.45000000000002,182.45000000000002,287.5,Carpet,Carpet,Axminster Carpets Simply Natural  Wheat  5,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Velvet Collection Brushed Velvet (4 M),CA42123AXM-331DF,Axminster Carpets,194.0,194.0,300.0,Carpet,Carpet,Axminster Carpets Velvet Collection Brushed Velvet 4,Price per SQM: £90.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Velvet Collection Brushed Velvet (5 M),CA42123AXM-C310D,Axminster Carpets,242.5,242.5,375.0,Carpet,Carpet,Axminster Carpets Velvet Collection Brushed Velvet  5,Price per SQM: £90.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Velvet Collection Cashmere Shawl (4 M),CA42123AXM-0A9B8,Axminster Carpets,194.0,194.0,300.0,Carpet,Carpet,Axminster Carpets Velvet Collection  Cashmere Shawl 4,Price per SQM: £90.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Velvet Collection Cashmere Shawl (5 M),CA42123AXM-B7D9B,Axminster Carpets,242.5,242.5,375.0,Carpet,Carpet,Axminster Carpets Velvet Collection  Cashmere Shawl  5,Price per SQM: £90.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Velvet Collection Chroma Haze (4 M),CA42123AXM-5124C,Axminster Carpets,194.0,194.0,300.0,Carpet,Carpet,Axminster Carpets Velvet Collection  Chroma Haze 4,Price per SQM: £90.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Velvet Collection Chroma Haze (5 M),CA42123AXM-5D49B,Axminster Carpets,242.5,242.5,375.0,Carpet,Carpet,Axminster Carpets Velvet Collection  Chroma Haze  5,Price per SQM: £90.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Velvet Collection Feather Plume (4 M),CA42123AXM-736F5,Axminster Carpets,194.0,194.0,300.0,Carpet,Carpet,Axminster Carpets Velvet Collection  Feather Plume 4,Price per SQM: £90.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Velvet Collection Feather Plume (5 M),CA42123AXM-1718F,Axminster Carpets,242.5,242.5,375.0,Carpet,Carpet,Axminster Carpets Velvet Collection  Feather Plume  5,Price per SQM: £90.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Velvet Collection Harvest Dawn (4 M),CA42123AXM-CA1B9,Axminster Carpets,194.0,194.0,300.0,Carpet,Carpet,Axminster Carpets Velvet Collection  Harvest Dawn 4,Price per SQM: £90.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Velvet Collection Harvest Dawn (5 M),CA42123AXM-8153D,Axminster Carpets,242.5,242.5,375.0,Carpet,Carpet,Axminster Carpets Velvet Collection  Harvest Dawn  5,Price per SQM: £90.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Velvet Collection Ocean Spray (4 M),CA42123AXM-35402,Axminster Carpets,194.0,194.0,300.0,Carpet,Carpet,Axminster Carpets Velvet Collection  Ocean Spray 4,Price per SQM: £90.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Velvet Collection Ocean Spray (5 M),CA42123AXM-1B13F,Axminster Carpets,242.5,242.5,375.0,Carpet,Carpet,Axminster Carpets Velvet Collection  Ocean Spray  5,Price per SQM: £90.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Velvet Collection Satin Touch (4 M),CA42123AXM-9B157,Axminster Carpets,194.0,194.0,300.0,Carpet,Carpet,Axminster Carpets Velvet Collection  Satin Touch 4,Price per SQM: £90.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Velvet Collection Satin Touch (5 M),CA42123AXM-066C5,Axminster Carpets,242.5,242.5,375.0,Carpet,Carpet,Axminster Carpets Velvet Collection  Satin Touch  5,Price per SQM: £90.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Velvet Collection Silk Road (4 M),CA42123AXM-476BD,Axminster Carpets,194.0,194.0,300.0,Carpet,Carpet,Axminster Carpets Velvet Collection  Silk Road 4,Price per SQM: £90.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Velvet Collection Silk Road (5 M),CA42123AXM-C720F,Axminster Carpets,242.5,242.5,375.0,Carpet,Carpet,Axminster Carpets Velvet Collection  Silk Road  5,Price per SQM: £90.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Velvet Collection Smoky Shore (4 M),CA42123AXM-11C15,Axminster Carpets,194.0,194.0,300.0,Carpet,Carpet,Axminster Carpets Velvet Collection  Smoky Shore 4,Price per SQM: £90.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Velvet Collection Smoky Shore (5 M),CA42123AXM-7A5A0,Axminster Carpets,242.5,242.5,375.0,Carpet,Carpet,Axminster Carpets Velvet Collection  Smoky Shore  5,Price per SQM: £90.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Velvet Collection Soft Lace (4 M),CA42123AXM-0A838,Axminster Carpets,194.0,194.0,300.0,Carpet,Carpet,Axminster Carpets Velvet Collection  Soft Lace 4,Price per SQM: £90.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Velvet Collection Soft Lace (5 M),CA42123AXM-4F7B1,Axminster Carpets,242.5,242.5,375.0,Carpet,Carpet,Axminster Carpets Velvet Collection  Soft Lace  5,Price per SQM: £90.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Velvet Collection Star Dune (4 M),CA42123AXM-8DBED,Axminster Carpets,194.0,194.0,300.0,Carpet,Carpet,Axminster Carpets Velvet Collection  Star Dune 4,Price per SQM: £90.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Velvet Collection Star Dune (5 M),CA42123AXM-356BA,Axminster Carpets,242.5,242.5,375.0,Carpet,Carpet,Axminster Carpets Velvet Collection  Star Dune  5,Price per SQM: £90.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Velvet Collection Velvet Collection (4 M),CA42123AXM-177E0,Axminster Carpets,194.0,194.0,300.0,Carpet,Carpet,Axminster Carpets Velvet Collection  Velvet Collection 4,Price per SQM: £90.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Velvet Collection Velvet Collection (5 M),CA42123AXM-3BA3C,Axminster Carpets,242.5,242.5,375.0,Carpet,Carpet,Axminster Carpets Velvet Collection  Velvet Collection  5,Price per SQM: £90.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
