Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Penzance Sea Shell (4 M),CA17403LEW-31D67,Lewis Abbott,97.16,97.16,173.33333333333331,Carpet,Carpet,Lewis Abbott Penzance  Sea Shell 4,Price per SQM: £52.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Penzance Sea Shell (5 M),CA17403LEW-5F5CB,Lewis Abbott,121.44999999999999,121.44999999999999,216.66666666666663,Carpet,Carpet,Lewis Abbott Penzance  Sea Shell  5,Price per SQM: £52.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Penzance Silver Mist (4 M),CA17403LEW-C6359,Lewis Abbott,97.16,97.16,173.33333333333331,Carpet,Carpet,Lewis Abbott Penzance  Silver Mist 4,Price per SQM: £52.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Penzance Silver Mist (5 M),CA17403LEW-47B6F,Lewis Abbott,121.44999999999999,121.44999999999999,216.66666666666663,Carpet,Carpet,Lewis Abbott Penzance  Silver Mist  5,Price per SQM: £52.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Penzance Storm Cloud (4 M),CA17403LEW-02A85,Lewis Abbott,97.16,97.16,173.33333333333331,Carpet,Carpet,Lewis Abbott Penzance  Storm Cloud 4,Price per SQM: £52.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Penzance Storm Cloud (5 M),CA17403LEW-C2385,Lewis Abbott,121.44999999999999,121.44999999999999,216.66666666666663,Carpet,Carpet,Lewis Abbott Penzance  Storm Cloud  5,Price per SQM: £52.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Pot Pouri Clay (4 M),CA81921LEW-AD6FA,Lewis Abbott,79.16,79.16,156.66666666666666,Carpet,Carpet,Lewis Abbott Pot Pouri Clay 4,Price per SQM: £47.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Pot Pouri Clay (5 M),CA81921LEW-7F596,Lewis Abbott,98.94999999999999,98.94999999999999,195.83333333333331,Carpet,Carpet,Lewis Abbott Pot Pouri Clay  5,Price per SQM: £47.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Pot Pouri Earth (4 M),CA81921LEW-E1DAB,Lewis Abbott,79.16,79.16,156.66666666666666,Carpet,Carpet,Lewis Abbott Pot Pouri  Earth 4,Price per SQM: £47.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Pot Pouri Earth (5 M),CA81921LEW-90944,Lewis Abbott,98.94999999999999,98.94999999999999,195.83333333333331,Carpet,Carpet,Lewis Abbott Pot Pouri  Earth  5,Price per SQM: £47.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Pot Pouri Nickel (4 M),CA81921LEW-B55CB,Lewis Abbott,79.16,79.16,156.66666666666666,Carpet,Carpet,Lewis Abbott Pot Pouri  Nickel 4,Price per SQM: £47.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Pot Pouri Nickel (5 M),CA81921LEW-7FCDE,Lewis Abbott,98.94999999999999,98.94999999999999,195.83333333333331,Carpet,Carpet,Lewis Abbott Pot Pouri  Nickel  5,Price per SQM: £47.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Pot Pouri Pebble (4 M),CA81921LEW-085FC,Lewis Abbott,79.16,79.16,156.66666666666666,Carpet,Carpet,Lewis Abbott Pot Pouri  Pebble 4,Price per SQM: £47.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Pot Pouri Pebble (5 M),CA81921LEW-17E48,Lewis Abbott,98.94999999999999,98.94999999999999,195.83333333333331,Carpet,Carpet,Lewis Abbott Pot Pouri  Pebble  5,Price per SQM: £47.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Pot Pouri Pumice (4 M),CA81921LEW-F43C1,Lewis Abbott,79.16,79.16,156.66666666666666,Carpet,Carpet,Lewis Abbott Pot Pouri  Pumice 4,Price per SQM: £47.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Pot Pouri Pumice (5 M),CA81921LEW-4741E,Lewis Abbott,98.94999999999999,98.94999999999999,195.83333333333331,Carpet,Carpet,Lewis Abbott Pot Pouri  Pumice  5,Price per SQM: £47.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Pot Pouri Slate (4 M),CA81921LEW-0E4E7,Lewis Abbott,79.16,79.16,156.66666666666666,Carpet,Carpet,Lewis Abbott Pot Pouri  Slate 4,Price per SQM: £47.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Pot Pouri Slate (5 M),CA81921LEW-05469,Lewis Abbott,98.94999999999999,98.94999999999999,195.83333333333331,Carpet,Carpet,Lewis Abbott Pot Pouri  Slate  5,Price per SQM: £47.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Pot Pouri Steel (4 M),CA81921LEW-06DC8,Lewis Abbott,79.16,79.16,156.66666666666666,Carpet,Carpet,Lewis Abbott Pot Pouri  Steel 4,Price per SQM: £47.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Pot Pouri Steel (5 M),CA81921LEW-46B99,Lewis Abbott,98.94999999999999,98.94999999999999,195.83333333333331,Carpet,Carpet,Lewis Abbott Pot Pouri  Steel  5,Price per SQM: £47.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Pot Pouri Stone (4 M),CA81921LEW-5A09A,Lewis Abbott,79.16,79.16,156.66666666666666,Carpet,Carpet,Lewis Abbott Pot Pouri  Stone 4,Price per SQM: £47.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Pot Pouri Stone (5 M),CA81921LEW-8C23F,Lewis Abbott,98.94999999999999,98.94999999999999,195.83333333333331,Carpet,Carpet,Lewis Abbott Pot Pouri  Stone  5,Price per SQM: £47.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Rural Charm Brushed Stone (4 M),CA47869LEW-D269F,Lewis Abbott,53.36,53.36,106.66666666666666,Carpet,Carpet,Lewis Abbott Rural Charm Brushed Stone 4,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Rural Charm Brushed Stone (5 M),CA47869LEW-66E19,Lewis Abbott,66.7,66.7,133.33333333333331,Carpet,Carpet,Lewis Abbott Rural Charm Brushed Stone  5,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Rural Charm Cottage Cream (4 M),CA47869LEW-72070,Lewis Abbott,53.36,53.36,106.66666666666666,Carpet,Carpet,Lewis Abbott Rural Charm  Cottage Cream 4,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Rural Charm Cottage Cream (5 M),CA47869LEW-C61FD,Lewis Abbott,66.7,66.7,133.33333333333331,Carpet,Carpet,Lewis Abbott Rural Charm  Cottage Cream  5,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Rural Charm Dream Decor (4 M),CA47869LEW-93E5D,Lewis Abbott,53.36,53.36,106.66666666666666,Carpet,Carpet,Lewis Abbott Rural Charm  Dream Decor 4,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Rural Charm Dream Decor (5 M),CA47869LEW-7228D,Lewis Abbott,66.7,66.7,133.33333333333331,Carpet,Carpet,Lewis Abbott Rural Charm  Dream Decor  5,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Rural Charm Eternal Nature (4 M),CA47869LEW-DBBB3,Lewis Abbott,53.36,53.36,106.66666666666666,Carpet,Carpet,Lewis Abbott Rural Charm  Eternal Nature 4,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Rural Charm Eternal Nature (5 M),CA47869LEW-850A8,Lewis Abbott,66.7,66.7,133.33333333333331,Carpet,Carpet,Lewis Abbott Rural Charm  Eternal Nature  5,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Rural Charm Polished Marble (4 M),CA47869LEW-6A192,Lewis Abbott,53.36,53.36,106.66666666666666,Carpet,Carpet,Lewis Abbott Rural Charm  Polished Marble 4,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Rural Charm Polished Marble (5 M),CA47869LEW-00ABF,Lewis Abbott,66.7,66.7,133.33333333333331,Carpet,Carpet,Lewis Abbott Rural Charm  Polished Marble  5,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Rural Charm Soft Mink (4 M),CA47869LEW-E2A6C,Lewis Abbott,53.36,53.36,106.66666666666666,Carpet,Carpet,Lewis Abbott Rural Charm  Soft Mink 4,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Rural Charm Soft Mink (5 M),CA47869LEW-6D365,Lewis Abbott,66.7,66.7,133.33333333333331,Carpet,Carpet,Lewis Abbott Rural Charm  Soft Mink  5,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
