Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Savoy Brown (4 M),CA11659DAV-1B077,David Harper & Co,264.48,264.48,396.66666666666663,Carpet,Carpet,David Harper & Co Savoy Brown 4,"Price per SQM: £119.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Savoy Cappuccino (4 M),CA11659DAV-31B4F,David Harper & Co,264.48,264.48,396.66666666666663,Carpet,Carpet,David Harper & Co Savoy  Cappuccino 4,"Price per SQM: £119.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Savoy Dove (4 M),CA11659DAV-061A3,David Harper & Co,264.48,264.48,396.66666666666663,Carpet,Carpet,David Harper & Co Savoy  Dove 4,"Price per SQM: £119.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Savoy Gold (4 M),CA11659DAV-C055A,David Harper & Co,264.48,264.48,396.66666666666663,Carpet,Carpet,David Harper & Co Savoy  Gold 4,"Price per SQM: £119.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Savoy Heather (4 M),CA11659DAV-A0207,David Harper & Co,264.48,264.48,396.66666666666663,Carpet,Carpet,David Harper & Co Savoy  Heather 4,"Price per SQM: £119.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Savoy Mouse (4 M),CA11659DAV-C1269,David Harper & Co,264.48,264.48,396.66666666666663,Carpet,Carpet,David Harper & Co Savoy  Mouse 4,"Price per SQM: £119.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Savoy Natural (4 M),CA11659DAV-9814C,David Harper & Co,264.48,264.48,396.66666666666663,Carpet,Carpet,David Harper & Co Savoy  Natural 4,"Price per SQM: £119.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Savoy Navy (4 M),CA11659DAV-76EE6,David Harper & Co,264.48,264.48,396.66666666666663,Carpet,Carpet,David Harper & Co Savoy  Navy 4,"Price per SQM: £119.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Savoy Oatmeal (4 M),CA11659DAV-AE54C,David Harper & Co,264.48,264.48,396.66666666666663,Carpet,Carpet,David Harper & Co Savoy  Oatmeal 4,"Price per SQM: £119.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Savoy Shale (4 M),CA11659DAV-A2E8F,David Harper & Co,264.48,264.48,396.66666666666663,Carpet,Carpet,David Harper & Co Savoy  Shale 4,"Price per SQM: £119.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Savoy Sirocco (4 M),CA11659DAV-97DB8,David Harper & Co,264.48,264.48,396.66666666666663,Carpet,Carpet,David Harper & Co Savoy  Sirocco 4,"Price per SQM: £119.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Savoy Taupe (4 M),CA11659DAV-6E871,David Harper & Co,264.48,264.48,396.66666666666663,Carpet,Carpet,David Harper & Co Savoy  Taupe 4,"Price per SQM: £119.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Tuscany Cameo (4 M),CA77130DAV-EC14F,David Harper & Co,274.48,274.48,413.33333333333337,Carpet,Carpet,David Harper & Co Tuscany Cameo 4,Price per SQM: £124.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Tuscany Grey (4 M),CA77130DAV-327BE,David Harper & Co,274.48,274.48,413.33333333333337,Carpet,Carpet,David Harper & Co Tuscany  Grey 4,Price per SQM: £124.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Tuscany Ocean (4 M),CA77130DAV-8E474,David Harper & Co,274.48,274.48,413.33333333333337,Carpet,Carpet,David Harper & Co Tuscany  Ocean 4,Price per SQM: £124.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Tuscany Pewter (4 M),CA77130DAV-91CA0,David Harper & Co,274.48,274.48,413.33333333333337,Carpet,Carpet,David Harper & Co Tuscany  Pewter 4,Price per SQM: £124.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Venice Autumn (4 M),CA15717DAV-BE5AB,David Harper & Co,241.96,241.96,363.33333333333337,Carpet,Carpet,David Harper & Co Venice Autumn 4,"Price per SQM: £109.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Venice Coffee (4 M),CA15717DAV-E68F4,David Harper & Co,241.96,241.96,363.33333333333337,Carpet,Carpet,David Harper & Co Venice  Coffee 4,"Price per SQM: £109.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Venice Marine (4 M),CA15717DAV-5BF98,David Harper & Co,241.96,241.96,363.33333333333337,Carpet,Carpet,David Harper & Co Venice  Marine 4,"Price per SQM: £109.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Venice Mist (4 M),CA15717DAV-5DA9F,David Harper & Co,241.96,241.96,363.33333333333337,Carpet,Carpet,David Harper & Co Venice  Mist 4,"Price per SQM: £109.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Venice Toffee (4 M),CA15717DAV-04910,David Harper & Co,241.96,241.96,363.33333333333337,Carpet,Carpet,David Harper & Co Venice  Toffee 4,"Price per SQM: £109.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Verona Coffee (4 M),CA38090DAV-E68F4,David Harper & Co,241.96,241.96,363.33333333333337,Carpet,Carpet,David Harper & Co Verona Coffee 4,"Price per SQM: £109.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Verona Green (4 M),CA38090DAV-7A1A7,David Harper & Co,241.96,241.96,363.33333333333337,Carpet,Carpet,David Harper & Co Verona  Green 4,"Price per SQM: £109.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Verona Pewter (4 M),CA38090DAV-91CA0,David Harper & Co,241.96,241.96,363.33333333333337,Carpet,Carpet,David Harper & Co Verona  Pewter 4,"Price per SQM: £109.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Verona Tile (4 M),CA38090DAV-B3F78,David Harper & Co,241.96,241.96,363.33333333333337,Carpet,Carpet,David Harper & Co Verona  Tile 4,"Price per SQM: £109.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Verona Turquoise (4 M),CA38090DAV-7CF8C,David Harper & Co,241.96,241.96,363.33333333333337,Carpet,Carpet,David Harper & Co Verona  Turquoise 4,"Price per SQM: £109.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
William Colour 1 (4 M),CA63713DAV-FA010,David Harper & Co,241.96,241.96,363.33333333333337,Carpet,Carpet,David Harper & Co William Colour 1 4,"Price per SQM: £109.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
William Colour 2 (4 M),CA63713DAV-1FB78,David Harper & Co,241.96,241.96,363.33333333333337,Carpet,Carpet,David Harper & Co William  Colour 2 4,"Price per SQM: £109.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
William Colour 3 (4 M),CA63713DAV-8AAC8,David Harper & Co,241.96,241.96,363.33333333333337,Carpet,Carpet,David Harper & Co William  Colour 3 4,"Price per SQM: £109.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
William Colour 4 (4 M),CA63713DAV-E900F,David Harper & Co,241.96,241.96,363.33333333333337,Carpet,Carpet,David Harper & Co William  Colour 4 4,"Price per SQM: £109.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
