Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Annabelle III 835 (2 M),CA91106ROL-64383,Rols,141.8,141.8,213.33333333333331,Carpet,Carpet,Rols Annabelle III  835 2,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 835 (4 M),CA91106ROL-3CF58,Rols,283.6,283.6,426.66666666666663,Carpet,Carpet,Rols Annabelle III  835  4,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 838 (2 M),CA91106ROL-FFBB7,Rols,141.8,141.8,213.33333333333331,Carpet,Carpet,Rols Annabelle III  838 2,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 838 (4 M),CA91106ROL-65F8B,Rols,283.6,283.6,426.66666666666663,Carpet,Carpet,Rols Annabelle III  838  4,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 839 (2 M),CA91106ROL-F9E8C,Rols,141.8,141.8,213.33333333333331,Carpet,Carpet,Rols Annabelle III  839 2,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 839 (4 M),CA91106ROL-7FF04,Rols,283.6,283.6,426.66666666666663,Carpet,Carpet,Rols Annabelle III  839  4,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 840 (2 M),CA91106ROL-4DCDD,Rols,141.8,141.8,213.33333333333331,Carpet,Carpet,Rols Annabelle III  840 2,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 840 (4 M),CA91106ROL-9879D,Rols,283.6,283.6,426.66666666666663,Carpet,Carpet,Rols Annabelle III  840  4,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 841 (2 M),CA91106ROL-66EC4,Rols,141.8,141.8,213.33333333333331,Carpet,Carpet,Rols Annabelle III  841 2,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 841 (4 M),CA91106ROL-97B7A,Rols,283.6,283.6,426.66666666666663,Carpet,Carpet,Rols Annabelle III  841  4,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 842 (2 M),CA91106ROL-9D3AF,Rols,141.8,141.8,213.33333333333331,Carpet,Carpet,Rols Annabelle III  842 2,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 842 (4 M),CA91106ROL-04DAD,Rols,283.6,283.6,426.66666666666663,Carpet,Carpet,Rols Annabelle III  842  4,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
