Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Richmond Ormeley (Chevron) Rustic,WO25174BES,Bespoke by Woven & Woods,77.95,77.95,109.16666666666666,Wood,Chevron,Bespoke by Woven & Woods Richmond Ormeley (Chevron) Rustic,Price per SQM: £131.00 inc VAT; Locations: None; Data synced from Rakata
Richmond Pembroke (Chevron) Rustic,WO38994BES,Bespoke by Woven & Woods,72.95,72.95,102.5,Wood,Chevron,Bespoke by Woven & Woods Richmond Pembroke (Chevron) Rustic,Price per SQM: £123.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Richmond Sandycombe (Chevron) Rustic,WO38448BES,Bespoke by Woven & Woods,72.95,72.95,102.5,Wood,Chevron,Bespoke by Woven & Woods Richmond Sandycombe (Chevron) Rustic,Price per SQM: £123.00 inc VAT; Locations: None; Data synced from Rakata
Richmond Syon (Chevron) Rustic,WO73643BES,Bespoke by Woven & Woods,77.95,77.95,109.16666666666666,Wood,Chevron,Bespoke by Woven & Woods Richmond Syon (Chevron) Rustic,Price per SQM: £131.00 inc VAT; Locations: None; Data synced from Rakata
"Richmond Temperate (Chevron, Rustic)",WO20267BES,Bespoke by Woven & Woods,67.0,67.0,94.16666666666666,Wood,Chevron,"Bespoke by Woven & Woods Richmond Temperate (Chevron, Rustic)",Price per SQM: £113.00 inc VAT; Locations: None; Data synced from Rakata
Richmond Clarence (Chevron) Prime,WO48837BES,Bespoke by Woven & Woods,76.95,76.95,107.5,Wood,Chevron,Bespoke by Woven & Woods Richmond Clarence (Chevron) Prime,Price per SQM: £129.00 inc VAT; Locations: None; Data synced from Rakata
Richmond Wick (Chevron) Prime,WO73387BES,Bespoke by Woven & Woods,76.95,76.95,107.5,Wood,Chevron,Bespoke by Woven & Woods Richmond Wick (Chevron) Prime,Price per SQM: £129.00 inc VAT; Locations: None; Data synced from Rakata
Richmond Ormeley (Chevron) Prime,WO62962BES,Bespoke by Woven & Woods,76.95,76.95,107.5,Wood,Chevron,Bespoke by Woven & Woods Richmond Ormeley (Chevron) Prime,Price per SQM: £129.00 inc VAT; Locations: None; Data synced from Rakata
Richmond Pembroke (Chevron) Prime,WO32632BES,Bespoke by Woven & Woods,76.95,76.95,107.5,Wood,Chevron,Bespoke by Woven & Woods Richmond Pembroke (Chevron) Prime,Price per SQM: £129.00 inc VAT; Locations: None; Data synced from Rakata
Richmond Sandycombe (Chevron) Prime,WO40860BES,Bespoke by Woven & Woods,76.95,76.95,107.5,Wood,Chevron,Bespoke by Woven & Woods Richmond Sandycombe (Chevron) Prime,Price per SQM: £129.00 inc VAT; Locations: None; Data synced from Rakata
Richmond Syon (Chevron) Prime,WO77719BES,Bespoke by Woven & Woods,81.95,81.95,110.83333333333334,Wood,Chevron,Bespoke by Woven & Woods Richmond Syon (Chevron) Prime,Price per SQM: £133.00 inc VAT; Locations: None; Data synced from Rakata
"Richmond Temperate (Chevron, Prime)",WO57081BES,Bespoke by Woven & Woods,71.0,71.0,99.16666666666666,Wood,Chevron,"Bespoke by Woven & Woods Richmond Temperate (Chevron, Prime)",Price per SQM: £119.00 inc VAT; Locations: None; Data synced from Rakata
"Richmond Garrick (Chevron, Prime)",WO91831BES,Bespoke by Woven & Woods,61.0,61.0,85.0,Wood,Chevron,"Bespoke by Woven & Woods Richmond Garrick (Chevron, Prime)",Price per SQM: £102.00 inc VAT; Locations: None; Data synced from Rakata
Century Matt,WO51087BES,Bespoke by Woven & Woods,74.0,74.0,103.33333333333334,Wood,Plank,Bespoke by Woven & Woods Century Matt,Price per SQM: £124.00 inc VAT; Locations: None; Data synced from Rakata
Century Natural,WO25865BES,Bespoke by Woven & Woods,70.0,70.0,98.33333333333334,Wood,Plank,Bespoke by Woven & Woods Century Natural,Price per SQM: £118.00 inc VAT; Locations: None; Data synced from Rakata
Century Light Smoked,WO59407BES,Bespoke by Woven & Woods,74.0,74.0,103.33333333333334,Wood,Plank,Bespoke by Woven & Woods Century Light Smoked,Price per SQM: £124.00 inc VAT; Locations: None; Data synced from Rakata
Century Medium Smoked,WO33978BES,Bespoke by Woven & Woods,74.0,74.0,103.33333333333334,Wood,Plank,Bespoke by Woven & Woods Century Medium Smoked,Price per SQM: £124.00 inc VAT; Locations: None; Data synced from Rakata
Century Dark Smoked,WO12340BES,Bespoke by Woven & Woods,74.0,74.0,103.33333333333334,Wood,Plank,Bespoke by Woven & Woods Century Dark Smoked,Price per SQM: £124.00 inc VAT; Locations: None; Data synced from Rakata
Century Black,WO57856BES,Bespoke by Woven & Woods,74.0,74.0,103.33333333333334,Wood,Plank,Bespoke by Woven & Woods Century Black,Price per SQM: £124.00 inc VAT; Locations: None; Data synced from Rakata
