Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Deco Plank Tannery Brown,WO53340VFX,V4,42.35,42.35,63.33333333333333,Wood,Plank,V4 Deco Plank Tannery Brown,Price per SQM: £76.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Driftwood Brushed Oak,WO95455VFX,V4,33.9,33.9,55.83333333333333,Wood,Plank,V4 Driftwood Brushed Oak,Price per SQM: £67.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Driftwood Burnt Bracken,WO50482VFX,V4,34.95,34.95,57.5,Wood,Plank,V4 Driftwood Burnt Bracken,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Driftwood Deckboard Oak,WO63066VFX,V4,25.25,25.25,44.16666666666667,Wood,Plank,V4 Driftwood Deckboard Oak,Price per SQM: £53.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Driftwood Embered Oak,WO70709VFX,V4,42.65,42.65,64.16666666666667,Wood,Plank,V4 Driftwood Embered Oak,Price per SQM: £77.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Driftwood Fjordic Shore,WO25286VFX,V4,34.8,34.8,57.5,Wood,Plank,V4 Driftwood Fjordic Shore,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Driftwood Jetsam Oak,WO18003VFX,V4,34.8,34.8,57.5,Wood,Plank,V4 Driftwood Jetsam Oak,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Driftwood Lichen White Oak,WO21954VFX,V4,42.65,42.65,64.16666666666667,Wood,Plank,V4 Driftwood Lichen White Oak,Price per SQM: £77.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Driftwood Marsh Grey,WO88331VFX,V4,42.65,42.65,64.16666666666667,Wood,Plank,V4 Driftwood Marsh Grey,Price per SQM: £77.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Driftwood Pebble Grey,WO11940VFX,V4,33.65,33.65,55.83333333333333,Wood,Plank,V4 Driftwood Pebble Grey,Price per SQM: £67.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Driftwood Silver Sands,WO45369VFX,V4,39.45,39.45,60.83333333333333,Wood,Plank,V4 Driftwood Silver Sands,Price per SQM: £73.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Heritage Bisham,WO50527VFX,V4,45.5,45.5,68.33333333333333,Wood,Plank,V4 Heritage Bisham,Price per SQM: £82.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Heritage Brampton,WO16986VFX,V4,45.5,45.5,68.33333333333333,Wood,Plank,V4 Heritage Brampton,Price per SQM: £82.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Heritage Cairngorns,WO51448VFX,V4,45.5,45.5,68.33333333333333,Wood,Plank,V4 Heritage Cairngorns,Price per SQM: £82.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Heritage Delamere,WO26247VFX,V4,45.5,45.5,68.33333333333333,Wood,Plank,V4 Heritage Delamere,Price per SQM: £82.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Heritage Enbourne,WO97710VFX,V4,45.5,45.5,68.33333333333333,Wood,Plank,V4 Heritage Enbourne,Price per SQM: £82.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Heritage Grasmere,WO19171VFX,V4,45.5,45.5,68.33333333333333,Wood,Plank,V4 Heritage Grasmere,Price per SQM: £82.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Heritage Kingswood,WO93610VFX,V4,45.5,45.5,68.33333333333333,Wood,Plank,V4 Heritage Kingswood,Price per SQM: £82.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Heritage Lomond,WO34129VFX,V4,45.5,45.5,68.33333333333333,Wood,Plank,V4 Heritage Lomond,Price per SQM: £82.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Heritage Rockingham,WO67612VFX,V4,45.5,45.5,68.33333333333333,Wood,Plank,V4 Heritage Rockingham,Price per SQM: £82.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Heritage Toridan,WO71853VFX,V4,45.5,45.5,68.33333333333333,Wood,Plank,V4 Heritage Toridan,Price per SQM: £82.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
StripWall Panels Light Grey,WO64794VFX,V4,30.3,30.3,50.0,Wood,Cladding,V4 StripWall Panels Light Grey,Price per SQM: £60.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
StripWall Panels Natural Oak Light,WO32078VFX,V4,30.3,30.3,50.0,Wood,Cladding,V4 StripWall Panels Natural Oak Light,Price per SQM: £60.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
StripWall Panels Natutal Oak,WO36439VFX,V4,30.3,30.3,50.0,Wood,Cladding,V4 StripWall Panels Natutal Oak,Price per SQM: £60.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
StripWall Panels Solid Grey,WO68476VFX,V4,30.3,30.3,50.0,Wood,Cladding,V4 StripWall Panels Solid Grey,Price per SQM: £60.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
StripWall Panels Teak,WO21573VFX,V4,30.3,30.3,50.0,Wood,Cladding,V4 StripWall Panels Teak,Price per SQM: £60.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
StripWall Panels Walnut,WO15544VFX,V4,30.3,30.3,50.0,Wood,Cladding,V4 StripWall Panels Walnut,Price per SQM: £60.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
StripWall Panels Washy Grey,WO62967VFX,V4,30.3,30.3,50.0,Wood,Cladding,V4 StripWall Panels Washy Grey,Price per SQM: £60.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
StripWall Panels Washy Natural,WO89220VFX,V4,30.3,30.3,50.0,Wood,Cladding,V4 StripWall Panels Washy Natural,Price per SQM: £60.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Tundra Chevron Misty Grey,WO95621VFX,V4,61.05,61.05,85.83333333333334,Wood,Chevron,V4 Tundra Chevron Misty Grey,Price per SQM: £103.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Tundra Chevron Natural,WO36045VFX,V4,59.75,59.75,83.33333333333334,Wood,Chevron,V4 Tundra Chevron Natural,Price per SQM: £100.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Tundra Chevron Seashell,WO66013VFX,V4,61.05,61.05,85.83333333333334,Wood,Chevron,V4 Tundra Chevron Seashell,Price per SQM: £103.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Tundra Chevron Smoked,WO20441VFX,V4,70.35,70.35,98.33333333333334,Wood,Chevron,V4 Tundra Chevron Smoked,Price per SQM: £118.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Tundra Chevron Thermo,WO51598VFX,V4,65.7,65.7,91.66666666666666,Wood,Chevron,V4 Tundra Chevron Thermo,Price per SQM: £110.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Tundra Herringbone Misty Grey,WO93934VFX,V4,35.35,35.35,55.0,Wood,Herringbone,V4 Tundra Herringbone Misty Grey,Price per SQM: £66.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Tundra Herringbone Natural,WO14281VFX,V4,33.99,33.99,55.83333333333333,Wood,Herringbone,V4 Tundra Herringbone Natural,Price per SQM: £67.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Tundra Herringbone Seashell,WO24358VFX,V4,35.35,35.35,55.0,Wood,Herringbone,V4 Tundra Herringbone Seashell,Price per SQM: £66.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Tundra Herringbone Smoked,WO40437VFX,V4,41.95,41.95,63.33333333333333,Wood,Herringbone,V4 Tundra Herringbone Smoked,Price per SQM: £76.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Tundra Herringbone Thermo,WO64023VFX,V4,37.99,37.99,59.16666666666667,Wood,Herringbone,V4 Tundra Herringbone Thermo,Price per SQM: £71.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Tundra Plank Misty Grey,WO82587VFX,V4,59.6,59.6,83.33333333333334,Wood,Plank,V4 Tundra Plank Misty Grey,Price per SQM: £100.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Tundra Plank Natural,WO33031VFX,V4,57.75,57.75,80.83333333333334,Wood,Plank,V4 Tundra Plank Natural,Price per SQM: £97.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Tundra Plank Seashell,WO32205VFX,V4,59.6,59.6,83.33333333333334,Wood,Plank,V4 Tundra Plank Seashell,Price per SQM: £100.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Tundra Plank Smoked,WO90033VFX,V4,66.4,66.4,93.33333333333334,Wood,Plank,V4 Tundra Plank Smoked,Price per SQM: £112.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Tundra Plank Thermo,WO16957VFX,V4,63.6,63.6,89.16666666666666,Wood,Plank,V4 Tundra Plank Thermo,Price per SQM: £107.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Unfinished Herringbone,WO52803VFX,V4,33.5,33.5,55.0,Wood,Herringbone,V4 Unfinished Herringbone,Price per SQM: £66.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Unfinished Plank,WO12963VFX,V4,35.5,35.5,55.0,Wood,Plank,V4 Unfinished Plank,Price per SQM: £66.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Unfinished Versailles Panel,WO62203VFX,V4,54.0,54.0,75.83333333333333,Wood,Panel,V4 Unfinished Versailles Panel,Price per SQM: £91.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
