Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Bois Flotte – Tradition (Alto 139) 1017696,WO56818PAN,Panaget,46.52,46.52,70.0,Wood,Plank,Panaget Bois Flotte – Tradition (Alto 139) 1017696,Price per SQM: £84.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Café Crème - Authentic (Chevron 139) 1019822,WO17545PAN,Panaget,70.35,70.35,98.33333333333334,Wood,Chevron,Panaget Café Crème - Authentic (Chevron 139) 1019822,Price per SQM: £118.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Café Crème - Zenitude (Diva 139) 1019168,WO78263PAN,Panaget,37.65,37.65,58.33333333333333,Wood,Plank,Panaget Café Crème - Zenitude (Diva 139) 1019168,Price per SQM: £70.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Café Crème - Zenitude (Diva 184) 1019171,WO15293PAN,Panaget,52.75,52.75,74.16666666666667,Wood,Plank,Panaget Café Crème - Zenitude (Diva 184) 1019171,"Price per SQM: £89.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Café Crème - Zenitude (Sonate 140) 1019819,WO48625PAN,Panaget,57.43,57.43,80.0,Wood,Plank,Panaget Café Crème - Zenitude (Sonate 140) 1019819,Price per SQM: £96.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Carmen No 2 - Classic (Panel) 1005714,WO99957PAN,Panaget,94.1,94.1,122.5,Wood,Design Panel,Panaget Carmen No 2 - Classic (Panel) 1005714,Price per SQM: £147.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
Carmen No 5 - Classic (Panel) 1005712,WO63925PAN,Panaget,94.1,94.1,122.5,Wood,Design Panel,Panaget Carmen No 5 - Classic (Panel) 1005712,Price per SQM: £147.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Cuir - Authentic (Diva 184) 1014166,WO44955PAN,Panaget,56.1,56.1,78.33333333333333,Wood,Plank,Panaget Cuir - Authentic (Diva 184) 1014166,Price per SQM: £94.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Cuir - Authentic (Diva 184) 1014182,WO94576PAN,Panaget,77.23,77.23,108.33333333333334,Wood,Plank,Panaget Cuir - Authentic (Diva 184) 1014182,Price per SQM: £130.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Cuir - Origine (Diva 184) 1006550,WO73015PAN,Panaget,57.75,57.75,80.83333333333334,Wood,Plank,Panaget Cuir - Origine (Diva 184) 1006550,Price per SQM: £97.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
Fauve - Zenitude (Diva 139) 1019709,WO65687PAN,Panaget,40.85,40.85,61.66666666666667,Wood,Plank,Panaget Fauve - Zenitude (Diva 139) 1019709,Price per SQM: £74.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
Fauve - Zenitude (Diva 184) 1016472,WO39020PAN,Panaget,52.75,52.75,74.16666666666667,Wood,Plank,Panaget Fauve - Zenitude (Diva 184) 1016472,Price per SQM: £89.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Flamed Beech Cuivre (Diva 139) 1019714,WO60809PAN,Panaget,42.0,42.0,63.33333333333333,Wood,Plank,Panaget Flamed Beech Cuivre (Diva 139) 1019714,Price per SQM: £76.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Flamed Beech Satine (Diva 139) 1019711,WO42149PAN,Panaget,42.0,42.0,63.33333333333333,Wood,Plank,Panaget Flamed Beech Satine (Diva 139) 1019711,"Price per SQM: £76.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Flanelle - Authentic (Diva 184) 1014183,WO89103PAN,Panaget,77.23,77.23,108.33333333333334,Wood,Plank,Panaget Flanelle - Authentic (Diva 184) 1014183,Price per SQM: £130.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Flanelle - Zenitude (Diva 184) 1007324,WO49935PAN,Panaget,52.75,52.75,74.16666666666667,Wood,Plank,Panaget Flanelle - Zenitude (Diva 184) 1007324,Price per SQM: £89.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
Grey Oil - Zenitude (Diva 184) 1007332,WO66224PAN,Panaget,52.75,52.75,74.16666666666667,Wood,Plank,Panaget Grey Oil - Zenitude (Diva 184) 1007332,"Price per SQM: £89.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Habano - Classic/Authentic (Herringbone 90) 1016742,WO96565PAN,Panaget,44.2,44.2,66.66666666666667,Wood,Herringbone,Panaget Habano - Classic/Authentic (Herringbone 90) 1016742,Price per SQM: £80.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Linen - Authentic (Diva 139) 1000299,WO36594PAN,Panaget,40.15,40.15,60.0,Wood,Plank,Panaget Linen - Authentic (Diva 139) 1000299,Price per SQM: £72.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Linen - Classic (Diva 139) 1019702,WO98998PAN,Panaget,45.95,45.95,69.16666666666667,Wood,Plank,Panaget Linen - Classic (Diva 139) 1019702,Price per SQM: £83.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Linen - Classic/Authentic (Herringbone 90) 1005924,WO16279PAN,Panaget,44.2,44.2,66.66666666666667,Wood,Herringbone,Panaget Linen - Classic/Authentic (Herringbone 90) 1005924,Price per SQM: £80.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Linen - Zenitude (Diva 184) 1007314,WO44391PAN,Panaget,52.75,52.75,74.16666666666667,Wood,Plank,Panaget Linen - Zenitude (Diva 184) 1007314,"Price per SQM: £89.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Linen - Zenitude (Sonate 140) 1007268,WO40805PAN,Panaget,57.43,57.43,80.0,Wood,Plank,Panaget Linen - Zenitude (Sonate 140) 1007268,Price per SQM: £96.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Miel - Authentic (Diva 139 Click) 1019705,WO60706PAN,Panaget,41.4,41.4,62.5,Wood,Plank,Panaget Miel - Authentic (Diva 139 Click) 1019705,Price per SQM: £75.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Miel - Authentic (Diva 184) 1019170,WO21964PAN,Panaget,56.1,56.1,78.33333333333333,Wood,Plank,Panaget Miel - Authentic (Diva 184) 1019170,"Price per SQM: £94.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Natural Oil - Authentic (Sonate 90) 1000026,WO13133PAN,Panaget,60.54,60.54,85.0,Wood,Plank,Panaget Natural Oil - Authentic (Sonate 90) 1000026,Price per SQM: £102.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Natural Oil - Salvaggio (Diva 139) 1014172,WO99719PAN,Panaget,60.15,60.15,84.16666666666666,Wood,Plank,Panaget Natural Oil - Salvaggio (Diva 139) 1014172,"Price per SQM: £101.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Opale - Authentic (Diva 184) 1000060,WO94446PAN,Panaget,51.3,51.3,71.66666666666667,Wood,Plank,Panaget Opale - Authentic (Diva 184) 1000060,Price per SQM: £86.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Opale - Classic (Diva 139) 1006162,WO99698PAN,Panaget,45.95,45.95,69.16666666666667,Wood,Plank,Panaget Opale - Classic (Diva 139) 1006162,Price per SQM: £83.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Rafia - Zenitude (Diva 184) 1007325,WO19963PAN,Panaget,52.75,52.75,74.16666666666667,Wood,Plank,Panaget Rafia - Zenitude (Diva 184) 1007325,"Price per SQM: £89.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Sable - Authentic (Diva 223) 1017302,WO47556PAN,Panaget,72.85,72.85,101.66666666666666,Wood,Plank,Panaget Sable - Authentic (Diva 223) 1017302,Price per SQM: £122.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Sable - Origine (Diva 184) 1016635,WO74187PAN,Panaget,57.75,57.75,80.83333333333334,Wood,Plank,Panaget Sable - Origine (Diva 184) 1016635,Price per SQM: £97.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
Sable - Zenitude (Diva 139) 1016633,WO14989PAN,Panaget,48.0,48.0,71.66666666666667,Wood,Plank,Panaget Sable - Zenitude (Diva 139) 1016633,Price per SQM: £86.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Sable - Zenitude (Diva 139) 1017898,WO32944PAN,Panaget,37.65,37.65,58.33333333333333,Wood,Plank,Panaget Sable - Zenitude (Diva 139) 1017898,Price per SQM: £70.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Saphir - Authentic (Diva 139) 1019706,WO86817PAN,Panaget,41.4,41.4,62.5,Wood,Plank,Panaget Saphir - Authentic (Diva 139) 1019706,Price per SQM: £75.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Saphir - Authentic (Diva 184) 1000069,WO55092PAN,Panaget,56.1,56.1,78.33333333333333,Wood,Plank,Panaget Saphir - Authentic (Diva 184) 1000069,"Price per SQM: £94.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Satin - Authentic (Sonate 90) 1000027,WO89971PAN,Panaget,60.54,60.54,85.0,Wood,Plank,Panaget Satin - Authentic (Sonate 90) 1000027,Price per SQM: £102.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Satin - Classic (Diva 139) 1005748,WO33441PAN,Panaget,68.0,68.0,95.0,Wood,Plank,Panaget Satin - Classic (Diva 139) 1005748,Price per SQM: £114.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Satin - Classic (Diva 90) 1005768,WO35992PAN,Panaget,48.0,48.0,71.66666666666667,Wood,Plank,Panaget Satin - Classic (Diva 90) 1005768,Price per SQM: £86.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Shabi Chaux - Zenitude (Alto 139) 1017702,WO83439PAN,Panaget,46.52,46.52,70.0,Wood,Plank,Panaget Shabi Chaux - Zenitude (Alto 139) 1017702,Price per SQM: £84.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Topaze - Authentic (Diva 139) 1000297,WO47702PAN,Panaget,45.45,45.45,68.33333333333333,Wood,Plank,Panaget Topaze - Authentic (Diva 139) 1000297,Price per SQM: £82.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Topaze - Authentic (Diva 184) 1000070,WO78511PAN,Panaget,56.1,56.1,78.33333333333333,Wood,Plank,Panaget Topaze - Authentic (Diva 184) 1000070,Price per SQM: £94.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
Topaze - Authentic (Diva 223) 1016986,WO37940PAN,Panaget,72.85,72.85,101.66666666666666,Wood,Plank,Panaget Topaze - Authentic (Diva 223) 1016986,Price per SQM: £122.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Topaze - Authentic (Herringbone 139) 1016618,WO46287PAN,Panaget,58.9,58.9,82.5,Wood,Herringbone,Panaget Topaze - Authentic (Herringbone 139) 1016618,Price per SQM: £99.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
