Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Harlech Raw Oak (190),WO48596WOO,Woodpecker,49.0,49.0,73.33333333333333,Wood,Plank,Woodpecker Harlech Raw Oak (190),"Price per SQM: £88.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Harlech Raw Oak (240),WO75497WOO,Woodpecker,60.5,60.5,85.0,Wood,Plank,Woodpecker Harlech Raw Oak (240),"Price per SQM: £102.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Harlech Rustic Oak (Oiled) (150),WO42981WOO,Woodpecker,45.0,45.0,67.5,Wood,Plank,Woodpecker Harlech Rustic Oak (Oiled) (150),"Price per SQM: £81.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Harlech Rustic Oak (Oiled) (190),WO28372WOO,Woodpecker,47.0,47.0,70.83333333333333,Wood,Plank,Woodpecker Harlech Rustic Oak (Oiled) (190),"Price per SQM: £85.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Harlech Rustic Oak (Oiled) (240),WO20881WOO,Woodpecker,59.0,59.0,82.5,Wood,Plank,Woodpecker Harlech Rustic Oak (Oiled) (240),Price per SQM: £99.00 inc VAT; Locations: None; Data synced from Rakata
Harlech Rustic Oak (Brushed & Lacq.) (150),WO18297WOO,Woodpecker,45.0,45.0,67.5,Wood,Plank,Woodpecker Harlech Rustic Oak (Brushed & Lacq.) (150),"Price per SQM: £81.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Harlech Rustic Oak (Brushed & Lacq.) (190),WO53653WOO,Woodpecker,47.0,47.0,70.83333333333333,Wood,Plank,Woodpecker Harlech Rustic Oak (Brushed & Lacq.) (190),Price per SQM: £85.00 inc VAT; Locations: None; Data synced from Rakata
Harlech Rustic Oak (Brushed & Lacq.) (240),WO85462WOO,Woodpecker,59.0,59.0,82.5,Wood,Plank,Woodpecker Harlech Rustic Oak (Brushed & Lacq.) (240),"Price per SQM: £99.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Harlech Select Oak (Oiled),WO43461WOO,Woodpecker,63.5,63.5,89.16666666666666,Wood,Plank,Woodpecker Harlech Select Oak (Oiled),"Price per SQM: £107.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Harlech Select Oak (Lacq.),WO95378WOO,Woodpecker,63.5,63.5,89.16666666666666,Wood,Plank,Woodpecker Harlech Select Oak (Lacq.),"Price per SQM: £107.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
