Description,Part Number,Manufacturer,Supplier,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Standard Door Bar - Gold - Double (2715 mm),AN23478CAT,CAT,Ballister,5.04,5.04,17.5,Ancillaries,Profile,Ballister CAT Standard Door Bar - Gold - Double (2715 mm),Data synced from Rakata
CAT Solid Brass - Satin Brass - Z-Section (900 mm),AN23767CAT,CAT,Ballister,29.61,29.61,54.17,Ancillaries,Profile,Ballister CAT CAT Solid Brass - Satin Brass - Z-Section (900 mm),Data synced from Rakata
Feline Z Profile - Satin Chrome (900 mm),AN24976CAT,CAT,Ballister,41.27,41.27,52.08,Ancillaries,Profile,Ballister CAT Feline Z Profile - Satin Chrome (900 mm),Data synced from Rakata
AR3 SF 3mm Ramp - Pewter (900 mm),AN24984CAT,CAT,Ballister,9.33,9.33,35.0,Ancillaries,Profile,Ballister CAT AR3 SF 3mm Ramp - Pewter (900 mm),Data synced from Rakata
CAT Designer Home - Onyx - Double (A/9/2) (900 mm),AN25045CAT,CAT,Ballister,15.47,15.47,24.17,Ancillaries,Profile,Ballister CAT CAT Designer Home - Onyx - Double (A/9/2) (900 mm),Data synced from Rakata
Standard Door Bar - Gold - Z-Section (2715 mm),AN27914CAT,CAT,Ballister,5.04,5.04,17.5,Ancillaries,Profile,Ballister CAT Standard Door Bar - Gold - Z-Section (2715 mm),Data synced from Rakata
CAT Designer Home - Satin - Single (ANF) (900 mm),AN27943CAT,CAT,Ballister,10.01,10.01,24.17,Ancillaries,Profile,Ballister CAT CAT Designer Home - Satin - Single (ANF) (900 mm),Data synced from Rakata
CAT Designer Home - Onyx - Double (A/9/2) (2715 mm),AN28266CAT,CAT,Ballister,46.44,46.44,65.83,Ancillaries,Profile,Ballister CAT CAT Designer Home - Onyx - Double (A/9/2) (2715 mm),Data synced from Rakata
CAT Designer Home - Satin - Z-Section (A/10) (2715 mm),AN28311CAT,CAT,Ballister,41.54,41.54,65.83,Ancillaries,Profile,Ballister CAT CAT Designer Home - Satin - Z-Section (A/10) (2715 mm),Data synced from Rakata
Feline Z Profile - Antique Bronze (900 mm),AN28481CAT,CAT,Ballister,29.08,29.08,52.08,Ancillaries,Profile,Ballister CAT Feline Z Profile - Antique Bronze (900 mm),Data synced from Rakata
AC38 SF Cover Plate - Brushed Stainless (900 mm),AN28744CAT,CAT,Ballister,9.99,9.99,35.0,Ancillaries,Profile,Ballister CAT AC38 SF Cover Plate - Brushed Stainless (900 mm),Data synced from Rakata
CAT Designer Home - Bright - Double (A/9/2) (900 mm),AN29213CAT,CAT,Ballister,15.47,15.47,24.17,Ancillaries,Profile,Ballister CAT CAT Designer Home - Bright - Double (A/9/2) (900 mm),Data synced from Rakata
AR6 SF 6mm Ramp - Piano Black (900 mm),AN29913CAT,CAT,Ballister,9.33,9.33,35.0,Ancillaries,Profile,Ballister CAT AR6 SF 6mm Ramp - Piano Black (900 mm),Data synced from Rakata
CAT Solid Brass - Polished Brass - Single (900 mm),AN29999CAT,CAT,Ballister,15.86,15.86,37.5,Ancillaries,Profile,Ballister CAT CAT Solid Brass - Polished Brass - Single (900 mm),Data synced from Rakata
CAT Designer Home - Bronze - Single (ANF) (2715 mm),AN30144CAT,CAT,Ballister,30.02,30.02,65.83,Ancillaries,Profile,Ballister CAT CAT Designer Home - Bronze - Single (ANF) (2715 mm),Data synced from Rakata
AR6 SF 6mm Ramp - Designer Satin (2715 mm),AN30216CAT,CAT,Ballister,28.01,28.01,87.5,Ancillaries,Profile,Ballister CAT AR6 SF 6mm Ramp - Designer Satin (2715 mm),Data synced from Rakata
CAT Designer Home - Brushed Stainless - Single (ANF) (2715 mm),AN30721CAT,CAT,Ballister,30.02,30.02,65.83,Ancillaries,Profile,Ballister CAT CAT Designer Home - Brushed Stainless - Single (ANF) (2715 mm),Data synced from Rakata
AR6 SF 6mm Ramp - Brushed Stainless (900 mm),AN30725CAT,CAT,Ballister,9.33,9.33,35.0,Ancillaries,Profile,Ballister CAT AR6 SF 6mm Ramp - Brushed Stainless (900 mm),Data synced from Rakata
AR3 SF 3mm Ramp - Light Bronze (900 mm),AN31192CAT,CAT,Ballister,9.33,9.33,35.0,Ancillaries,Profile,Ballister CAT AR3 SF 3mm Ramp - Light Bronze (900 mm),Data synced from Rakata
Standard Door Bar - Silver - Single (2715 mm),AN35845CAT,CAT,Ballister,5.04,5.04,17.5,Ancillaries,Profile,Ballister CAT Standard Door Bar - Silver - Single (2715 mm),Data synced from Rakata
Feline Double Profile - Chrome (900 mm),AN36197CAT,CAT,Ballister,41.37,41.37,52.08,Ancillaries,Profile,Ballister CAT Feline Double Profile - Chrome (900 mm),Data synced from Rakata
CAT Designer Home - Bright - Double (A/9/2) (2715 mm),AN37826CAT,CAT,Ballister,46.44,46.44,65.83,Ancillaries,Profile,Ballister CAT CAT Designer Home - Bright - Double (A/9/2) (2715 mm),Data synced from Rakata
AR6 SF 6mm Ramp - Piano Black (2715 mm),AN38362CAT,CAT,Ballister,28.01,28.01,87.5,Ancillaries,Profile,Ballister CAT AR6 SF 6mm Ramp - Piano Black (2715 mm),Data synced from Rakata
AR3 SF 3mm Ramp - Pewter (2715 mm),AN39920CAT,CAT,Ballister,28.01,28.01,87.5,Ancillaries,Profile,Ballister CAT AR3 SF 3mm Ramp - Pewter (2715 mm),Data synced from Rakata
CAT Solid Brass - Satin Brass - Single (2715 mm),AN40618CAT,CAT,Ballister,47.57,47.57,104.17,Ancillaries,Profile,Ballister CAT CAT Solid Brass - Satin Brass - Single (2715 mm),Data synced from Rakata
AR3 SF 3mm Ramp - Onyx (2715 mm),AN40693CAT,CAT,Ballister,28.01,28.01,87.5,Ancillaries,Profile,Ballister CAT AR3 SF 3mm Ramp - Onyx (2715 mm),Data synced from Rakata
CAT Solid Brass - Antique Brass - Single (900 mm),AN41801CAT,CAT,Ballister,15.97,15.97,37.5,Ancillaries,Profile,Ballister CAT CAT Solid Brass - Antique Brass - Single (900 mm),Data synced from Rakata
AR3 SF 3mm Ramp - Bronze (2715 mm),AN41858CAT,CAT,Ballister,28.01,28.01,87.5,Ancillaries,Profile,Ballister CAT AR3 SF 3mm Ramp - Bronze (2715 mm),Data synced from Rakata
FAB 1 Twin Top Single Leg Carpet Trim - Chrome (900 mm),AN42015CAT,CAT,Ballister,16.44,16.44,45.83,Ancillaries,Profile,Ballister CAT FAB 1 Twin Top Single Leg Carpet Trim - Chrome (900 mm),Data synced from Rakata
CAT Designer Home - Bright - Z-Section (A/10) (900 mm),AN42291CAT,CAT,Ballister,13.84,13.84,24.17,Ancillaries,Profile,Ballister CAT CAT Designer Home - Bright - Z-Section (A/10) (900 mm),Data synced from Rakata
CAT Designer Home - Bronze - Double (A/9/2) (2715 mm),AN43072CAT,CAT,Ballister,46.44,46.44,65.83,Ancillaries,Profile,Ballister CAT CAT Designer Home - Bronze - Double (A/9/2) (2715 mm),Data synced from Rakata
CAT Designer Home - Onyx - Z-Section (A/10) (2715 mm),AN44913CAT,CAT,Ballister,41.54,41.54,65.83,Ancillaries,Profile,Ballister CAT CAT Designer Home - Onyx - Z-Section (A/10) (2715 mm),Data synced from Rakata
Standard Door Bar - Silver - Z-Section (2715 mm),AN45097CAT,CAT,Ballister,5.04,5.04,17.5,Ancillaries,Profile,Ballister CAT Standard Door Bar - Silver - Z-Section (2715 mm),Data synced from Rakata
CAT Solid Brass - Antique Brass - Double (900 mm),AN46120CAT,CAT,Ballister,33.75,33.75,54.17,Ancillaries,Profile,Ballister CAT CAT Solid Brass - Antique Brass - Double (900 mm),Data synced from Rakata
FAB 1 Twin Top Single Leg Carpet Trim - Antique Bronze (900 mm),AN46229CAT,CAT,Ballister,13.46,13.46,45.83,Ancillaries,Profile,Ballister CAT FAB 1 Twin Top Single Leg Carpet Trim - Antique Bronze (900 mm),Data synced from Rakata
Standard Door Bar - Gold - Single (900 mm),AN47770CAT,CAT,Ballister,1.92,1.92,6.67,Ancillaries,Profile,Ballister CAT Standard Door Bar - Gold - Single (900 mm),Data synced from Rakata
CAT Designer Home - Satin - Single (ANF) (2715 mm),AN51078CAT,CAT,Ballister,30.02,30.02,65.83,Ancillaries,Profile,Ballister CAT CAT Designer Home - Satin - Single (ANF) (2715 mm),Data synced from Rakata
Standard Door Bar - Silver - Double (900 mm),AN51148CAT,CAT,Ballister,1.92,1.92,6.67,Ancillaries,Profile,Ballister CAT Standard Door Bar - Silver - Double (900 mm),Data synced from Rakata
CAT Solid Brass - Antique Brass -  Z-Section (900 mm),AN51408CAT,CAT,Ballister,30.83,30.83,54.17,Ancillaries,Profile,Ballister CAT CAT Solid Brass - Antique Brass -  Z-Section (900 mm),Data synced from Rakata
AR6 SF 6mm Ramp - Brushed Stainless (2715 mm),AN52153CAT,CAT,Ballister,28.01,28.01,87.5,Ancillaries,Profile,Ballister CAT AR6 SF 6mm Ramp - Brushed Stainless (2715 mm),Data synced from Rakata
CAT Designer Home - Bright - Z-Section (A/10) (2715 mm),AN52892CAT,CAT,Ballister,41.54,41.54,65.83,Ancillaries,Profile,Ballister CAT CAT Designer Home - Bright - Z-Section (A/10) (2715 mm),Data synced from Rakata
CAT Designer Home - Satin - Double (A/9/2) (900 mm),AN54913CAT,CAT,Ballister,15.47,15.47,24.17,Ancillaries,Profile,Ballister CAT CAT Designer Home - Satin - Double (A/9/2) (900 mm),Data synced from Rakata
Feline BNF Single Profile - Satin Chrome (900 mm),AN54983CAT,CAT,Ballister,23.66,23.66,40.83,Ancillaries,Profile,Ballister CAT Feline BNF Single Profile - Satin Chrome (900 mm),Data synced from Rakata
CAT Designer Home - Pewter - Z-Section (A/10) (2715 mm),AN55690CAT,CAT,Ballister,41.54,41.54,65.83,Ancillaries,Profile,Ballister CAT CAT Designer Home - Pewter - Z-Section (A/10) (2715 mm),Data synced from Rakata
FAB 2 Twin Top / Double Leg Carpet Trim - Satin Brass (900 mm),AN55887CAT,CAT,Ballister,14.89,14.89,45.83,Ancillaries,Profile,Ballister CAT FAB 2 Twin Top / Double Leg Carpet Trim - Satin Brass (900 mm),Data synced from Rakata
AR6 SF 6mm Ramp - Onyx (900 mm),AN57296CAT,CAT,Ballister,9.33,9.33,35.0,Ancillaries,Profile,Ballister CAT AR6 SF 6mm Ramp - Onyx (900 mm),Data synced from Rakata
CAT Solid Brass - Satin Brass - Double (2715 mm),AN58072CAT,CAT,Ballister,87.16,87.16,145.83,Ancillaries,Profile,Ballister CAT CAT Solid Brass - Satin Brass - Double (2715 mm),Data synced from Rakata
CAT Designer Home - Onyx - Z-Section (A/10) (900 mm),AN58234CAT,CAT,Ballister,13.84,13.84,24.17,Ancillaries,Profile,Ballister CAT CAT Designer Home - Onyx - Z-Section (A/10) (900 mm),Data synced from Rakata
CAT Solid Brass - Polished Brass - Double (2715 mm),AN58918CAT,CAT,Ballister,87.16,87.16,145.83,Ancillaries,Profile,Ballister CAT CAT Solid Brass - Polished Brass - Double (2715 mm),Data synced from Rakata
AC38 SF Cover Plate - Designer Satin (900 mm),AN59190CAT,CAT,Ballister,9.99,9.99,35.0,Ancillaries,Profile,Ballister CAT AC38 SF Cover Plate - Designer Satin (900 mm),Data synced from Rakata
CAT Solid Brass - Polished Brass - Single (2715 mm),AN59359CAT,CAT,Ballister,47.57,47.57,104.17,Ancillaries,Profile,Ballister CAT CAT Solid Brass - Polished Brass - Single (2715 mm),Data synced from Rakata
FAB 1 Twin Top Single Leg Carpet Trim - Satin Brass (900 mm),AN59520CAT,CAT,Ballister,13.46,13.46,45.83,Ancillaries,Profile,Ballister CAT FAB 1 Twin Top Single Leg Carpet Trim - Satin Brass (900 mm),Data synced from Rakata
CAT Designer Home - Light Bronze - Z-Section (A/10) (2715 mm),AN60438CAT,CAT,Ballister,41.54,41.54,65.83,Ancillaries,Profile,Ballister CAT CAT Designer Home - Light Bronze - Z-Section (A/10) (2715 mm),Data synced from Rakata
Standard Door Bar - Silver - Z-Section (900 mm),AN61875CAT,CAT,Ballister,1.92,1.92,6.67,Ancillaries,Profile,Ballister CAT Standard Door Bar - Silver - Z-Section (900 mm),Data synced from Rakata
AR6 SF 6mm Ramp - Bronze (2715 mm),AN62720CAT,CAT,Ballister,28.01,28.01,87.5,Ancillaries,Profile,Ballister CAT AR6 SF 6mm Ramp - Bronze (2715 mm),Data synced from Rakata
CAT Solid Brass - Polished Brass -  Z-Section (2715 mm),AN63401CAT,CAT,Ballister,86.76,86.76,145.83,Ancillaries,Profile,Ballister CAT CAT Solid Brass - Polished Brass -  Z-Section (2715 mm),Data synced from Rakata
Standard Door Bar - Silver - Double (2715 mm),AN63745CAT,CAT,Ballister,5.04,5.04,17.5,Ancillaries,Profile,Ballister CAT Standard Door Bar - Silver - Double (2715 mm),Data synced from Rakata
Standard Door Bar - Silver - Single (900 mm),AN64455CAT,CAT,Ballister,1.92,1.92,6.67,Ancillaries,Profile,Ballister CAT Standard Door Bar - Silver - Single (900 mm),Data synced from Rakata
FAB 1 Twin Top Single Leg Carpet Trim - Satin Chrome (900 mm),AN64605CAT,CAT,Ballister,16.44,16.44,45.83,Ancillaries,Profile,Ballister CAT FAB 1 Twin Top Single Leg Carpet Trim - Satin Chrome (900 mm),Data synced from Rakata
CAT Designer Home - Brushed Stainless - Double (A/9/2) (2715 mm),AN65076CAT,CAT,Ballister,46.44,46.44,65.83,Ancillaries,Profile,Ballister CAT CAT Designer Home - Brushed Stainless - Double (A/9/2) (2715 mm),Data synced from Rakata
FAB 2 Twin Top / Double Leg Carpet Trim - Polished Brass (900 mm),AN65169CAT,CAT,Ballister,14.89,14.89,45.83,Ancillaries,Profile,Ballister CAT FAB 2 Twin Top / Double Leg Carpet Trim - Polished Brass (900 mm),Data synced from Rakata
CAT Designer Home - Onyx - Single (ANF) (2715 mm),AN66646CAT,CAT,Ballister,30.02,30.02,65.83,Ancillaries,Profile,Ballister CAT CAT Designer Home - Onyx - Single (ANF) (2715 mm),Data synced from Rakata
FAB 1 Twin Top Single Leg Carpet Trim - Antique Brass (900 mm),AN66648CAT,CAT,Ballister,13.46,13.46,45.83,Ancillaries,Profile,Ballister CAT FAB 1 Twin Top Single Leg Carpet Trim - Antique Brass (900 mm),Data synced from Rakata
CAT Solid Brass - Polished Brass - Double (900 mm),AN67309CAT,CAT,Ballister,31.75,31.75,54.17,Ancillaries,Profile,Ballister CAT CAT Solid Brass - Polished Brass - Double (900 mm),Data synced from Rakata
