Description,Part Number,Manufacturer,Supplier,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Universal LVT Adhesive (1 L),AN48992HAR,Harvey Maria,Harvey Maria,9.3,9.3,13.29,Ancillaries,Adhesive,Harvey Maria Harvey Maria Universal LVT Adhesive (1 L),Data synced from Rakata
Universal LVT Adhesive (5 L),AN97835HAR,Harvey Maria,Harvey Maria,24.5,24.5,35.0,Ancillaries,Adhesive,Harvey Maria Harvey Maria Universal LVT Adhesive (5 L),Data synced from Rakata
Universal LVT Adhesive (2.5 L),AN10992HAR,Harvey Maria,Harvey Maria,15.2,15.2,21.67,Ancillaries,Adhesive,Harvey Maria Harvey Maria Universal LVT Adhesive (2.5 L),Data synced from Rakata
