Description,Part Number,Manufacturer,Supplier,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Lamett PG MS Adhesive (15kg),AN55266LAM,Lamett,Lamett,57.9,57.9,162.5,Ancillaries,Adhesive,Lamett Lamett Lamett PG MS Adhesive (15kg),Data synced from Rakata
ParquetVinyl Master Care,AN93976LAM,Lamett,Lamett,9.78,9.78,20.83,Ancillaries,Maintenance,Lamett Lamett ParquetVinyl Master Care,Data synced from Rakata
Lamett Universal Maintenance Kit (White Oiled),AN31697LAM,Lamett,Lamett,18.22,18.22,37.5,Ancillaries,Maintenance,Lamett Lamett Lamett Universal Maintenance Kit (White Oiled),Data synced from Rakata
Lamett Universal Maintenance Kit (Oiled),AN16094LAM,Lamett,Lamett,18.22,18.22,37.5,Ancillaries,Maintenance,Lamett Lamett Lamett Universal Maintenance Kit (Oiled),Data synced from Rakata
Lamett Universal Maintenance Kit (Lacquered),AN27249LAM,Lamett,Lamett,17.93,17.93,37.5,Ancillaries,Maintenance,Lamett Lamett Lamett Universal Maintenance Kit (Lacquered),Data synced from Rakata
Lamett Unfinished 3-in-1 Profile (2.15 M),AN73645LAM,Lamett,Lamett,15.27,15.27,40.83,Ancillaries,Profile,Lamett Lamett Lamett Unfinished 3-in-1 Profile (2.15 M),Data synced from Rakata
Lamett Matching 3-in-1 Profile (2.15 M),AN30002LAM,Lamett,Lamett,25.82,25.82,65.83,Ancillaries,Profile,Lamett Lamett Lamett Matching 3-in-1 Profile (2.15 M),Data synced from Rakata
