SKU,Product,Manufacturer,Category,Type,Thickness,Pack Quantity,Species,Finish,Width,Length,Cost ex VAT,Sell ex VAT,Sell inc VAT,Twickenham,Richmond,Discontinued?,Show on Website?
WO35589PAR,Classic 3025 - Oak Soft Texture 1744846,Parador,Wood,Plank,13/2.5,3.663,European Oak,Oil,2200,185,38.70,62.50,75.00,,✓,,Yes
WO54207PAR,Classic 3025 - Oak White Natural Oil 1744853,Parador,Wood,Plank,13/2.5,3.663,European Oak,Oil,2200,185,36.72,61.67,74.00,,✓,,Yes
WO85242PAR,Classic 3060 - Graphite 3-Strip 1739901,Parador,Wood,Plank,13/3.6,3.663,European Oak,Oil,2200,185,25.35,50.00,60.00,,✓,,Yes
WO93824PAR,Classic 3060 - Indian Breeze 1744434,Parador,Wood,Plank,13/3.6,3.663,European Oak,Lacquer,2200,185,86.47,120.83,145.00,,✓,,Yes
WO58768PAR,Classic 3060 - Oak 3-Strip 1247126,Parador,Wood,Plank,13/3.6,3.663,European Oak,Lacquer,2200,185,24.99,49.17,59.00,,✓,,Yes
WO97693PAR,Classic 3060 - Oak Brushed & Natural Oil 1739910,Parador,Wood,Plank,13/3.6,3.663,European Oak,Oil,2200,185,36.86,60.00,72.00,,✓,,Yes
WO48778PAR,Classic 3060 - Oak Pure 1739912,Parador,Wood,Plank,13/3.6,3.663,European Oak,Oil,2200,185,36.86,60.00,72.00,,✓,,Yes
WO35313PAR,Classic 3060 - Oak Smoked 1518242,Parador,Wood,Plank,13/3.6,3.663,European Oak,Lacquer,2200,185,50.75,75.83,91.00,,✓,,Yes
WO61251PAR,Classic 3060 - Oak Soft Texture 1739902,Parador,Wood,Plank,13/3.6,3.663,European Oak,Oil,2200,185,36.69,61.67,74.00,,✓,,Yes
WO65243PAR,Classic 3060 - Oak White 1518128,Parador,Wood,Plank,13/3.6,3.663,European Oak,Oil,2200,185,38.08,61.67,74.00,,✓,,Yes
WO95455PAR,Classic 3060 - Sanded Extra Matt 1744433,Parador,Wood,Plank,13/3.6,3.663,European Oak,Lacquer,2200,185,44.48,71.67,86.00,,✓,,Yes
WO85513PAR,Classic 3060 - Thermo Oak 1739924,Parador,Wood,Plank,13/3.6,3.663,European Oak,Oil,2200,185,50.96,75.83,91.00,,✓,,Yes
WO37770PAR,Trendtime 3 (Herringbone) - Black 1601584,Parador,Wood,Herringbone,10.5/2.5,1.083,European Oak,Lacquer,570,95,44.19,70.83,85.00,,✓,,Yes
WO13996PAR,Trendtime 3 (Herringbone) - Castle Extra Matt 1744422,Parador,Wood,Herringbone,10.5/2.5,1.083,European Oak,Lacquer,570,95,44.19,70.83,85.00,,✓,,Yes
WO87654PAR,Trendtime 3 (Herringbone) - Chalet Extra Matt 1744423,Parador,Wood,Herringbone,10.5/2.5,1.083,European Oak,Lacquer,570,95,44.19,70.83,85.00,,✓,,Yes
WO59748PAR,Trendtime 3 (Herringbone) - Nougat 1739933,Parador,Wood,Herringbone,10.5/2.5,1.083,European Oak,Lacquer,570,95,44.19,70.83,85.00,,✓,,Yes
WO97263PAR,Trendtime 3 (Herringbone) - Oak Cream 1739932,Parador,Wood,Herringbone,10.5/2.5,1.083,European Oak,Lacquer,570,95,44.19,70.83,85.00,,✓,,Yes
WO38690PAR,Trendtime 3 (Herringbone) - Oak Matt 1601582,Parador,Wood,Herringbone,10.5/2.5,1.083,European Oak,Lacquer,570,95,43.54,70.00,84.00,,✓,,Yes
WO80284PAR,Trendtime 3 (Herringbone) - Oak Natural Oil 1739935,Parador,Wood,Herringbone,10.5/2.5,1.083,European Oak,Oil,570,95,44.19,70.83,85.00,,✓,,Yes
WO58036PAR,Trendtime 3 (Herringbone) - Oak Pure 1601580,Parador,Wood,Herringbone,10.5/2.5,1.083,European Oak,Lacquer,570,95,43.54,70.00,84.00,,✓,,Yes
WO67729PAR,Trendtime 3 (Herringbone) - Oak Smoked 1744419,Parador,Wood,Herringbone,10.5/2.5,1.083,European Oak,Lacquer,570,95,48.83,72.50,87.00,,✓,,Yes
WO17279PAR,Trendtime 3 (Herringbone) - Walnut 1743195,Parador,Wood,Herringbone,10.5/2.5,1.083,American Walnut,Lacquer,570,95,57.75,85.00,102.00,,✓,,Yes
WO45983PAR,Trendtime 4 - Askada Extra Matt 1744426,Parador,Wood,Plank,13/3.6,2.894,European Oak,Lacquer,160,2010,40.13,65.00,78.00,,✓,,Yes
WO19732PAR,Trendtime 4 - Castle Extra Matt 1744425,Parador,Wood,Plank,13/3.6,2.894,European Oak,Lacquer,160,2010,40.13,65.00,78.00,,✓,,Yes
WO12123PAR,Trendtime 4 - Chalet Extra Matt 1744427,Parador,Wood,Plank,13/3.6,2.894,European Oak,Lacquer,160,2010,40.13,65.00,78.00,,✓,,Yes
WO86088PAR,Trendtime 4 - Nougat 1739938,Parador,Wood,Plank,13/3.6,2.894,European Oak,Lacquer,160,2010,40.13,65.00,78.00,,✓,,Yes
WO44870PAR,Trendtime 4 - Oak Cream 1739937,Parador,Wood,Plank,13/3.6,2.894,European Oak,Lacquer,160,2010,40.13,65.00,78.00,,✓,,Yes
WO78742PAR,Trendtime 4 - Walnut Antique 1518200,Parador,Wood,Plank,13/3.6,2.894,American Walnut,Lacquer,160,2010,71.78,105.00,126.00,,✓,,Yes
WO83554PAR,Trendtime 4 - Walnut Matt 1257369,Parador,Wood,Plank,13/3.6,2.894,American Walnut,Lacquer,160,2010,81.60,114.17,137.00,,✓,,Yes
WO84219PAR,Trendtime 6 - Beech White Sawn 1739940,Parador,Wood,Plank,13/3.6,3.663,Beech,Lacquer,185,2200,28.88,53.33,64.00,,✓,,Yes
WO28696PAR,Trendtime 6 - Maple 3-Strip Vintage Sawn 1744428,Parador,Wood,Plank,13/3.6,3.663,Maple,Lacquer,185,2200,24.99,49.17,59.00,,✓,,Yes
WO84087PAR,Trendtime 6 - Noir Sawn 1739943,Parador,Wood,Plank,13/3.6,3.663,European Oak,Oil,185,2200,44.55,71.67,86.00,,✓,,Yes
WO42824PAR,Trendtime 8 - Elephant Skin 1739952,Parador,Wood,Plank,15/4.0,2.861,European Oak,Oil,190,1882,43.48,70.00,84.00,,✓,,Yes
WO65782PAR,Trendtime 8 - Handscraped & Brushed 1739953,Parador,Wood,Plank,15/4.0,2.861,European Oak,Oil,190,1882,42.44,68.33,82.00,,✓,,Yes
WO49160PAR,Trendtime 8 - Limed Handcrafted 1739950,Parador,Wood,Plank,14/3.0,3.218,European Oak,Oil,190,1882,36.65,61.67,74.00,,✓,,Yes
WO68083PAR,Trendtime 8 - Multiplank 1744429,Parador,Wood,Plank,15/4.0,2.861,European Oak,Oil,190,1882,43.48,70.00,84.00,,✓,,Yes
WO86852PAR,Trendtime 8 - Natural Oil Handcrafted 1739944,Parador,Wood,Plank,14/3.0,3.218,European Oak,Oil,190,1882,36.65,61.67,74.00,,✓,,Yes
WO79651PAR,Trendtime 8 - Pinot Loft Plank 1744430,Parador,Wood,Plank,15/4.0,2.861,European Oak,Oil,190,1882,43.48,70.00,84.00,,✓,,Yes
WO32931PAR,Trendtime 8 - Smoked Elephant Skin 1739954,Parador,Wood,Plank,15/4.0,2.861,European Oak,Oil,190,1882,47.17,70.83,85.00,,✓,,Yes
WO70582PAR,Trendtime 8 - Smoked Grey Handcrafted 1739951,Parador,Wood,Plank,14/3.0,3.218,European Oak,Oil,190,1882,37.49,60.83,73.00,,✓,,Yes
WO23978PAR,Trendtime 8 - Smoked Handscraped 1739955,Parador,Wood,Plank,15/4.0,2.861,European Oak,Oil,190,1882,45.45,73.33,88.00,,✓,,Yes
WO14785PAR,Trendtime 8 - Smoked Natural Oil 1739945,Parador,Wood,Plank,14/3.0,3.218,European Oak,Oil,190,1882,37.49,60.83,73.00,,✓,,Yes
WO25683PAR,Trendtime 8 - Smoked Stone Handcrafted 1744432,Parador,Wood,Plank,14/3.0,3.218,European Oak,Oil,190,1882,37.49,60.83,73.00,,✓,,Yes
WO72228PAR,Trendtime 8 - Smoked Trre Plank 1739956,Parador,Wood,Plank,15/4.0,2.861,European Oak,Oil,190,1882,47.35,70.83,85.00,,✓,,Yes
WO34247PAR,Trendtime 8 - Tree Plank 1739957,Parador,Wood,Plank,15/4.0,2.861,European Oak,Oil,190,1882,43.48,70.00,84.00,,✓,,Yes
WO14044PAR,Trendtime 8 - White Oil Handscraped 1739959,Parador,Wood,Plank,15/4.0,2.861,European Oak,Oil,190,1882,42.96,69.17,83.00,,✓,,Yes
WO93390STA,Asphalt Grey Oil (180),Staki,Wood,Plank,15/4,2.59,European Oak,Oil,180,2000 – 2400,58.15,79.17,95.00,,,,
WO60261STA,Asphalt Grey Oil (220),Staki,Wood,Plank,20/6,2.11,European Oak,Oil,220,2000 – 2400,68.16,90.83,109.00,Yes,,,
WO93210STA,Brushed & Basalt Oil (180),Staki,Wood,Plank,15/4,2.59,European Oak,Oil,180,2000 – 2400,51.05,71.67,86.00,,,,
WO70399STA,Brushed & Basalt Oil (220),Staki,Wood,Plank,20/6,2.11,European Oak,Oil,220,2000 – 2400,61.07,81.67,98.00,Yes,,,
WO80279STA,Blanc Oil (180),Staki,Wood,Plank,15/4,2.59,European Oak,Oil,180,2000 – 2400,49.42,70.83,85.00,,,,
WO82490STA,Blanc Oil (220),Staki,Wood,Plank,20/6,2.11,European Oak,Oil,220,2000 – 2400,59.42,80.83,97.00,Yes,,,
WO60875STA,BP Lacquered (180),Staki,Wood,Plank,15/4,2.59,European Oak,Oil,180,2000 – 2400,49.96,70.83,85.00,,,,
WO18557STA,BP Lacquered (220),Staki,Wood,Plank,20/6,2.11,European Oak,Oil,220,2000 – 2400,59.97,80.83,97.00,Yes,,,
WO22752STA,Cuba Lacquered (180),Staki,Wood,Plank,15/4,2.59,European Oak,Oil,180,2000 – 2400,52.15,72.50,87.00,,,,
WO98207STA,Cuba Lacquered (220),Staki,Wood,Plank,20/6,2.11,European Oak,Oil,220,2000 – 2400,62.16,85.00,102.00,Yes,,,
WO62884STA,Grey Stone Oil (180),Staki,Wood,Plank,15/4,2.59,European Oak,Oil,180,2000 – 2400,53.79,74.17,89.00,,,,
WO36299STA,Grey Stone Oil (220),Staki,Wood,Plank,20/6,2.11,European Oak,Oil,220,2000 – 2400,63.79,85.83,103.00,Yes,,,
WO85322STA,Oak Natural Oil (180),Staki,Wood,Plank,15/4,2.59,European Oak,Oil,180,2000 – 2400,48.87,69.17,83.00,,,,
WO44228STA,Oak Natural Oil (220),Staki,Wood,Plank,20/6,2.11,European Oak,Oil,220,2000 – 2400,58.88,80.00,96.00,Yes,,,
WO86114STA,Smoked & Oiled (180),Staki,Wood,Plank,15/4,2.59,European Oak,Oil,180,2000 – 2400,51.05,71.67,86.00,,,,
WO80362STA,Smoked & Oiled (220),Staki,Wood,Plank,20/6,2.11,European Oak,Oil,220,2000 – 2400,61.07,82.50,99.00,Yes,,,
WO94611STA,Tobacco Oil (180),Staki,Wood,Plank,15/4,2.59,European Oak,Oil,180,2000 – 2400,55.42,76.67,92.00,,,,
WO91371STA,Tobacco Oil (220),Staki,Wood,Plank,20/6,2.11,European Oak,Oil,220,2000 – 2400,65.43,87.50,105.00,Yes,,,
WO95414STA,Walnut Oil (180),Staki,Wood,Plank,15/4,2.59,European Oak,Oil,180,2000 – 2400,49.42,70.00,84.00,Yes,,,
WO84048STA,Walnut Oil (220),Staki,Wood,Plank,20/6,2.11,European Oak,Oil,220,2000 – 2400,59.42,80.00,96.00,,,,
WO66710STA,Brushed & White Oil (180),Staki,Wood,Plank,15/4,2.59,European Oak,Oil,180,2000 – 2400,51.05,71.67,86.00,,,,
WO85810STA,Brushed & White Oil (220),Staki,Wood,Plank,20/6,2.11,European Oak,Oil,220,2000 – 2400,61.07,82.50,99.00,Yes,,,
WO22814STA,Ebony Oil (180),Staki,Wood,Plank,15/4,2.59,European Oak,Oil,180,2000 – 2400,49.42,70.00,84.00,,,,
WO24894STA,Ebony Oil (220),Staki,Wood,Plank,20/6,2.11,European Oak,Oil,220,2000 – 2400,59.42,80.83,97.00,,,,
WO11760STA,Rosewood Oil (180),Staki,Wood,Plank,15/4,2.59,European Oak,Oil,180,2000 – 2400,49.42,70.00,84.00,,,,
WO31622STA,Rosewood Oil (220),Staki,Wood,Plank,20/6,2.11,European Oak,Oil,220,2000 – 2400,59.42,80.00,96.00,,,,
WO42740STA,Unfinished (180),Staki,Wood,Plank,15/4,2.59,European Oak,Unfinished,180,2000 – 2400,44.51,65.00,78.00,,,,
WO57840STA,Unfinished (220),Staki,Wood,Plank,20/6,2.11,European Oak,Unfinished,220,2000 – 2400,49.42,70.00,84.00,,,,
WO75456TED,Glenariff Herringbone (70 mm),Ted Todd,Wood,Herringbone,10.00,1.72,European Oak,Lacquer,70.00,490,34.64,57.50,69.00,Yes,,,Yes
WO51060TED,Selborne Extra Wide Plank (220 mm),Ted Todd,Wood,Plank,20.00,1.00,European Oak,Lacquer,220.00,2400,85.30,115.00,138.00,,Yes,,Yes
WO46865TED,Kielder Herringbone (100 mm),Ted Todd,Wood,Herringbone,20.00,0.90,European Oak,Oil,100.00,500,71.98,100.83,121.00,Yes,,,Yes
WO72096TED,Kielder Plank (220 mm),Ted Todd,Wood,Plank,20.00,1.45,European Oak,Oil,220.00,2200,69.30,96.67,116.00,Yes,,,Yes
WO38387TED,Arundel Herringbone (90 mm),Ted Todd,Wood,Herringbone,20.00,1.66,European Oak,Oil,90.00,540,63.98,89.17,107.00,Yes,,,Yes
WO90991TED,Arundel Plank (190 mm),Ted Todd,Wood,Plank,20.00,2.17,European Oak,Oil,190.00,1900,58.64,82.50,99.00,Yes,,,Yes
WO68987TED,Attingham Herringbone (90 mm),Ted Todd,Wood,Herringbone,20.00,0.78,European Oak,Oil,90.00,360,60.24,84.17,101.00,Yes,,,Yes
WO56210TED,Attingham Plank (220 mm),Ted Todd,Wood,Plank,20.00,1.94,European Oak,Oil,220.00,2200,58.64,82.50,99.00,Yes,,,Yes
WO47933TED,Bembridge Herringbone (90 mm),Ted Todd,Wood,Herringbone,20.00,0.78,European Oak,Oil,90.00,360,60.24,84.17,101.00,Yes,,,Yes
WO75586TED,Bembridge Plank (220 mm),Ted Todd,Wood,Plank,20.00,1.94,European Oak,Oil,220.00,2200,58.64,82.50,99.00,Yes,,,Yes
WO67533TED,Dunham Plank (190 mm),Ted Todd,Wood,Plank,20.00,2.17,European Oak,Oil,190.00,1900,66.64,93.33,112.00,,Yes,,Yes
WO92008TED,Holton Plank (220 mm),Ted Todd,Wood,Plank,20.00,2.42,European Oak,Oil,220.00,2200,74.64,104.17,125.00,,Yes,,Yes
WO97117TED,Netley Herringbone (90 mm),Ted Todd,Wood,Herringbone,20.00,0.78,European Oak,Oil,90.00,360,60.24,84.17,101.00,Yes,,,Yes
WO11680TED,Netley Plank (220 mm),Ted Todd,Wood,Plank,20.00,1.94,European Oak,Oil,220.00,2200,58.64,82.50,99.00,Yes,,,Yes
WO34593TED,Standen Herringbone (90 mm),Ted Todd,Wood,Herringbone,20.00,1.17,European Oak,Oil,90.00,540,63.98,89.17,107.00,Yes,,,Yes
WO40733TED,Standen Plank (190 mm),Ted Todd,Wood,Plank,20.00,2.17,European Oak,Oil,190.00,1900,58.64,82.50,99.00,Yes,,,Yes
WO81506TED,Swinley Herringbone (90 mm),Ted Todd,Wood,Herringbone,20.00,0.78,European Oak,Oil,90.00,360,60.24,84.17,101.00,Yes,,,Yes
WO88273TED,Swinley Plank (220 mm),Ted Todd,Wood,Plank,20.00,1.94,European Oak,Oil,220.00,2200,58.64,82.50,99.00,Yes,,,Yes
WO68477TED,Sheringham Plank (220 mm),Ted Todd,Wood,Plank,20.00,2.17,European Oak,Oil,220.00,2200,66.64,93.33,112.00,,Yes,,Yes
WO81254TED,Cashmere Chevron (90 mm),Ted Todd,Wood,Chevron,15.00,0.52,European Oak,Oil,90.00,480,61.30,85.83,103.00,Yes,Yes,,Yes
WO42422TED,Cashmere Herringbone (127 mm),Ted Todd,Wood,Herringbone,15.00,0.39,European Oak,Oil,127.00,508,55.98,78.33,94.00,Yes,Yes,,Yes
WO76155TED,Cashmere Plank (180 mm),Ted Todd,Wood,Plank,15.00,2.38,European Oak,Oil,180.00,2200,50.64,70.83,85.00,Yes,Yes,,Yes
WO40446TED,Cortado Herringbone (127 mm),Ted Todd,Wood,Herringbone,15.00,0.39,European Oak,Oil,127.00,508,55.98,78.33,94.00,Yes,,,Yes
WO49518TED,Cortado Plank (180 mm),Ted Todd,Wood,Plank,15.00,2.38,European Oak,Oil,180.00,2200,53.30,75.00,90.00,Yes,Yes,,Yes
WO68419TED,Fawn Chevron (90 mm),Ted Todd,Wood,Chevron,15.00,0.52,European Oak,Oil,90.00,480,61.30,85.83,103.00,,Yes,,Yes
WO65624TED,Fawn Herringbone (127 mm),Ted Todd,Wood,Herringbone,15.00,0.39,European Oak,Oil,127.00,508,55.98,78.33,94.00,Yes,Yes,,Yes
WO84012TED,Fawn Plank (180 mm),Ted Todd,Wood,Plank,15.00,2.38,European Oak,Oil,180.00,2200,50.64,70.83,85.00,Yes,Yes,,Yes
WO47829TED,Jute Chevron (90 mm),Ted Todd,Wood,Chevron,15.00,0.52,European Oak,Oil,90.00,480,61.30,85.83,103.00,Yes,,,Yes
WO99076TED,Jute Herringbone (127 mm),Ted Todd,Wood,Herringbone,15.00,0.39,European Oak,Oil,127.00,508,58.64,82.50,99.00,Yes,Yes,,Yes
WO14329TED,Jute Plank (180 mm),Ted Todd,Wood,Plank,15.00,2.38,European Oak,Oil,180.00,2200,50.66,70.83,85.00,Yes,Yes,,Yes
WO38056TED,Liquorice Herringbone (127 mm),Ted Todd,Wood,Herringbone,15.00,0.39,European Oak,Oil,127.00,508,53.30,75.00,90.00,Yes,Yes,,Yes
WO35939TED,Liquorice Plank (180 mm),Ted Todd,Wood,Plank,15.00,2.38,European Oak,Oil,180.00,2200,45.30,68.33,82.00,Yes,Yes,,Yes
WO47863TED,Paperback Herringbone (127 mm),Ted Todd,Wood,Herringbone,15.00,0.39,European Oak,Oil,127.00,508,55.98,78.33,94.00,Yes,Yes,,Yes
WO69740TED,Paperback Plank (180 mm),Ted Todd,Wood,Plank,15.00,2.38,European Oak,Oil,180.00,2200,50.64,70.83,85.00,Yes,Yes,,Yes
WO59071TED,Sandbank Chevron (90 mm),Ted Todd,Wood,Chevron,15.00,0.52,European Oak,Oil,90.00,480,61.30,85.83,103.00,,Yes,,Yes
WO74211TED,Sandbank Herringbone (127 mm),Ted Todd,Wood,Herringbone,15.00,0.39,European Oak,Oil,127.00,508,55.98,78.33,94.00,Yes,Yes,,Yes
WO68927TED,Sandbank Plank (180mm),Ted Todd,Wood,Plank,15.00,2.38,European Oak,Oil,180.00,2200,50.64,70.83,85.00,,Yes,,Yes
WO14232TED,Satchel Herringbone (127 mm),Ted Todd,Wood,Herringbone,15.00,0.39,European Oak,Oil,127.00,508,47.98,71.67,86.00,Yes,Yes,,Yes
WO64529TED,Satchel Plank (180 mm),Ted Todd,Wood,Plank,15.00,2.38,European Oak,Oil,180.00,2200,45.30,68.33,82.00,,Yes,,Yes
WO24351TED,Smoke Chevron (90 mm),Ted Todd,Wood,Chevron,15.00,0.52,European Oak,Oil,90.00,480,61.30,85.83,103.00,Yes,Yes,,Yes
WO45919TED,Smoke Herringbone (127 mm),Ted Todd,Wood,Herringbone,15.00,0.39,European Oak,Oil,127.00,508,58.64,82.50,99.00,Yes,Yes,,Yes
WO27314TED,Smoke Plank (180 mm),Ted Todd,Wood,Plank,15.00,2.38,European Oak,Oil,180.00,2200,53.30,75.00,90.00,,Yes,,Yes
WO23072TED,Stonewash Chevron (90 mm),Ted Todd,Wood,Chevron,15.00,0.52,European Oak,Oil,90.00,480,61.30,85.83,103.00,,Yes,,Yes
WO11980TED,Stonewash Herringbone (127 mm),Ted Todd,Wood,Herringbone,15.00,0.39,European Oak,Oil,127.00,508,53.30,75.00,90.00,Yes,,,Yes
WO82672TED,Stonewash Plank (180 mm),Ted Todd,Wood,Plank,15.00,2.38,European Oak,Oil,180.00,2200,48.00,71.67,86.00,,Yes,,Yes
WO12926TED,Alabaster Plank (190 mm),Ted Todd,Wood,Plank,14.00,2.89,European Oak,Oil,190.00,1900,38.90,60.00,72.00,Yes,,,Yes
WO14698TED,Almond Narrow Plank (150 mm) [Max 1.2 M Long],Ted Todd,Wood,Plank,14.00,1.44,European Oak,Oil,150.00,1200,28.24,49.17,59.00,,,,
WO46862TED,Almond Herringbone (90 mm),Ted Todd,Wood,Herringbone,14.00,1.30,European Oak,Oil,90.00,450,39.98,61.67,74.00,Yes,Yes,,Yes
WO55663TED,Almond Plank (190 mm),Ted Todd,Wood,Plank,14.00,2.89,European Oak,Oil,190.00,1900,34.64,57.50,69.00,Yes,Yes,,Yes
WO93885TED,Almond Extra Wide Plank (260 mm),Ted Todd,Wood,Plank,15.00,3.43,European Oak,Oil,260.00,2200,53.30,75.00,90.00,Yes,Yes,,Yes
WO40237TED,Brindle Narrow Plank (150 mm) [Max 1.2 M Long],Ted Todd,Wood,Plank,14.00,1.44,European Oak,Oil,150.00,1200,29.30,51.67,62.00,,,,
WO76374TED,Brindle Plank (190 mm),Ted Todd,Wood,Plank,14.00,1.44,European Oak,Oil,190.00,1900,39.98,61.67,74.00,,,,Yes
WO63466TED,Brindle Herringbone (90 mm),Ted Todd,Wood,Herringbone,14.00,1.30,European Oak,Oil,90.00,450,42.64,64.17,77.00,,,,Yes
WO72056TED,Brindle Extra Wide Plank (260 mm),Ted Todd,Wood,Plank,15.00,3.43,European Oak,Oil,260.00,2200,55.98,78.33,94.00,,,,Yes
WO15016TED,Bourne Plank (190 mm),Ted Todd,Wood,Plank,14.00,2.89,European Oak,Oil,190.00,1900,37.30,57.50,69.00,Yes,Yes,,Yes
WO30962TED,Calico Narrow Plank (150 mm) [Max 1.2 M Long],Ted Todd,Wood,Plank,14.00,1.44,European Oak,Oil,150.00,1200,28.24,49.17,59.00,,,,
WO54636TED,Calico Herringbone (90 mm),Ted Todd,Wood,Herringbone,14.00,1.30,European Oak,Oil,90.00,450,41.58,62.50,75.00,Yes,Yes,,
WO97374TED,Calico Plank (190 mm),Ted Todd,Wood,Plank,14.00,2.89,European Oak,Oil,190.00,1900,36.24,55.83,67.00,Yes,Yes,,Yes
WO23165TED,Calico Extra Wide Plank (260 mm),Ted Todd,Wood,Plank,15.00,3.43,European Oak,Oil,260.00,2200,53.30,75.00,90.00,Yes,Yes,,Yes
WO56964TED,Caramel Herringbone (90 mm),Ted Todd,Wood,Herringbone,14.00,1.30,European Oak,Oil,90.00,450,41.60,62.50,75.00,Yes,Yes,,Yes
WO44956TED,Caramel Plank (190 mm),Ted Todd,Wood,Plank,14.00,2.89,European Oak,Oil,190.00,1900,38.90,60.00,72.00,Yes,Yes,,Yes
WO86609TED,Creech Plank (190 mm),Ted Todd,Wood,Plank,14.00,2.89,European Oak,Oil,190.00,1900,37.30,57.50,69.00,Yes,,,Yes
WO73838TED,Haling Plank (Prime) (Absolute Matt Lacq.) (190 mm) ,Ted Todd,Wood,Plank,14.00,2.89,European Oak,Matt Lacquer,190.00,1900,47.98,71.67,86.00,,,,Yes
WO25969TED,Kennet Narrow Plank (150 mm) [Max 1.2 M Long],Ted Todd,Wood,Plank,14.00,1.44,European Oak,Oil,150.00,1200,28.24,49.17,59.00,,,,
WO31877TED,Kennet Herringbone (90 mm),Ted Todd,Wood,Herringbone,14.00,1.30,European Oak,Oil,90.00,450,41.58,62.50,75.00,Yes,,,Yes
WO17099TED,Kennet Plank (190 mm),Ted Todd,Wood,Plank,14.00,2.89,European Oak,Oil,190.00,1900,38.90,60.00,72.00,Yes,Yes,,Yes
WO21889TED,Kinsley Plank (190 mm),Ted Todd,Wood,Plank,14.00,2.89,European Oak,Oil,190.00,1900,38.90,60.00,72.00,Yes,Yes,,Yes
WO71343TED,Linton Plank (Absolute Matt Lacquer) (190 mm) ,Ted Todd,Wood,Plank,14.00,2.89,European Oak,Matt Lacquer,190.00,1900,37.30,57.50,69.00,,,,Yes
WO54511TED,Ollerton Herringbone (90 mm),Ted Todd,Wood,Herringbone,14.00,2.89,European Oak,Oil,90.00,450,41.58,62.50,75.00,Yes,Yes,,Yes
WO25996TED,Ollerton Plank (190 mm),Ted Todd,Wood,Plank,14.00,2.89,European Oak,Oil,190.00,1900,38.90,60.00,72.00,Yes,Yes,,Yes
WO42324TED,Petworth Narrow Plank (150 mm) [Max 1.2 M Long],Ted Todd,Wood,Plank,14.00,1.44,European Oak,Oil,150.00,1200,29.30,51.67,62.00,,,,
WO55706TED,Petworth Herringbone (90 mm),Ted Todd,Wood,Herringbone,14.00,1.30,European Oak,Oil,90.00,450,41.58,62.50,75.00,Yes,Yes,,Yes
WO76622TED,Petworth Plank (190 mm),Ted Todd,Wood,Plank,14.00,2.89,European Oak,Oil,190.00,1900,39.98,61.67,74.00,Yes,,,Yes
WO41684TED,Petworth Extra Wide Plank (260 mm),Ted Todd,Wood,Plank,15.00,3.43,European Oak,Oil,260.00,2200,54.90,76.67,92.00,Yes,Yes,,Yes
WO87221TED,Porcelain Plank (190 mm),Ted Todd,Wood,Plank,14.00,2.89,European Oak,Oil,190.00,1900,37.30,57.50,69.00,Yes,Yes,,Yes
WO78962TED,Ryhill Plank (190 mm),Ted Todd,Wood,Plank,14.00,2.89,European Oak,Oil,190.00,1900,42.64,64.17,77.00,,,,Yes
WO53629TED,Ryhill Herringbone (90 mm),Ted Todd,Wood,Herringbone,14.00,1.30,European Oak,Oil,90.00,450,44.24,66.67,80.00,,,,Yes
WO69655TED,Ryhill Extra Wide Plank (260 mm),Ted Todd,Wood,Plank,15.00,3.43,European Oak,Oil,260.00,2200,58.64,82.50,99.00,,,,Yes
WO51896TED,Tattenhall Herringbone (90 mm),Ted Todd,Wood,Herringbone,14.00,1.30,European Oak,Oil,90.00,450,41.58,62.50,75.00,Yes,Yes,,Yes
WO58003TED,Tattenhall Plank (190 mm),Ted Todd,Wood,Plank,14.00,2.89,European Oak,Oil,190.00,1900,39.98,61.67,74.00,Yes,Yes,,Yes
WO85664TED,Tattenhall Extra Wide Plank (260 mm),Ted Todd,Wood,Plank,15.00,3.43,European Oak,Oil,260.00,2200,54.90,76.67,92.00,Yes,Yes,,Yes
WO21793TED,Clevedon Herringbone (90 mm),Ted Todd,Wood,Herringbone,14.00,1.30,European Oak,Oil,90.00,450,29.95,52.50,63.00,Yes,Yes,,Yes
WO87938TED,Clevedon Plank (190 mm),Ted Todd,Wood,Plank,14.00,2.89,European Oak,Oil,190.00,1900,28.95,49.17,59.00,Yes,Yes,,Yes
WO44786TED,Torelli Herringbone (100 mm),Ted Todd,Wood,Herringbone,20.00,0.90,European Oak,Satin Lacquer,100.00,500,63.98,89.17,107.00,Yes,,,Yes
WO74685TED,Torelli Plank (180 mm),Ted Todd,Wood,Plank,20.00,1.00,European Oak,Satin Lacquer,180.00,2200,58.64,82.50,99.00,Yes,,,Yes
WO43101TED,Darwin Plank (Morado) (135 mm),Ted Todd,Wood,Plank,19.00,1.00,Morado,Satin Lacquer,135.00,1400,117.30,152.50,183.00,,Yes,,Yes
WO67197TED,Birnham Narrow Plank (135 mm),Ted Todd,Wood,Plank,19.00,1.70,Tajibo,Satin Lacquer,135.00,1400,101.30,131.67,158.00,,Yes,,Yes
WO43923TED,Blackmuir Unfinished Extra Wide Plank (220 mm),Ted Todd,Wood,Plank,20.00,2.09,American Walnut,Unfinished,220.00,1860,79.98,111.67,134.00,,Yes,,Yes
WO33013TED,Ibis Douglas Fir Extra Wide Plank (260 mm),Ted Todd,Wood,Plank,30.00,1.00,Douglas Fir,Satin Lacquer,260.00,600 – 3000,105.56,137.50,165.00,,Yes,,Yes
