SKU,Product,Manufacturer,Category,Type,Thickness,Pack Quantity,Species,Finish,Width,Length,Cost ex VAT,Sell ex VAT,Sell inc VAT,Twickenham,Richmond,Discontinued?,Show on Website?
WO39043LAM,Country Smoked Coffee,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,37.21,57.50,69.00,Yes,Yes,,Yes
WO18883LAM,Country Smoked Grey,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,37.21,57.50,69.00,Yes,Yes,,Yes
WO94406LAM,Country Smoked Natural,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,37.21,57.50,69.00,Yes,Yes,,Yes
WO36561LAM,Country Smoked White,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,37.21,57.50,69.00,Yes,Yes,,Yes
WO55968LAM,Country White,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,37.21,57.50,69.00,,Yes,,Yes
WO15099LAM,Farm Antique,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,46.64,70.00,84.00,Yes,Yes,,Yes
WO38068LAM,Farm Harvest,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,46.64,70.00,84.00,Yes,Yes,,Yes
WO56937LAM,Farm Herringbone Antique,Lamett,Wood,Herringbone,15/3,1.25,European Oak,Oil,125,625,56.95,80.00,96.00,Yes,Yes,,Yes
WO57968LAM,Farm Herringbone Old Church,Lamett,Wood,Herringbone,15/3,1.25,European Oak,Oil,125,625,56.95,80.00,96.00,Yes,Yes,,Yes
WO70668LAM,Farm Herringbone Pure,Lamett,Wood,Herringbone,15/3,1.25,European Oak,Oil,125,625,56.95,80.00,96.00,,Yes,,Yes
WO17207LAM,Farm Herringbone Traditions,Lamett,Wood,Herringbone,15/3,1.25,European Oak,Oil,125,625,56.95,80.00,96.00,Yes,Yes,,Yes
WO81827LAM,Farm Herringbone White,Lamett,Wood,Herringbone,15/3,1.25,European Oak,Oil,125,625,56.95,80.00,96.00,,Yes,,Yes
WO93436LAM,Farm Old Church,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,46.64,70.00,84.00,Yes,Yes,,Yes
WO21150LAM,Farm Pure,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,46.64,70.00,84.00,Yes,Yes,,Yes
WO55351LAM,Farm Traditions,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,46.64,70.00,84.00,Yes,Yes,,Yes
WO48149LAM,Farm White,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,46.64,70.00,84.00,Yes,Yes,,Yes
WO19488LAM,New York Coffee,Lamett,Wood,Plank,14/3.5,2.12,European Oak,Lacquer,190,630 - 1860,54.23,75.83,91.00,Yes,,,Yes
WO46820LAM,New York Natural,Lamett,Wood,Plank,14/3.5,2.12,European Oak,Lacquer,190,630 - 1860,54.23,75.83,91.00,Yes,,,Yes
WO77772LAM,New York Pure Plus,Lamett,Wood,Plank,14/3.5,2.12,European Oak,Lacquer,190,630 - 1860,54.23,75.83,91.00,Yes,,,Yes
WO16146LAM,New York Skyline,Lamett,Wood,Plank,14/3.5,2.12,European Oak,Lacquer,190,630 - 1860,54.23,75.83,91.00,Yes,,,Yes
WO43964LAM,New York Sunset,Lamett,Wood,Plank,14/3.5,2.12,European Oak,Lacquer,190,630 - 1860,54.23,75.83,91.00,Yes,,,Yes
WO68589LAM,New York Wheat,Lamett,Wood,Plank,14/3.5,2.12,European Oak,Lacquer,190,630 - 1860,54.23,75.83,91.00,Yes,,,Yes
WO98198LAM,Oslo 150 Mont Blanc,Lamett,Wood,Plank,15/3,2.232,European Oak,Oil,150,630 - 1860,38.47,60.00,72.00,,Yes,,Yes
WO90370LAM,Oslo 150 Natural,Lamett,Wood,Plank,15/3,2.232,European Oak,Oil,150,630 - 1860,38.47,60.00,72.00,,Yes,,Yes
WO65008LAM,Oslo 150 Pure,Lamett,Wood,Plank,15/3,2.232,European Oak,Oil,150,630 - 1860,38.47,60.00,72.00,,Yes,,Yes
WO53483LAM,Oslo 190 Authentic Brown,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,630 - 1860,49.58,74.17,89.00,Yes,,,Yes
