Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Premium Woods Lamp Wood,RE62599HAR,Harvey Maria,20.15,20.15,33.25,Vinyl,LVT,Harvey Maria Premium Woods Lamp Wood  Zinc,Price per SQM: £39.90 inc VAT; Locations: None
Premium Woods Lamp Wood Parquet,RE77844HAR,Harvey Maria,20.15,20.15,33.25,Vinyl,LVT,Harvey Maria Premium Woods Lamp Wood Parquet  Zinc,Price per SQM: £39.90 inc VAT; Locations: None
Premium Woods Limed Oak,RE76939HAR,Harvey Maria,20.15,20.15,33.25,Vinyl,LVT,Harvey Maria Premium Woods Limed Oak  Zinc,Price per SQM: £39.90 inc VAT; Locations: None
Premium Woods Limed Oak Parquet,RE66951HAR,Harvey Maria,20.15,20.15,33.25,Vinyl,LVT,Harvey Maria Premium Woods Limed Oak Parquet  Zinc,Price per SQM: £39.90 inc VAT; Locations: None
Premium Woods Natural Oak,RE84141HAR,Harvey Maria,20.15,20.15,33.25,Vinyl,LVT,Harvey Maria Premium Woods Natural Oak  Zinc,Price per SQM: £39.90 inc VAT; Locations: None
Premium Woods Pecan,RE39163HAR,Harvey Maria,20.15,20.15,33.25,Vinyl,LVT,Harvey Maria Premium Woods Pecan  Zinc,Price per SQM: £39.90 inc VAT; Locations: None
Premium Woods Portobello Oak,RE25797HAR,Harvey Maria,20.15,20.15,33.25,Vinyl,LVT,Harvey Maria Premium Woods Portobello Oak  Zinc,Price per SQM: £39.90 inc VAT; Locations: None
Premium Woods Reclaimed Pine,RE56117HAR,Harvey Maria,20.15,20.15,33.25,Vinyl,LVT,Harvey Maria Premium Woods Reclaimed Pine  Zinc,Price per SQM: £39.90 inc VAT; Locations: None
Premium Woods Sawn Oak,RE76650HAR,Harvey Maria,20.15,20.15,33.25,Vinyl,LVT,Harvey Maria Premium Woods Sawn Oak  Zinc,Price per SQM: £39.90 inc VAT; Locations: None
Premium Woods Scrubbed Pecan,RE88331HAR,Harvey Maria,20.15,20.15,33.25,Vinyl,LVT,Harvey Maria Premium Woods Scrubbed Pecan  Zinc,Price per SQM: £39.90 inc VAT; Locations: None
Premium Woods Sussex Oak,RE33576HAR,Harvey Maria,20.15,20.15,33.25,Vinyl,LVT,Harvey Maria Premium Woods Sussex Oak  Zinc,Price per SQM: £39.90 inc VAT; Locations: None
Premium Woods Sussex Oak Parquet,RE22531HAR,Harvey Maria,20.15,20.15,33.25,Vinyl,LVT,Harvey Maria Premium Woods Sussex Oak Parquet  Zinc,Price per SQM: £39.90 inc VAT; Locations: None
Premium Woods Walnut,RE57402HAR,Harvey Maria,20.15,20.15,33.25,Vinyl,LVT,Harvey Maria Premium Woods Walnut  Zinc,Price per SQM: £39.90 inc VAT; Locations: None
