Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Signature Standard Aged Oak,RE51865AMT-04F0A,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard Aged Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Alpine Oak,RE51865AMT-4C05A,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Alpine Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard American Oak,RE51865AMT-990D6,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  American Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Antique Wood,RE51865AMT-94009,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Antique Wood,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Ashdown Oak,RE51865AMT-ECFE4,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Ashdown Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Aspen Oak,RE51865AMT-579A7,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Aspen Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Basilica Salt,RE51865AMT-7009E,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Basilica Salt,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Basilica Shell,RE51865AMT-DD4C4,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Basilica Shell,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Berkswell Stone,RE51865AMT-0D39C,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Berkswell Stone,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Berwick Oak,RE51865AMT-EA15D,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Berwick Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Bianca Classic Marble,RE51865AMT-D2584,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Bianca Classic Marble,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Black Burnished Metal,RE51865AMT-4C2AC,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Black Burnished Metal,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Blockley Stone,RE51865AMT-BC464,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Blockley Stone,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Blonde Oak,RE51865AMT-A6C18,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Blonde Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Bordeaux Oak,RE51865AMT-C4D05,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Bordeaux Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Brushed Oak,RE51865AMT-B00DB,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Brushed Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Buckingham Oak,RE51865AMT-08C02,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Buckingham Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Buxton Oak,RE51865AMT-D635B,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Buxton Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Chargot Oak,RE51865AMT-970C9,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Chargot Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Chateau Oak,RE51865AMT-E2469,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Chateau Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Chatham Concrete,RE51865AMT-FC7A7,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Chatham Concrete,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Chiltern Oak,RE51865AMT-A80BD,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Chiltern Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Classic Oak,RE51865AMT-B910D,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Classic Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Classic Walnut,RE51865AMT-4BBCB,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Classic Walnut,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Clowes Oak,RE51865AMT-FA4E4,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Clowes Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Coombe Stone,RE51865AMT-1D10D,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Coombe Stone,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Cornish Oak,RE51865AMT-870FE,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Cornish Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Crema Marfil,RE51865AMT-D18A2,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Crema Marfil,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Cumbrian Slate,RE51865AMT-63897,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Cumbrian Slate,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Dark Walnut,RE51865AMT-5C35B,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Dark Walnut,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Darley Oak,RE51865AMT-97209,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Darley Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Deptford Concrete,RE51865AMT-7BAC0,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Deptford Concrete,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Diffusion Aloe,RE51865AMT-44D5F,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Diffusion Aloe,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Diffusion Cashew,RE51865AMT-1247A,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Diffusion Cashew,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Diffusion Chambray,RE51865AMT-6FE80,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Diffusion Chambray,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Diffusion Eve,RE51865AMT-F9526,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Diffusion Eve,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Diffusion Husk,RE51865AMT-01897,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Diffusion Husk,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Diffusion Loam,RE51865AMT-1E26B,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Diffusion Loam,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Diffusion Lux,RE51865AMT-6C4A5,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Diffusion Lux,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Diffusion Malt,RE51865AMT-229EA,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Diffusion Malt,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Dockland Oak,RE51865AMT-AEA5C,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Dockland Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Dry Teak,RE51865AMT-57DFD,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Dry Teak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Dublin,RE51865AMT-C4A26,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Dublin,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Encaustic Jasper,RE51865AMT-85B9D,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Encaustic Jasper,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Encaustic Kyanite,RE51865AMT-7FC33,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Encaustic Kyanite,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Encaustic Okra,RE51865AMT-62D7B,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Encaustic Okra,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Encaustic Storm,RE51865AMT-7A276,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Encaustic Storm,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Exposed Concrete,RE51865AMT-0A02B,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Exposed Concrete,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Farmhouse Oak,RE51865AMT-558E5,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Farmhouse Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard French Oak,RE51865AMT-AE24C,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  French Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Fresh Oak,RE51865AMT-6C1F0,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Fresh Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Friston Oak,RE51865AMT-CFB9B,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Friston Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Fumed Oak,RE51865AMT-C8827,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Fumed Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Fused Birch,RE51865AMT-B7ADB,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Fused Birch,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Glint Orb,RE51865AMT-515FA,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Glint Orb,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Glint Void,RE51865AMT-9BA31,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Glint Void,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Golden Oak,RE51865AMT-6BC2F,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Golden Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Graphite Slate,RE51865AMT-24AB9,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Graphite Slate,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Grey Burnished Metal,RE51865AMT-68330,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Grey Burnished Metal,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Grigio Classic Marble,RE51865AMT-85006,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Grigio Classic Marble,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Grizedale Oak,RE51865AMT-632D6,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Grizedale Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Hackfall Oak,RE51865AMT-11E28,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Hackfall Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Halo Pine,RE51865AMT-31E3C,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Halo Pine,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Hamsterley Oak,RE51865AMT-EE066,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Hamsterley Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Harbour Pine,RE51865AMT-CDA2D,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Harbour Pine,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Helsinki,RE51865AMT-98DC7,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Helsinki,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Henley Oak,RE51865AMT-73869,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Henley Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Honed Limestone Natural,RE51865AMT-D4E84,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Honed Limestone Natural,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Ilmington Stone,RE51865AMT-44701,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Ilmington Stone,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Kentmere Slate,RE51865AMT-FE428,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Kentmere Slate,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Kirby Oak,RE51865AMT-430C9,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Kirby Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Kura Anise,RE51865AMT-32B40,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Kura Anise,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Kura Caraway,RE51865AMT-9E816,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Kura Caraway,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Kura Kala,RE51865AMT-63B22,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Kura Kala,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Kura Opium,RE51865AMT-251D1,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Kura Opium,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Laughton Oak,RE51865AMT-01CF3,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Laughton Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Light Cherry,RE51865AMT-99091,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Light Cherry,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Lime Washed Wood,RE51865AMT-5966A,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Lime Washed Wood,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Lock Oak,RE51865AMT-0162A,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Lock Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Malvern Oak,RE51865AMT-2488A,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Malvern Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Manor Oak,RE51865AMT-6EE41,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Manor Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Marlow Oak,RE51865AMT-BE803,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Marlow Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Marrakech,RE51865AMT-EB732,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Marrakech,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Merbau,RE51865AMT-0ADB9,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Merbau,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Mirabelle Creme,RE51865AMT-CE75E,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Mirabelle Creme,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Modernist Frame,RE51865AMT-09BD7,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Modernist Frame,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Modernist Spire,RE51865AMT-0FC16,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Modernist Spire,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Modernist Vault,RE51865AMT-C9FD5,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Modernist Vault,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Napoli,RE51865AMT-5FE88,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Napoli,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Natural Limed Wood,RE51865AMT-9DF7A,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Natural Limed Wood,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Nero Classic Marble,RE51865AMT-CC977,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Nero Classic Marble,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Nomad Oak,RE51865AMT-A0F41,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Nomad Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Onyx Marble,RE51865AMT-22F1D,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Onyx Marble,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Packwood Stone,RE51865AMT-462E9,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Packwood Stone,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Paris,RE51865AMT-22390,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Paris,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Parisian Pine,RE51865AMT-DCD69,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Parisian Pine,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Pearl Wash Wood,RE51865AMT-B78BD,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Pearl Wash Wood,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Priory Oak,RE51865AMT-F3521,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Priory Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Ratley Stone,RE51865AMT-25E05,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Ratley Stone,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Reclaimed Oak,RE51865AMT-0EC2E,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Reclaimed Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Regency Walnut,RE51865AMT-C63C9,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Regency Walnut,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Rio,RE51865AMT-D14A8,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Rio,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Riverstone Tundra,RE51865AMT-BB7FD,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Riverstone Tundra,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Rosa Classic Marble,RE51865AMT-88573,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Rosa Classic Marble,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Rosewood,RE51865AMT-684BD,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Rosewood,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Rotterdam Oak,RE51865AMT-19EC6,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Rotterdam Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Russet Burnished Metal,RE51865AMT-4CCC0,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Russet Burnished Metal,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Salted Oak,RE51865AMT-8CF67,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Salted Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Sanctuary Grain,RE51865AMT-A2DBB,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Sanctuary Grain,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Sevilla,RE51865AMT-68517,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Sevilla,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Shore Oak,RE51865AMT-44FEC,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Shore Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Shottery Limestone,RE51865AMT-41C8F,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Shottery Limestone,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Sloane Concrete,RE51865AMT-4128F,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Sloane Concrete,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Solar Pine,RE51865AMT-C533C,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Solar Pine,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Stria Ash,RE51865AMT-74817,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Stria Ash,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Stria Basalt,RE51865AMT-ACF62,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Stria Basalt,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Stria Rock,RE51865AMT-E1438,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Stria Rock,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Stria Sediment,RE51865AMT-7EDB3,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Stria Sediment,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Stria Volcanic,RE51865AMT-4EC24,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Stria Volcanic,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Stucco Clay,RE51865AMT-C0C7A,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Stucco Clay,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Stucco Elk,RE51865AMT-B5134,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Stucco Elk,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Stucco Flax,RE51865AMT-AE1D4,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Stucco Flax,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Stucco Haze,RE51865AMT-1A6B1,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Stucco Haze,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Stucco Huckleberry,RE51865AMT-D5496,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Stucco Huckleberry,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Stucco Indigo,RE51865AMT-9D4B8,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Stucco Indigo,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Stucco Mist,RE51865AMT-B67C4,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Stucco Mist,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Stucco Nutmeg,RE51865AMT-75FB4,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Stucco Nutmeg,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Stucco Opaline,RE51865AMT-BCCB7,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Stucco Opaline,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Stucco Pebble,RE51865AMT-F2CF0,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Stucco Pebble,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Stucco Putty,RE51865AMT-5C443,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Stucco Putty,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Stucco Quartz,RE51865AMT-C8C1B,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Stucco Quartz,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Stucco Roselle,RE51865AMT-EB2A7,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Stucco Roselle,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Tay Oak,RE51865AMT-B7DCA,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Tay Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Teak,RE51865AMT-3BEED,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Teak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Tempus Echo,RE51865AMT-0F995,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Tempus Echo,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Tempus Embrace,RE51865AMT-0283E,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Tempus Embrace,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Tempus Harmony,RE51865AMT-A76E7,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Tempus Harmony,Price per SQM: £75.990 inc VAT; Locations: None
